name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by oxolloxo, New ,, ₹2199 ,₹ 1429,35% off,,,https://www.limeroad.com/brown-viscose-oxolloxo-p17822242?imgIdx=3
        by oxolloxo, New ,, ₹2449 ,₹ 1592,35% off,,,https://www.limeroad.com/white-oxolloxo-p17822241?imgIdx=3
        by oxolloxo, New ,, ₹2399 ,₹ 1559,35% off,,,https://www.limeroad.com/white-oxolloxo-p17822238?imgIdx=3
        by PARK AVENUE, New ,, ₹1999 ,₹ 700,65% off,,,https://www.limeroad.com/blue-cotton-park-avenue-p17759068?imgIdx=3
        by oxolloxo, New ,, ₹1799 ,₹ 1169,35% off,,,https://www.limeroad.com/brown-oxolloxo-p17822234?imgIdx=3
        by oxolloxo, New ,, ₹2399 ,₹ 1559,35% off,,,https://www.limeroad.com/green-oxolloxo-p17822239?imgIdx=3
        by oxolloxo, New ,, ₹2299 ,₹ 1494,35% off,,,https://www.limeroad.com/blue-viscose-oxolloxo-p17822236?imgIdx=3
        by oxolloxo, New ,, ₹2099 ,₹ 1364,35% off,,,https://www.limeroad.com/green-cotton-oxolloxo-p17822228?imgIdx=3
        by BABAJI STYLE,,, ₹1299 ,₹ 589,55% off,,,https://www.limeroad.com/blue-poly-crepe-babaji-style-p17108576?imgIdx=3&src_id=fromsearch__0
        by Adyuth,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 545,55% off,,,https://www.limeroad.com/blue-adyuth-p15531152?imgIdx=3&src_id=fromsearch__0
        by 109f,,,,₹ 1499,,,,https://www.limeroad.com/olive-cotton-blend-109f-p16996447?imgIdx=3&src_id=fromsearch__0
        by ED,, offer Buy 2 Get 1 Free , ₹1300 ,₹ 787,39% off,,,https://www.limeroad.com/white-crepe-ed-p15914193?imgIdx=3&src_id=fromsearch__0
        by Baani Creations,,, ₹1099 ,₹ 769,30% off,,,https://www.limeroad.com/maroon-rayon-baani-creations-p17191494?imgIdx=3&src_id=fromsearch__0
        by Cherokee,,, ₹799 ,₹ 559,30% off,,,https://www.limeroad.com/black-rayon-cherokee-p17581753?imgIdx=3&src_id=fromsearch__0
        by Marca Disati,, offer Buy 2 Get 1 Free , ₹999 ,₹ 799,20% off,,,https://www.limeroad.com/yellow-viscose-marca-disati-p17749964?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹2299 ,₹ 805,65% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17710700?imgIdx=3&src_id=fromsearch__0
        by Galwiz, New ,, ₹999 ,₹ 499,50% off,,,https://www.limeroad.com/green-poly-crepe-galwiz-p17796672?imgIdx=3&src_id=fromsearch__0
        by Jhala, New ,, ₹999 ,₹ 399,60% off,,,https://www.limeroad.com/Black-Crepe-JHALA-p17856700?imgIdx=3&src_id=fromsearch__0
        by Aboda, New ,, ₹1399 ,₹ 699,50% off,,,https://www.limeroad.com/Multi-Crepe-ABODA-p17857278?imgIdx=3&src_id=fromsearch__0
        by Yaadleen, New ,, ₹1349 ,₹ 674,50% off,,,https://www.limeroad.com/navy-blue-yaadleen-p17693224?imgIdx=3&src_id=fromsearch__0
        by Galwiz, New ,, ₹999 ,₹ 499,50% off,,,https://www.limeroad.com/brown-poly-crepe-galwiz-p17796673?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1899 ,₹ 665,65% off,,,https://www.limeroad.com/white-park-avenue-p17793111?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹2599 ,₹ 910,65% off,,,https://www.limeroad.com/black-cotton-park-avenue-p17793117?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹2299 ,₹ 805,65% off,,,https://www.limeroad.com/yellow-cotton-blend-park-avenue-p17793052?imgIdx=3&src_id=fromsearch__0
        by CRIMSOUNE CLUB,, offer Buy 2 Get 1 Free , ₹1299 ,₹ 1072,17% off,,,https://www.limeroad.com/beige-cotton-blend-crimsoune-club-p17669432?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹1599 ,₹ 720,55% off,,,https://www.limeroad.com/red-viscose-oxolloxo-p16936614?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1999 ,₹ 700,65% off,,,https://www.limeroad.com/yellow-rayon-park-avenue-p17608874?imgIdx=3&src_id=fromsearch__0
        by Bhama Couture,, offer Buy 2 Get 1 Free , ₹1799 ,₹ 623,65% off,,,https://www.limeroad.com/white-cotton-bhama-couture-p15189628?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 964,36% off,,,https://www.limeroad.com/blue-cotton-campus-sutra-p16987107?imgIdx=3&src_id=fromsearch__0
        by Kassually,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 575,52% off,,,https://www.limeroad.com/pink-kassually-p15572883?imgIdx=3&src_id=fromsearch__0
        by One Femme,, offer Buy 2 Get 1 Free , ₹1700 ,₹ 699,59% off,,,https://www.limeroad.com/red-cotton-one-femme-p14917276?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 804,43% off,,,https://www.limeroad.com/grey-cotton-campus-sutra-p16741966?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Buy 2 Get 1 Free , ₹1799 ,₹ 899,50% off,,,https://www.limeroad.com/purple-pluss-p17773425?imgIdx=3&src_id=fromsearch__0
        by Aeropostale,,, ₹1299 ,₹ 779,40% off,,,https://www.limeroad.com/red-rayon-aeropostale-p17646130?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹2199 ,₹ 946,57% off,,,https://www.limeroad.com/grey-oxolloxo-p16751007?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1599 ,₹ 560,65% off,,,https://www.limeroad.com/blue-cotton-park-avenue-p17759181?imgIdx=3&src_id=fromsearch__0
        by fusion beats,, offer Buy 2 Get 1 Free , ₹1999 ,₹ 1246,38% off,,,https://www.limeroad.com/blue-viscose-fusion-beats-p15835255?imgIdx=3&src_id=fromsearch__0
        by Rajindra,,, ₹2000 ,₹ 1400,30% off,,,https://www.limeroad.com/Blue-Cotton-Rajindra-p17615301?imgIdx=3&src_id=fromsearch__0
        by Ruhaan's,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 749,50% off,,,https://www.limeroad.com/light-blue-cotton-ruhaan-s-p16947710?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1099 ,₹ 385,65% off,,,https://www.limeroad.com/red-park-avenue-p17710681?imgIdx=3&src_id=fromsearch__0
        by VAIJYANTI,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 659,45% off,,,https://www.limeroad.com/grey-cotton-vaijyanti-p14918626?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹1849 ,₹ 740,60% off,,,https://www.limeroad.com/black-oxolloxo-p17715268?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free ,,₹ 1399,,,,https://www.limeroad.com/brown-cotton-campus-sutra-p15475784?imgIdx=3&src_id=fromsearch__0
        by buynewtrend,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 749,50% off,,,https://www.limeroad.com/green-cotton-blend-buynewtrend-p16995225?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/black-cotton-park-avenue-p17793072?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1199 ,₹ 420,65% off,,,https://www.limeroad.com/red-park-avenue-p17710643?imgIdx=3&src_id=fromsearch__0
        by CRIMSOUNE CLUB,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 839,40% off,,,https://www.limeroad.com/navy-blue-cotton-blend-crimsoune-club-p17334098?imgIdx=3&src_id=fromsearch__0
        by Dechen,,, ₹1179 ,₹ 707,40% off,,,https://www.limeroad.com/pink-cotton-blend-dechen-p16798914?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹2099 ,₹ 966,54% off,,,https://www.limeroad.com/maroon-oxolloxo-p17715272?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1299 ,₹ 455,65% off,,,https://www.limeroad.com/white-cotton-blend-park-avenue-p17759137?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 719,52% off,,,https://www.limeroad.com/black-oxolloxo-p16612016?imgIdx=3&src_id=fromsearch__0
        by Fickle,,, ₹1199 ,₹ 599,50% off,,,https://www.limeroad.com/white-cotton-blend-fickle-p16273716?imgIdx=3&src_id=fromsearch__0
        by Galwiz,, offer Buy 2 Get 1 Free , ₹1099 ,₹ 549,50% off,,,https://www.limeroad.com/red-crepe-galwiz-p17405595?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1699 ,₹ 595,65% off,,,https://www.limeroad.com/green-cotton-park-avenue-p17793082?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1699 ,₹ 595,65% off,,,https://www.limeroad.com/yellow-cotton-park-avenue-p17793131?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17793074?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1799 ,₹ 630,65% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17759122?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/blue-cotton-park-avenue-p17793071?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1699 ,₹ 595,65% off,,,https://www.limeroad.com/white-cotton-park-avenue-p17759261?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1599 ,₹ 560,65% off,,,https://www.limeroad.com/white-cotton-park-avenue-p17793058?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1699 ,₹ 595,65% off,,,https://www.limeroad.com/yellow-viscose-park-avenue-p17793115?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1599 ,₹ 560,65% off,,,https://www.limeroad.com/yellow-cotton-park-avenue-p17759240?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1599 ,₹ 560,65% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17793097?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/blue-park-avenue-p17759091?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/green-cotton-park-avenue-p17759227?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1499 ,₹ 525,65% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17793202?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE, New ,, ₹1399 ,₹ 490,65% off,,,https://www.limeroad.com/grey-park-avenue-p17759132?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/black-satin-dechen-p17473147?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/gold-satin-dechen-p17473149?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/purple-satin-dechen-p17473151?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/brown-satin-dechen-p17693642?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/brown-cotton-dechen-p17473152?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/white-cotton-blend-dechen-p17693643?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/white-cotton-dechen-p17473153?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/green-satin-dechen-p17473150?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/black-cotton-blend-dechen-p17693641?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹1500 ,₹ 999,33% off,,,https://www.limeroad.com/black-cotton-blend-dechen-p17693644?imgIdx=3&src_id=fromsearch__0
        by Dechen, New ,, ₹950 ,₹ 850,11% off,,,https://www.limeroad.com/red-satin-dechen-p17356127?imgIdx=3&src_id=fromsearch__0
        by Hive91,, offer Buy 2 Get 1 Free , ₹1295 ,₹ 549,58% off,,,https://www.limeroad.com/yellow-rayon-hive91-p17022113?imgIdx=3&src_id=fromsearch__0
        by Purys,,, ₹1499 ,₹ 699,53% off,,,https://www.limeroad.com/navy-blue-georgette-purys-p17457963?imgIdx=3&src_id=fromsearch__0
        by Yash Gallery,,, ₹1299 ,₹ 619,52% off,,,https://www.limeroad.com/pink-rayon-yash-gallery-p15591389?imgIdx=3&src_id=fromsearch__0
        by Sqew,, offer Buy 2 Get 1 Free , ₹2250 ,₹ 787,65% off,,,https://www.limeroad.com/brown-sqew-p17201397?imgIdx=3&src_id=fromsearch__0
        by Purys,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 599,60% off,,,https://www.limeroad.com/green-purys-p16830994?imgIdx=3&src_id=fromsearch__0
        by Aeropostale,,, ₹1799 ,₹ 899,50% off,,,https://www.limeroad.com/red-cotton-aeropostale-p17646104?imgIdx=3&src_id=fromsearch__0
        by Campus Sutra,, offer Buy 2 Get 1 Free , ₹1399 ,₹ 804,43% off,,,https://www.limeroad.com/grey-cotton-campus-sutra-p16987101?imgIdx=3&src_id=fromsearch__0
        by Delan,,, ₹1499 ,₹ 1349,10% off,,,https://www.limeroad.com/maroon-satin-delan-p17691155?imgIdx=3&src_id=fromsearch__0
        by Galwiz,, offer Buy 2 Get 1 Free , ₹1199 ,₹ 540,55% off,,,https://www.limeroad.com/white-rayon-galwiz-p16963513?imgIdx=3&src_id=fromsearch__0
        by PARK AVENUE,,, ₹1699 ,₹ 595,65% off,,,https://www.limeroad.com/white-cotton-park-avenue-p17759207?imgIdx=3&src_id=fromsearch__0
        by La Loft,, offer Buy 2 Get 1 Free , ₹1499 ,₹ 1132,24% off,,,https://www.limeroad.com/orange-cotton-la-loft-p16804884?imgIdx=3&src_id=fromsearch__0
