name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        by FEMNINORA,,, ₹999 ,₹ 608,39% off,,,https://www.limeroad.com/navy-blue-crepe-femninora-p16700690?imgIdx=3
        by Blue Chic,,, ₹1399 ,₹ 699,50% off,,,https://www.limeroad.com/pink-cotton-blue-chic-p17096137?imgIdx=3
        by One Femme,, offer Freedom Unlimited Sale , ₹1700 ,₹ 690,59% off,,,https://www.limeroad.com/red-cotton-one-femme-p14917276?imgIdx=3
        by La Loft,, offer Freedom Unlimited Sale , ₹1890 ,₹ 838,56% off,,,https://www.limeroad.com/overlap-back-graphic-shirt-la-loft-p16705427?imgIdx=3
        by Park Avenue,, offer Freedom Unlimited Sale , ₹2399 ,₹ 720,70% off,,,https://www.limeroad.com/blue-cotton-park-avenue-p17793063?imgIdx=3
        by buynewtrend,, offer Freedom Unlimited Sale , ₹1499 ,₹ 599,60% off,,,https://www.limeroad.com/green-cotton-blend-buynewtrend-p16995225?imgIdx=3
        by Park Avenue,, offer Freedom Unlimited Sale , ₹1499 ,₹ 450,70% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17793074?imgIdx=3
        by Park Avenue,, offer Freedom Unlimited Sale , ₹1899 ,₹ 570,70% off,,,https://www.limeroad.com/red-rayon-park-avenue-p17710628?imgIdx=3
        by The Dry State,,, ₹999 ,₹ 771,23% off,,,https://www.limeroad.com/dark-blue-denim-the-dry-state-p17176011?imgIdx=3&src_id=fromsearch__0
        by Hive91,,, ₹1295 ,₹ 549,58% off,,,https://www.limeroad.com/red-cotton-hive91-p17022121?imgIdx=3&src_id=fromsearch__0
        by Purys,,, ₹1499 ,₹ 699,53% off,,,https://www.limeroad.com/navy-blue-georgette-purys-p17457963?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Freedom Unlimited Sale , ₹1799 ,₹ 547,70% off,,,https://www.limeroad.com/white-cotton-pluss-p17773438?imgIdx=3&src_id=fromsearch__0
        by Park Avenue,, offer Freedom Unlimited Sale , ₹1699 ,₹ 510,70% off,,,https://www.limeroad.com/red-cotton-park-avenue-p17759200?imgIdx=3&src_id=fromsearch__0
        by La Loft,, offer Freedom Unlimited Sale , ₹1999 ,₹ 1323,34% off,,,https://www.limeroad.com/white-cotton-la-loft-p16804955?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹1899 ,₹ 564,70% off,,,https://www.limeroad.com/red-cotton-oxolloxo-p16750988?imgIdx=3&src_id=fromsearch__0
        by Bitterlime,,, ₹1999 ,₹ 920,54% off,,,https://www.limeroad.com/yellow-viscose-bitterlime-p12902339?imgIdx=3&src_id=fromsearch__0
        by Adyuth,,, ₹1199 ,₹ 514,57% off,,,https://www.limeroad.com/blue-adyuth-p15531152?imgIdx=3&src_id=fromsearch__0
        by Trend Arrest,,, ₹1199 ,₹ 599,50% off,,,https://www.limeroad.com/olive-trend-arrest-p16784918?imgIdx=3&src_id=fromsearch__0
        by Jaipur Vastra,,, ₹2499 ,₹ 748,70% off,,,https://www.limeroad.com/grey-rayon-jaipur-vastra-p17499451?imgIdx=3&src_id=fromsearch__0
        by Galwiz,,, ₹1299 ,₹ 585,55% off,,,https://www.limeroad.com/white-crepe-galwiz-p16822169?imgIdx=3&src_id=fromsearch__0
        by PLUSS,, offer Freedom Unlimited Sale , ₹1799 ,₹ 684,62% off,,,https://www.limeroad.com/pink-pluss-p17773461?imgIdx=3&src_id=fromsearch__0
        by Sqew,,, ₹2250 ,₹ 787,65% off,,,https://www.limeroad.com/navy-blue-sqew-p17201388?imgIdx=3&src_id=fromsearch__0
        by Park Avenue,, offer Freedom Unlimited Sale , ₹1399 ,₹ 420,70% off,,,https://www.limeroad.com/blue-park-avenue-p17759108?imgIdx=3&src_id=fromsearch__0
        by Disrupt,,, ₹1499 ,₹ 1049,30% off,,,https://www.limeroad.com/blue-cotton-disrupt-p16737477?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹2399 ,₹ 391,84% off,,,https://www.limeroad.com/blue-cotton-oxolloxo-p17822229?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹2449 ,₹ 393,84% off,,,https://www.limeroad.com/black-oxolloxo-p17822240?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹1149 ,₹ 402,65% off,,,https://www.limeroad.com/grey-cotton-oxolloxo-p11459264?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹1899 ,₹ 413,78% off,,,https://www.limeroad.com/white-cotton-oxolloxo-p17544678?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹1999 ,₹ 425,79% off,,,https://www.limeroad.com/white-cotton-oxolloxo-p17735938?imgIdx=3&src_id=fromsearch__0
        by oxolloxo,, offer Freedom Unlimited Sale , ₹1649 ,₹ 442,73% off,,,https://www.limeroad.com/yellow-viscose-oxolloxo-p17715340?imgIdx=3&src_id=fromsearch__0
        by KARMIC VISION,,, ₹999 ,₹ 519,48% off,,,https://www.limeroad.com/pink-crepe-karmic-vision-p14506302?imgIdx=3&src_id=fromsearch__0
        by Jhala,,, ₹999 ,₹ 399,60% off,,,https://www.limeroad.com/Black-Crepe-JHALA-p17856700?imgIdx=3&src_id=fromsearch__0
