name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Jacquard Socks - Set of 3,New,₹ 299,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Jacquard-Socks--Set-of-3/p/1000008948945-Multicolour-M
MAX Patterned Socks- Pack of 5,New,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Socks-Pack-of-5/p/1000010209971-Multicolour-M
MAX Patterned Ankle-Length Socks - Set of 5,New,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-5/p/1000009974971-Multicolour-M
MAX Camouflage Print Anklet Socks - Pack of 2 Pcs.,,₹ 229,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Camouflage-Print-Anklet-Socks--Pack-of-2-Pcs/p/1000007662721-Multi-Multi
MAX Checked Colourblock Socks - Pack of 5 Pcs.,,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Checked-Colourblock-Socks--Pack-of-5-Pcs/p/1000008131058
MAX Patterned Ankle-Length Socks - Set of 3,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-3/p/1000009975046-Multicolour-M
MAX Patterned No-Show Socks - Set of 3,New,₹ 299,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-No-Show-Socks--Set-of-3/p/1000009974986-Multicolour-M
MAX Printed Anklet Sports Socks - Pack of 3 Pcs.,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Printed-Anklet-Sports-Socks--Pack-of-3-Pcs/p/1000007706718-Multi-Multi
MAX Striped Socks- Pack of 2,New,₹ 229,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Striped-Socks-Pack-of-2/p/1000008891082-Multicolour-M
MAX Patterned Ankle-Length Socks - Set of 5,New,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-5/p/1000009975028-Multicolour-M
MAX Colourblocked Socks- Pack of 3,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Colourblocked-Socks-Pack-of-3/p/1000009945504-Multicolour-M
MAX Patterned Socks - Set of 3,New,₹ 299,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Socks--Set-of-3/p/1000009975007-Multicolour-M
MAX Patterned Ankle-Length Socks - Set of 2,New,₹ 229,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-2/p/1000008891088-Multicolour-M
MAX Colourblock Sports Socks - Pack of 3 Pcs.,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Colourblock-Sports-Socks--Pack-of-3-Pcs/p/1000007662757-Multi-Multi
MAX Jacqaurd Patterned Ankle-Length Socks - Pack of 3,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Jacqaurd-Patterned-Ankle-Length-Socks--Pack-of-3/p/1000008891170
MAX Jacquard Patterned Socks - Set of 3,,₹ 299,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Jacquard-Patterned-Socks--Set-of-3/p/1000008948942-Multicolour-Ml
MAX Patterned Ankle-Length Socks - Set of 5,New,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-5/p/1000009975034-Multicolour-M
MAX Patterned Ankle-Length Socks - Set of 5,New,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Patterned-Ankle-Length-Socks--Set-of-5/p/1000009975025-Multicolour-M
MAX Jacquard Elasticated Socks - Pack of 3,Buy 3 at 999,₹ 349,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Jacquard-Elasticated-Socks--Pack-of-3/p/1000008948958
MAX Woven Design Socks- Set of 5 Pairs,,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Woven-Design-Socks-Set-of-5-Pairs/p/1000008891139-Multicolour-Ml
MAX Woven Design Socks- Set of 5,,₹ 399,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Woven-Design-Socks-Set-of-5/p/1000008891134
