name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Solid Skinny Fit Chinos,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Solid-Skinny-Fit-Chinos/p/1000010047607-Green-Green
MAX Solid Skinny Fit Chinos,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Solid-Skinny-Fit-Chinos/p/1000010042112-Green-Oliveg
MAX Striped Woven Trousers,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Striped-Woven-Trousers/p/1000010106065-Blue-Blue
MAX Textured Slim Fit Formal Trousers,New,"₹ 1,049",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Textured-Slim-Fit-Formal-Trousers/p/1000009771142-Grey-Grey
MAX Solid Skinny Fit Chinos,New,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Brown-MAX-Solid-Skinny-Fit-Chinos/p/1000010049401-Green-Oliveg
MAX Textured Slim Fit Formal Trousers,New,"₹ 1,049",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Textured-Slim-Fit-Formal-Trousers/p/1000009771129-Grey-Charcoal
MAX Men Textured Ultra Slim Fit Formal Trousers,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Men-Textured-Ultra-Slim-Fit-Formal-Trousers/p/1000010061523-Blue-Blue
MAX Solid Flat-Front Casual Trousers,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Flat-Front-Casual-Trousers/p/1000010106142-Grey-Grey
MAX Solid Ultra Slim Fit Formal Trousers,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Ultra-Slim-Fit-Formal-Trousers/p/1000010128138-Black-Black
MAX Striped Carrot Fit Casual Trousers,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Striped-Carrot-Fit-Casual-Trousers/p/1000010061613-Blue-Navy
MAX Solid Skinny Fit Casual Chinos,,"₹ 1,399",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Casual-Chinos/p/1000008827690-Blue-Navy
