name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Floral Print A-Line Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Floral-Print-A-Line-Dress/p/1000009965466-Beige-Ivory
MAX Polka Dot Print Sleeveless Midi Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Peach-MAX-Polka-Dot-Print-Sleeveless-Midi-Dress/p/1000010086489-Multicolour-M
MAX Floral Print Wrap Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Floral-Print-Wrap-Dress/p/1000009966265-Beige-Ivory
MAX Solid Three-quarter Sleeves Shift Dress,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Three-quarter-Sleeves-Shift-Dress/p/1000009697196-Blue-Darkblue
MAX Solid Sleeveless Sheath Dress with Tie-Up,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Sleeveless-Sheath-Dress-with-Tie-Up/p/1000009718953-Black-Black
MAX Floral Print Fit and Flare Dress with Flutter Sleeves,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Print-Fit-and-Flare-Dress-with-Flutter-Sleeves/p/1000009796245-Yellow-Yellow
MAX Floral Print Midi Dress,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Floral-Print-Midi-Dress/p/1000008885763-Pink-Pink
MAX Solid Shirt Dress with Belt,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Solid-Shirt-Dress-with-Belt/p/1000009733882-Orange-Rust
MAX Floral Printed A-Line Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Floral-Printed-A-Line-Dress/p/1000009966499-Blue-Blue
MAX Floral Embroidered A-Line Dress,New,"₹ 1,049",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Embroidered-A-Line-Dress/p/1000010086255-Yellow-Yellow
MAX Printed Short Sleeves A-line Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Printed-Short-Sleeves-A-line-Dress/p/1000009966368-Blue-Blue
MAX Polka Dot Print Asymmetric Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-White-MAX-Polka-Dot-Print-Asymmetric-Dress/p/1000009966339-Beige-Ivory
MAX Floral Print Sleeveless High-Low Maxi Dress,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Floral-Print-Sleeveless-High-Low-Maxi-Dress/p/1000010031734-Green-Green
MAX Floral Print A-line Dress,New,₹ 899,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Print-A-line-Dress/p/1000010031015-Multicolour-Flp
MAX Solid Midi Dress,,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Solid-Midi-Dress/p/1000009342179-Green-Sage
MAX Solid Shirt Dress,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Solid-Shirt-Dress/p/1000009267430-Green-Green
MAX Solid Knee-Length Dress with Knot Detail,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Solid-Knee-Length-Dress-with-Knot-Detail/p/1000009881464-Pink-Pink
MAX Striped Sleeveless A-line Dress,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Striped-Sleeveless-A-line-Dress/p/1000010078053-Beige-Cream
MAX Textured Lace A-Line Dress,New,"₹ 1,399",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Textured-Lace-A-Line-Dress/p/1000009881301-Black-Black
MAX Floral Print Three-Quarter Sleeves Maxi Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Floral-Print-Three-Quarter-Sleeves-Maxi-Dress/p/1000009966397-Green-Green
MAX Printed Midi Dress,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Printed-Midi-Dress/p/1000008885733-Beige-Ivory
