name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Striped Tiered Dress,New,"₹ 1,399",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Striped-Tiered-Dress/p/1000010086411-Blue-Blue
MAX Solid Ruched Sleeves A-Line Dress,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Solid-Ruched-Sleeves-A-Line-Dress/p/1000010077554-Pink-Pink
MAX Floral Printed A-Line Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Floral-Printed-A-Line-Dress/p/1000009966499-Blue-Blue
MAX Floral Printed A-Line Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Floral-Printed-A-Line-Dress/p/1000010086632-Pink-Pink
MAX Solid Layered A-Line Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Solid-Layered-A-Line-Dress/p/1000010084981-Beige-Natural
MAX Embroidered Short Sleeves Maxi Dress,,"₹ 1,699",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Embroidered-Short-Sleeves-Maxi-Dress/p/1000010115847-Blue-Blue
MAX Solid Tiered Trapeze Dress,New,"₹ 1,599",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Solid-Tiered-Trapeze-Dress/p/1000010085059-Yellow-Yellow
MAX Colourblocked Tiered Dress,New,"₹ 1,399",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Colourblocked-Tiered-Dress/p/1000010086437-Yellow-Mustard
MAX Floral Print Sleeveless Midi Dress,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Print-Sleeveless-Midi-Dress/p/1000010085046-Yellow-Yellow
MAX Printed Sleeveless A-line Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Printed-Sleeveless-A-line-Dress/p/1000010086645-Pink-Pink
MAX Floral Printed A-Line Dress,New,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Printed-A-Line-Dress/p/1000010086398-Yellow-Yellow
MAX Floral Embroidered A-Line Dress,New,"₹ 1,049",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Floral-Embroidered-A-Line-Dress/p/1000010086255-Yellow-Yellow
MAX Printed Sleeveless A-line Dress,New,₹ 799,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Printed-Sleeveless-A-line-Dress/p/1000008855811-Grey-Grey
