name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Textured Full Sleeves Hooded Jacket,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Textured-Full-Sleeves-Hooded-Jacket/p/1000009311392-Pink-Apricot
MAX Solid Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Denim-Jacket/p/1000009340174-Blue-Midblue
MAX Solid Biker Jacket,Buy 2 Get 2,"₹ 2,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Biker-Jacket/p/1000009224532-Brown-Brown
MAX Textured Zip-Front Hooded Jacket,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Textured-Zip-Front-Hooded-Jacket/p/1000009311392-Grey-Greymel
MAX Textured Full Sleeves Hooded Jacket,Buy 2 Get 2,₹ 849,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Textured-Full-Sleeves-Hooded-Jacket/p/1000009311628-Blue-Malibu
MAX Zip-Front Jacket with Faux-Fur Trim,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Zip-Front-Jacket-with-Faux-Fur-Trim/p/1000009222751-Pink-RosePink
MAX Hooded Gilet Jacket,Buy 2 Get 2,"₹ 1,599",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Red-MAX-Hooded-Gilet-Jacket/p/1000009219697-Red-Red
MAX Solid Biker Jacket,Buy 2 Get 2,"₹ 2,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Biker-Jacket/p/1000009224532-Black-Black
MAX Textured Jacket with Insert Pockets,Buy 2 Get 2,"₹ 2,899",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Textured-Jacket-with-Insert-Pockets/p/1000009254812-Pink-Blush
MAX Solid Hooded Puffer Jacket,Buy 2 Get 2,"₹ 1,599",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Solid-Hooded-Puffer-Jacket/p/1000009219697-Green-Oliveg
MAX Textured Full Sleeves Hooded Jacket,Buy 2 Get 2,₹ 899,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Textured-Full-Sleeves-Hooded-Jacket/p/1000009311266-Grey-Charcoal
MAX Solid Open-Front Blazer,Buy 2 Get 2,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Open-Front-Blazer/p/1000009245297-Blue-Blue
MAX Typographic Print Hooded Jacket,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Typographic-Print-Hooded-Jacket/p/1000009311553-Mauve-Purple
MAX Solid Suede Jacket,Buy 2 Get 2,"₹ 2,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Solid-Suede-Jacket/p/1000009224318-Pink-Blush
MAX Textured Open-Front Longline Jacket,Buy 2 Get 2,"₹ 2,799",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Textured-Open-Front-Longline-Jacket/p/1000009254825-Pink-Blush
MAX Solid Faux Fur Coat,Buy 2 Get 2,"₹ 2,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Pink-MAX-Solid-Faux-Fur-Coat/p/1000009223464-Pink-Rosepink
MAX Solid Puffed Full Sleeves Jacket,Buy 2 Get 2,"₹ 1,799",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Puffed-Full-Sleeves-Jacket/p/1000009219660-Red-Red
MAX Stonewashed Full Sleeves Denim Jacket,,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Full-Sleeves-Denim-Jacket/p/1000009697170-Blue-Midblue
MAX Stonewashed Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Denim-Jacket/p/1000009340226-Blue-Darkblue
MAX Women Solid Open-Front Blazer,,"₹ 1,199",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Women-Solid-Open-Front-Blazer/p/1000009229772-Black-Black
MAX Stonewashed Denim Jacket,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Denim-Jacket/p/1000010054728-Blue-MidBlue
MAX Light Washed Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Light-Washed-Denim-Jacket/p/1000009340213-Blue-Lightblue
MAX Stonewashed Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Denim-Jacket/p/1000008642862-Blue-Midblue
MAX Solid Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Denim-Jacket/p/1000009340200-Black-Black
MAX Washed Denim Jacket,Buy 2 Get 2,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Washed-Denim-Jacket/p/1000009340148-Blue-Midblue
MAX Solid Open-Front Blazer,Buy 2 Get 2,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Open-Front-Blazer/p/1000009245297-Black-Black
MAX Solid Zip-Front Hooded Jacket,Buy 2 Get 2,₹ 699,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Zip-Front-Hooded-Jacket/p/1000009311579-Green-Oliveg
MAX Stonewashed Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Denim-Jacket/p/1000009340239-Blue-Lightblue
MAX Solid Open-Front Blazer,Buy 2 Get 2,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Open-Front-Blazer/p/1000009245297-Grey-Greymel
MAX Colourblock Zip-Front Jacket,Buy 2 Get 2,₹ 849,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Colourblock-Zip-Front-Jacket/p/1000009311367-Black-Black
MAX Quilted Hooded Jacket,Buy 2 Get 2,₹ 899,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Red-MAX-Quilted-Hooded-Jacket/p/1000009311266-Red-Red
MAX Camouflage Print Colourblock Hooded Jacket,Buy 2 Get 2,₹ 949,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Camouflage-Print-Colourblock-Hooded-Jacket/p/1000009349895-Green-Oliveg
MAX Textured Zip-Front Hoodie,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Red-MAX-Textured-Zip-Front-Hoodie/p/1000009311203-Pink-Rosepink
MAX Checked Lapel Collar Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Checked-Lapel-Collar-Jacket/p/1000008562719-Yellow-Yellow
MAX Solid Hooded Denim Jacket,Buy 2 Get 2,"₹ 1,499",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Hooded-Denim-Jacket/p/1000009340135-Blue-Lightblue
MAX Solid Denim Jacket,Buy 2 Get 2,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Denim-Jacket/p/1000008739353-Black-Black
MAX Zip-Front Jacket with Faux-Fur Trim,Buy 2 Get 2,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Zip-Front-Jacket-with-Faux-Fur-Trim/p/1000009222751-Grey-Grey
