name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Solid Jeggings,New,₹ 799,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Jeggings/p/1000010009771-Black-Black
MAX Washed Flared Denim Trousers,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Washed-Flared-Denim-Trousers/p/1000009960403-Blue-LightBlue
MAX Solid Jeggings,New,₹ 799,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Jeggings/p/1000010009771-Green-Oliveg
MAX Solid Ankle-Length Jeans,New,₹ 899,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Ankle-Length-Jeans/p/1000010009812-Blue-Blue
MAX Solid Skinny Fit Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Solid-Skinny-Fit-Jeans/p/1000008798179-Grey-Grey
MAX Solid Skinny Fit Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Jeans/p/1000008798166-Blue-Lightblue
MAX Solid Jeggings,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Jeggings/p/1000009047073-Blue-Lightblue
MAX Solid Skinny Fit Jeans,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Skinny-Fit-Jeans/p/1000009744336-Black-Black
MAX Solid Skinny Ankle-Length Jeans,New,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Ankle-Length-Jeans/p/1000009744349-Blue-DarkBlue
MAX Stonewashed Skinny Fit Jeans,New,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Stonewashed-Skinny-Fit-Jeans/p/1000009744388-Grey-Grey
MAX Stonewashed Pencil Fit Jeans,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Pencil-Fit-Jeans/p/1000008641555-Blue-MidBlue
MAX Solid Skinny Fit Jeans,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Skinny-Fit-Jeans/p/1000008798153-Black-Black
MAX Solid Skinny Fit Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Jeans/p/1000008453328-Blue-Midblue
MAX Solid Pencil Fit Ankle-Length Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Pencil-Fit-Ankle-Length-Jeans/p/1000008893595-Blue-Darkblue
MAX Solid Jeggings,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Jeggings/p/1000009726973-Black-Black
MAX Solid Jeggings,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Jeggings/p/1000009726973-Blue-LightBlue
MAX Solid Skinny Fit Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Jeans/p/1000008477117-Blue-Darkblue
MAX Solid Skinny Jeans,,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Skinny-Jeans/p/1000008453315-Black-Black
MAX Solid Jeggings,New,₹ 699,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Jeggings/p/1000009966221-Blue-Blue
MAX Solid Skinny Fit Jeans,,₹ 649,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Jeans/p/1000008453341-Blue-Lightblue
MAX Solid Jeggings,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Jeggings/p/1000009961658-Blue-Lightblue
MAX Stonewashed Skinny Fit Jeans,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Skinny-Fit-Jeans/p/1000010170091-Blue-LightBlue
MAX Solid Flared Denim Trousers,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Flared-Denim-Trousers/p/1000009961270-Blue-Ecru
MAX Stonewashed Skinny Fit Jeans,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Skinny-Fit-Jeans/p/1000009960712-Blue-MidBlue
MAX Solid Skinny Fit Jeans,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Skinny-Fit-Jeans/p/1000010308693-Black-Black
MAX Solid Skinny Fit Jeans,New,₹ 999,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-Skinny-Fit-Jeans/p/1000010170121-Blue-Midblue
MAX Solid High-Waist Skinny Fit Jeans,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Solid-High-Waist-Skinny-Fit-Jeans/p/1000009046307-Blue-Darkblue
MAX Stonewashed Skinny Fit Jeans,New,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Stonewashed-Skinny-Fit-Jeans/p/1000009960532-Blue-LightBlue
MAX Mid-Washed Skinny Jeans,Buy 1 Get 1,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Mid-Washed-Skinny-Jeans/p/1000008760431-Blue-Midblue
MAX Solid Skinny Fit Jeans,Buy 1 Get 1,"₹ 1,299",,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Solid-Skinny-Fit-Jeans/p/1000008641764-Black-Black
