name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
MAX Embroidered Three-quarter Sleeves Straight Kurta,New,₹ 599,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Embroidered-Three-quarter-Sleeves-Straight-Kurta/p/1000010059003-Blue-Blue
MAX Striped Straight Regular Fit Kurta,New,₹ 599,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Striped-Straight-Regular-Fit-Kurta/p/1000010059261-Blue-Blue
MAX Printed Three-quarter Sleeves Straight Kurta,New,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Grey-MAX-Printed-Three-quarter-Sleeves-Straight-Kurta/p/1000010058912-Grey-Grey
MAX Printed Three-quarter Sleeves Kurta,Buy 3 at 999,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Brown-MAX-Printed-Three-quarter-Sleeves-Kurta/p/1000008714440-Brown-Brown
MAX Printed Three-quarter Sleeves Kurta with Mask,,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Printed-Three-quarter-Sleeves-Kurta-with-Mask/p/1000008715187-Blue-Indigo
MAX Checked Woven Kurti,Buy 2 Get 2,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Checked-Woven-Kurti/p/1000008714258-Yellow-Mustard
MAX Printed Straight Kurta,New,₹ 549,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Black-MAX-Printed-Straight-Kurta/p/1000010059055-Black-Black
MAX Striped Straight Kurta,Buy 2 Get 2,₹ 549,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Multicolour-MAX-Striped-Straight-Kurta/p/1000008715261-Mulcolour-Mul
MAX Textured Straight Kurta,Buy 2 Get 2,₹ 549,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Textured-Straight-Kurta/p/1000008573501-Green-Lime
MAX Jacquard Patterned Round Neck Straight Kurta,Buy 2 Get 2,₹ 599,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Yellow-MAX-Jacquard-Patterned-Round-Neck-Straight-Kurta/p/1000008715504-Yellow-Mustard
MAX Printed Three-Quarter Sleeves Straight Kurta,New,₹ 599,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Blue-MAX-Printed-Three-Quarter-Sleeves-Straight-Kurta/p/1000008714724-Blue-Indigo
MAX Patterned Notch Neck Straight Kurta,,₹ 549,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Patterned-Notch-Neck-Straight-Kurta/p/1000008714789-Green-Limegreen
MAX Printed Straight Kurta with Face Mask,New,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Printed-Straight-Kurta-with-Face-Mask/p/1000010059235-Beige-OffWhite
MAX Striped Three-Quarter Sleeves Straight Kurta,New,₹ 549,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Green-MAX-Striped-Three-Quarter-Sleeves-Straight-Kurta/p/1000010059352-Green-Green
MAX Roll-Up Sleeves Striped Straight Kurta,Buy 2 Get 2,₹ 499,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Beige-MAX-Roll-Up-Sleeves-Striped-Straight-Kurta/p/1000008573553-Beige-Offwhite
MAX Printed Straight Kurta with Face Mask,New,₹ 599,,,,,https://www.maxfashion.in/in/en/SHOP-Max-Purple-MAX-Printed-Straight-Kurta-with-Face-Mask/p/1000010059339-Purple-Lilac
