name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Diaper Bag - Studio Baby Diaper Bag/Mothers Bag - Wine      , ,Sale                     ,"Rs. 2,395","Rs. 2,227",,,,https://mybabybabbles.com/products/diaper-bag-studio-baby-diaper-bag-mothers-bag-wine?_pos=1&_sid=a6b0c867b&_ss=r
        Baby Moo Printed Multicolour Reusable Diaper      , ,,Rs. 649,,,,,https://mybabybabbles.com/products/baby-moo-printed-multicolour-reusable-diaper?_pos=2&_sid=a6b0c867b&_ss=r
        Baby Moo Giraffe Multicolour Reusable Diaper      , ,,Rs. 449,,,,,https://mybabybabbles.com/products/baby-moo-giraffe-multicolour-reusable-diaper?_pos=3&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Red Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-red-reusable-diaper?_pos=4&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Orange Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-orange-reusable-diaper?_pos=5&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Green Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-green-reusable-diaper?_pos=6&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Blue Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-blue-reusable-diaper?_pos=7&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Yellow Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-yellow-reusable-diaper?_pos=8&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Purple Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-purple-reusable-diaper?_pos=9&_sid=a6b0c867b&_ss=r
        Baby Moo Plain Pink Reusable Diaper      , ,,Rs. 399,,,,,https://mybabybabbles.com/products/baby-moo-plain-pink-reusable-diaper?_pos=10&_sid=a6b0c867b&_ss=r
        Baby Moo Abstract Peach Diaper Bag      , ,,"Rs. 1,999",,,,,https://mybabybabbles.com/products/baby-moo-abstract-peach-diaper-bag?_pos=11&_sid=a6b0c867b&_ss=r
        Baby Moo Kitty Black Diaper Bag      , ,,"Rs. 2,199",,,,,https://mybabybabbles.com/products/baby-moo-kitty-black-diaper-bag?_pos=12&_sid=a6b0c867b&_ss=r
        Baby Moo Abstract Fawn Diaper Bag      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/baby-moo-abstract-fawn-diaper-bag?_pos=13&_sid=a6b0c867b&_ss=r
