name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
"        Mustela Gentle Baby Shampoo, White, 200ml      ", ,,Rs. 625,,,,,https://mybabybabbles.com/products/mustela-gentle-baby-shampoo-white-200ml?_pos=1&_sid=aafe3d106&_ss=r
"        Natural Baby Shampoo with Coconut Cleansers, Organic Moringa & Organic Argan Oils      ", ,Sale                     ,Rs. 393,Rs. 294,,,,https://mybabybabbles.com/products/natural-baby-shampoo-with-coconut-cleansers-organic-moringa-organic-argan-oils?_pos=2&_sid=aafe3d106&_ss=r
"        Sebamed Childrens Shampoo, 500ml      ", ,,Rs. 927,,,,,https://mybabybabbles.com/products/sebamed-childrens-shampoo-500ml?_pos=3&_sid=aafe3d106&_ss=r
"        Sebamed Children Shampoo, 150ml      ", ,,Rs. 427,,,,,https://mybabybabbles.com/products/sebamed-children-shampoo-150ml?_pos=4&_sid=aafe3d106&_ss=r
        Baby essentials gift box      , ,Sale                     ,"Rs. 1,299",Rs. 974,,,,https://mybabybabbles.com/products/baby-essentials-gift-box?_pos=5&_sid=aafe3d106&_ss=r
        Natural Bath Essentials for Baby      , ,Sale                     ,"Rs. 1,179",Rs. 884,,,,https://mybabybabbles.com/products/natural-bath-essentials-for-baby?_pos=6&_sid=aafe3d106&_ss=r
        Baby complete care gift box      , ,Sale                     ,"Rs. 1,599","Rs. 1,199",,,,https://mybabybabbles.com/products/baby-complete-care-gift-box?_pos=7&_sid=aafe3d106&_ss=r
        Natural Hair Care Essentials for Baby      , ,Sale                     ,Rs. 732,Rs. 549,,,,https://mybabybabbles.com/products/natural-hair-care-essentials-for-baby?_pos=8&_sid=aafe3d106&_ss=r
        Natural Tear-Free Cleaning Bundle for Baby      , ,Sale                     ,Rs. 699,Rs. 524,,,,https://mybabybabbles.com/products/natural-tear-free-cleaning-bundle-for-baby?_pos=9&_sid=aafe3d106&_ss=r
        Jane Flip Folding Bathing & Change (Nature Edition)      , ,,"Rs. 20,000",,,,,https://mybabybabbles.com/products/jane-flip-folding-bathing-change-nature-edition?_pos=10&_sid=aafe3d106&_ss=r
        Protein Hair Care Bundle      , ,Sale                     ,Rs. 848,Rs. 636,,,,https://mybabybabbles.com/products/protein-hair-care-bundle?_pos=11&_sid=aafe3d106&_ss=r
