name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Baby Elephant Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-4?_pos=1&_sid=0f918e179&_ss=r
        Baby Stars Muslin Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/muslin-hooded-towel-2?_pos=2&_sid=0f918e179&_ss=r
        Baby Moo Goat White Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-goat-white-hooded-towel?_pos=3&_sid=0f918e179&_ss=r
        Baby Moo Animal Peach Hooded Towel      , ,,"Rs. 1,899",,,,,https://mybabybabbles.com/products/baby-moo-animal-peach-hooded-towel?_pos=4&_sid=0f918e179&_ss=r
        Baby Moo Unicorn Blue Hooded Towel      , ,,"Rs. 1,899",,,,,https://mybabybabbles.com/products/baby-moo-unicorn-blue-hooded-towel?_pos=5&_sid=0f918e179&_ss=r
        Baby Moo Owl Green Hooded Towel      , ,,"Rs. 1,899",,,,,https://mybabybabbles.com/products/baby-moo-owl-green-hooded-towel?_pos=6&_sid=0f918e179&_ss=r
        Baby Moo Elephant Yellow Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-elephant-yellow-hooded-towel?_pos=7&_sid=0f918e179&_ss=r
        Baby Moo Fishy Blue Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-fishy-blue-hooded-towel?_pos=8&_sid=0f918e179&_ss=r
        Baby Moo Mooing Cow White Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-mooing-cow-white-hooded-towel?_pos=9&_sid=0f918e179&_ss=r
        Baby Moo Nerdy Fox Blue Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-nerdy-fox-blue-hooded-towel?_pos=10&_sid=0f918e179&_ss=r
        Baby Moo Penguin Party Blue Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-penguin-party-blue-hooded-towel?_pos=11&_sid=0f918e179&_ss=r
        Baby Moo Ms. Elephant Grey Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-ms-elephant-grey-hooded-towel?_pos=12&_sid=0f918e179&_ss=r
        Baby Moo Sleepy Bunny Pink Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-sleepy-bunny-pink-hooded-towel?_pos=13&_sid=0f918e179&_ss=r
        Baby Moo Little Chick Green  Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-little-chick-green-hooded-towel?_pos=14&_sid=0f918e179&_ss=r
        Baby Moo Elephant Love Pink Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-elephant-love-pink-hooded-towel?_pos=15&_sid=0f918e179&_ss=r
        Baby Moo Lion Yellow And White Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-lion-yellow-and-white-hooded-towel?_pos=16&_sid=0f918e179&_ss=r
        Baby Moo Dolphin Blue And White Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-dolphin-blue-and-white-hooded-towel?_pos=17&_sid=0f918e179&_ss=r
        Baby Moo Fishy Green And White Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-fishy-green-and-white-hooded-towel?_pos=18&_sid=0f918e179&_ss=r
        Baby Moo Hear Me Roar Yellow Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-hear-me-roar-yellow-hooded-towel?_pos=19&_sid=0f918e179&_ss=r
        Baby Moo Flying Unicorn Pink Unicorn Hooded Towel      , ,,"Rs. 1,299",,,,,https://mybabybabbles.com/products/baby-moo-flying-unicorn-pink-unicorn-hooded-towel?_pos=20&_sid=0f918e179&_ss=r
        Baby Moo Beach Day Pink And White Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/baby-moo-beach-day-pink-and-white-hooded-towel?_pos=21&_sid=0f918e179&_ss=r
        Baby Moo Mermaid Pink Hooded Towel & Wash Cloth Set      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/baby-moo-mermaid-pink-hooded-towel-wash-cloth-set?_pos=22&_sid=0f918e179&_ss=r
        Baby Moo Starry Pink Hooded Towel & Wash Cloth Set      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/baby-moo-starry-pink-hooded-towel-wash-cloth-set?_pos=23&_sid=0f918e179&_ss=r
        The White Cradle Baby Hooded Bath Towel Wrap - Tiger      , ,,Rs. 998,,,,,https://mybabybabbles.com/products/the-white-cradle-baby-hooded-bath-towel-wrap-tiger?_pos=24&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern Stripped - Aqua / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-aqua-white?_pos=25&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern Stripped - Yellow / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-yellow-white?_pos=26&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern stripped - Orange / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-orange-white?_pos=27&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern stripped - Pink / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-pink-white?_pos=28&_sid=0f918e179&_ss=r
        Baby Moo Exotic Animals Green Hooded Towel & Wash Cloth Set      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/baby-moo-exotic-animals-green-hooded-towel-wash-cloth-set?_pos=29&_sid=0f918e179&_ss=r
        Baby Moo Dolphin Show Blue Hooded Towel & Wash Cloth Set      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/baby-moo-dolphin-show-blue-hooded-towel-wash-cloth-set?_pos=30&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern Stripped - Navy Blue / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-navy-blue-white-1?_pos=31&_sid=0f918e179&_ss=r
        My Milestones Baby Hooded Towel - Modern stripped - Navy Blue / White      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/my-milestones-baby-hooded-towel-modern-stripped-navy-blue-white?_pos=32&_sid=0f918e179&_ss=r
        Ella Organic Muslin Hooded Towel      , ,,"Rs. 2,199",,,,,https://mybabybabbles.com/products/ella-organic-muslin-hooded-towel?_pos=33&_sid=0f918e179&_ss=r
"        Butterfly Kisses Towels, Set of 2      ", ,,"Rs. 3,099",,,,,https://mybabybabbles.com/products/butterfly-kisses-towel-set-br-span-style-font-size-10px-can-be-personalised-set-of-2-towels-span?_pos=34&_sid=0f918e179&_ss=r
        Elephant Grey Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/elephant-grey-hooded-towel?_pos=35&_sid=0f918e179&_ss=r
        Sheep Pink Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/sheep-pink-hooded-towel?_pos=36&_sid=0f918e179&_ss=r
        Elephant Pink Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/elephant-pink-hooded-towel?_pos=37&_sid=0f918e179&_ss=r
        Birdie Yellow Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/birdie-yellow-hooded-towel?_pos=38&_sid=0f918e179&_ss=r
        Pink Bear Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-1?_pos=39&_sid=0f918e179&_ss=r
        Magical Unicorn Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-2?_pos=40&_sid=0f918e179&_ss=r
        Cute Kitty Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-3?_pos=41&_sid=0f918e179&_ss=r
        Snowy Bear Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-5?_pos=42&_sid=0f918e179&_ss=r
        Polar Bear Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/hooded-towels-6?_pos=43&_sid=0f918e179&_ss=r
        Hooded Towel - Pink Stripes      , ,Sale                     ,Rs. 995,Rs. 925,,,,https://mybabybabbles.com/products/hooded-towel-pink-stripes?_pos=44&_sid=0f918e179&_ss=r
        Hooded Towel - Yellow Stripes      , ,Sale                     ,Rs. 995,Rs. 925,,,,https://mybabybabbles.com/products/hooded-towel-yellow-stripes?_pos=45&_sid=0f918e179&_ss=r
        Hooded Towel - Blue Solid      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/hooded-towel-blue-solid?_pos=46&_sid=0f918e179&_ss=r
        Hooded Towel - Yellow Solid      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/hooded-towel-yellow-solid?_pos=47&_sid=0f918e179&_ss=r
        Hooded Towel - Blue Stripes      , ,Sale                     ,Rs. 995,Rs. 925,,,,https://mybabybabbles.com/products/hooded-towel-blue-stripes?_pos=48&_sid=0f918e179&_ss=r
        Hooded Towel - Pink Solid      , ,Sale                     ,Rs. 895,Rs. 832,,,,https://mybabybabbles.com/products/hooded-towel-pink-solid?_pos=49&_sid=0f918e179&_ss=r
        Masilo Hooded Towel – Bloom      , ,,"Rs. 2,950",,,,,https://mybabybabbles.com/products/masilo-hooded-towel-bloom?_pos=50&_sid=0f918e179&_ss=r
        Masilo Hooded Towel – Mango      , ,,"Rs. 2,950",,,,,https://mybabybabbles.com/products/masilo-hooded-towel-mango?_pos=51&_sid=0f918e179&_ss=r
        Lion Yellow Animal Hooded Towel      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/lion-yellow-animal-hooded-towel?_pos=52&_sid=0f918e179&_ss=r
        BFF Bear Blue Hooded Towel      , ,,"Rs. 1,399",,,,,https://mybabybabbles.com/products/bff-bear-blue-hooded-towel?_pos=53&_sid=0f918e179&_ss=r
        Penguin Blue Animal Hooded Towel      , ,,"Rs. 1,199",,,,,https://mybabybabbles.com/products/penguin-blue-animal-hooded-towel?_pos=54&_sid=0f918e179&_ss=r
        Giraffe White Animal Hooded Towel      , ,,"Rs. 1,199",,,,,https://mybabybabbles.com/products/giraffe-white-animal-hooded-towel?_pos=55&_sid=0f918e179&_ss=r
        Cream Animal Face Hooded Towel      , ,,"Rs. 1,549",,,,,https://mybabybabbles.com/products/cream-animal-face-hooded-towel?_pos=56&_sid=0f918e179&_ss=r
        White Animal Face Hooded Towel      , ,,"Rs. 1,549",,,,,https://mybabybabbles.com/products/white-animal-face-hooded-towel?_pos=57&_sid=0f918e179&_ss=r
        Elephant Grey Animal Hooded Towel      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/elephant-grey-animal-hooded-towel?_pos=58&_sid=0f918e179&_ss=r
        Kitty Pink Animal Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/kitty-pink-animal-hooded-towel?_pos=59&_sid=0f918e179&_ss=r
        Elephant Light Blue Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/elephant-light-blue-hooded-towel?_pos=60&_sid=0f918e179&_ss=r
        Animal Royal Blue Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/animal-royal-blue-hooded-towel?_pos=61&_sid=0f918e179&_ss=r
        Mr. Elephant Grey Hooded Towel      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/mr-elephant-grey-hooded-towel?_pos=62&_sid=0f918e179&_ss=r
        Cute Bunny Pink Animal Hooded Towel      , ,,"Rs. 1,199",,,,,https://mybabybabbles.com/products/cute-bunny-pink-animal-hooded-towel?_pos=63&_sid=0f918e179&_ss=r
        Kitty White Muslin & Bamboo Hooded Towel      , ,,"Rs. 1,199",,,,,https://mybabybabbles.com/products/kitty-white-muslin-bamboo-hooded-towel?_pos=64&_sid=0f918e179&_ss=r
        Duck Yellow Animal Face Hooded Towel      , ,,"Rs. 1,549",,,,,https://mybabybabbles.com/products/duck-yellow-animal-face-hooded-towel?_pos=65&_sid=0f918e179&_ss=r
        Elephant Blue Animal Face Hooded Towel      , ,,"Rs. 1,549",,,,,https://mybabybabbles.com/products/elephant-blue-animal-face-hooded-towel?_pos=66&_sid=0f918e179&_ss=r
        Sleepy Panda White Animal Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/sleepy-panda-white-animal-hooded-towel?_pos=67&_sid=0f918e179&_ss=r
        Cute Cat Sea Green Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/cute-cat-sea-green-hooded-towel?_pos=68&_sid=0f918e179&_ss=r
        Smart And Nerdy Dark Green Hooded Towel      , ,,"Rs. 1,599",,,,,https://mybabybabbles.com/products/smart-and-nerdy-dark-green-hooded-towel?_pos=69&_sid=0f918e179&_ss=r
        Dino Friends Muslin Hooded Towel      , ,,Rs. 899,,,,,https://mybabybabbles.com/products/muslin-hooded-towel?_pos=70&_sid=0f918e179&_ss=r
        Elephant Grey Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/elephant-grey-towel-wash-cloth-set?_pos=71&_sid=0f918e179&_ss=r
        Giraffe Beige Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/giraffe-beige-towel-wash-cloth-set?_pos=72&_sid=0f918e179&_ss=r
        Elephant Blue Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/elephant-blue-towel-wash-cloth-set?_pos=73&_sid=0f918e179&_ss=r
        Happy Hat Penguin Blue Hooded Towel      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/happy-hat-penguin-blue-hooded-towel?_pos=74&_sid=0f918e179&_ss=r
        Butterfly Pink XL Bath And Swimming Towel      , ,,Rs. 499,,,,,https://mybabybabbles.com/products/butterfly-pink-xl-bath-and-swimming-towel?_pos=75&_sid=0f918e179&_ss=r
        Pineabble XL Beach Towel For The Hawaiian Star      , ,,Rs. 499,,,,,https://mybabybabbles.com/products/pineabble-xl-beach-towel-for-the-hawaiian-star?_pos=76&_sid=0f918e179&_ss=r
        Everything Is Magical With A Unicorn Pink Hooded Towel      , ,,"Rs. 1,499",,,,,https://mybabybabbles.com/products/everything-is-magical-with-a-unicorn-pink-hooded-towel?_pos=77&_sid=0f918e179&_ss=r
        Masilo Hooded Towel – Our Little Pumpkin      , ,,"Rs. 2,950",,,,,https://mybabybabbles.com/products/masilo-hooded-towel-our-little-pumpkin?_pos=78&_sid=0f918e179&_ss=r
        Ice Cream White Muslin & Bamboo Hooded Towel      , ,,"Rs. 1,199",,,,,https://mybabybabbles.com/products/ice-cream-white-muslin-bamboo-hooded-towel?_pos=79&_sid=0f918e179&_ss=r
        Whimsical Unicorn White Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/whimsical-unicorn-white-towel-wash-cloth-set?_pos=80&_sid=0f918e179&_ss=r
        Elephant Grey and Pink Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/elephant-grey-and-pink-towel-wash-cloth-set?_pos=81&_sid=0f918e179&_ss=r
        Masilo Organic Cotton Hooded Towel - Polar White      , ,,"Rs. 1,950",,,,,https://mybabybabbles.com/products/organic-cotton-hooded-towel-polar-white?_pos=82&_sid=0f918e179&_ss=r
        Masilo Organic Cotton Hooded Towel - Grrly Pink      , ,,"Rs. 1,950",,,,,https://mybabybabbles.com/products/organic-cotton-hooded-towel-grrly-pink?_pos=83&_sid=0f918e179&_ss=r
        Masilo Organic Cotton Hooded Towel - Koala Grey      , ,,"Rs. 1,950",,,,,https://mybabybabbles.com/products/organic-cotton-hooded-towel-koala-grey?_pos=84&_sid=0f918e179&_ss=r
        Infant Hooded Towel Wrap - Carnival White/Blue      , ,Sale                     ,"Rs. 1,195","Rs. 1,111",,,,https://mybabybabbles.com/products/infant-hooded-towel-wrap-carnival-white-blue?_pos=85&_sid=0f918e179&_ss=r
        Infant Hooded Towel Wrap - Carnival White/Pink      , ,Sale                     ,"Rs. 1,195","Rs. 1,111",,,,https://mybabybabbles.com/products/infant-hooded-towel-wrap-carnival-white-pink?_pos=86&_sid=0f918e179&_ss=r
        Infant Hooded Towel Wrap - Carnival White/Orange      , ,Sale                     ,"Rs. 1,195","Rs. 1,111",,,,https://mybabybabbles.com/products/infant-hooded-towel-wrap-carnival-white-orange?_pos=87&_sid=0f918e179&_ss=r
        My Milestones Kids Hand Towel - Aqua / White      , ,Sale                     ,Rs. 695,Rs. 646,,,,https://mybabybabbles.com/products/my-milestones-kids-hand-towel-aqua-white?_pos=88&_sid=0f918e179&_ss=r
        My Milestones Kids Hand Towel - Yellow / White      , ,Sale                     ,Rs. 695,Rs. 646,,,,https://mybabybabbles.com/products/my-milestones-kids-hand-towel-yellow-white?_pos=89&_sid=0f918e179&_ss=r
        Chick Green Applique Hooded Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/chick-green-applique-hooded-towel-wash-cloth-set?_pos=90&_sid=0f918e179&_ss=r
        Elephant Pink Applique Hooded Towel & Wash Cloth Set      , ,,Rs. 999,,,,,https://mybabybabbles.com/products/elephant-pink-applique-hooded-towel-wash-cloth-set?_pos=91&_sid=0f918e179&_ss=r
        Masilo Organic Cotton Hooded Towel - Teddy Bear Cream      , ,,"Rs. 1,950",,,,,https://mybabybabbles.com/products/organic-cotton-hooded-towel-teddy-bear-cream?_pos=92&_sid=0f918e179&_ss=r
        My Milestones Kids Hooded Towel Wrap - Aqua / White      , ,Sale                     ,"Rs. 1,195","Rs. 1,111",,,,https://mybabybabbles.com/products/my-milestones-kids-hooded-towel-wrap-aqua-white?_pos=93&_sid=0f918e179&_ss=r
        My Milestones Kids Hooded Towel Wrap - Yellow / White      , ,Sale                     ,"Rs. 1,195","Rs. 1,111",,,,https://mybabybabbles.com/products/my-milestones-kids-hooded-towel-wrap-yellow-white?_pos=94&_sid=0f918e179&_ss=r
        Baby Moo Monkey Multicolour Piano Gym      , ,,"Rs. 5,999",,,,,https://mybabybabbles.com/products/baby-moo-monkey-multicolour-piano-gym?_pos=95&_sid=0f918e179&_ss=r
        Owls Baby Essential Basket (5pc)      , ,,"Rs. 2,250",,,,,https://mybabybabbles.com/products/owls-baby-essential-basket-5pc?_pos=96&_sid=0f918e179&_ss=r
        Boys Bubbling Baby Bathing Hamper      , ,,"Rs. 2,499",,,,,https://mybabybabbles.com/products/boys-bubbling-baby-bathing-hamper?_pos=97&_sid=0f918e179&_ss=r
        Girls Bubbling Baby Bathing Hamper      , ,,"Rs. 2,499",,,,,https://mybabybabbles.com/products/girls-bubbling-baby-bathing-hamper-1?_pos=98&_sid=0f918e179&_ss=r
        My Milestones Kids Bath Towel Bold Stripped - Pink / White      , ,Sale                     ,Rs. 995,Rs. 925,,,,https://mybabybabbles.com/products/my-milestones-kids-bath-towel-bold-stripped-pink-white?_pos=99&_sid=0f918e179&_ss=r
        My Milestones Kids Bath Towel Bold Stripped - Aqua / White      , ,Sale                     ,Rs. 995,Rs. 925,,,,https://mybabybabbles.com/products/my-milestones-kids-bath-towel-bold-stripped-aqua-white?_pos=100&_sid=0f918e179&_ss=r
