name,badge_1,badge_2,mrp,discounted_price,discount,rating,rating_count,link
        Jane Rocket Stroller (Nomads)      , ,,"Rs. 23,000",,,,,https://mybabybabbles.com/products/jane-rocket-stroller-nomads?_pos=1&_sid=e0b1e7434&_ss=r
        Jane Rocket Stroller (Baobab)      , ,,"Rs. 23,000",,,,,https://mybabybabbles.com/products/jane-rocket-stroller-baobab?_pos=2&_sid=e0b1e7434&_ss=r
        Jane Twinlink Stroller (Nomads)      , ,,"Rs. 39,500",,,,,https://mybabybabbles.com/products/jane-twinlink-stroller-nomads?_pos=3&_sid=e0b1e7434&_ss=r
        Jane Kendo Stroller (Bronze)      , ,,"Rs. 34,000",,,,,https://mybabybabbles.com/products/jane-kendo-stroller-bronze?_pos=4&_sid=e0b1e7434&_ss=r
        Jane Epic Stroller (Squared)      , ,,"Rs. 37,000",,,,,https://mybabybabbles.com/products/jane-epic-stroller-squared?_pos=5&_sid=e0b1e7434&_ss=r
        Joie Mirus Stroller - Lychee      , ,,"Rs. 17,999",,,,,https://mybabybabbles.com/products/joie-mirus-stroller-lychee?_pos=6&_sid=e0b1e7434&_ss=r
        Nuluv Baby Rocker & Stroller - Grey      , ,,"Rs. 5,999",,,,,https://mybabybabbles.com/products/nuluv-baby-rocker-stroller-grey?_pos=7&_sid=e0b1e7434&_ss=r
        Jane Rocket Stroller (Jet Black)      , ,,"Rs. 23,000",,,,,https://mybabybabbles.com/products/jane-rocket-stroller-jet-black?_pos=8&_sid=e0b1e7434&_ss=r
        Jane Twinlink Stroller (Jet Black)      , ,,"Rs. 39,500",,,,,https://mybabybabbles.com/products/jane-twinlink-stroller-jet-black?_pos=9&_sid=e0b1e7434&_ss=r
        Jane Epic Stroller (Red Being)      , ,,"Rs. 37,000",,,,,https://mybabybabbles.com/products/jane-epic-stroller-red-being?_pos=10&_sid=e0b1e7434&_ss=r
        Joie Mirus Stroller - Dark Pewter      , ,,"Rs. 17,999",,,,,https://mybabybabbles.com/products/joie-mirus-stroller-dark-pewter?_pos=11&_sid=e0b1e7434&_ss=r
        3 Sprouts Stroller Organiser - Green Crocodile      , ,Sale                     ,"Rs. 1,999","Rs. 1,499",,,,https://mybabybabbles.com/products/3-sprouts-green-crocodile-stroller-organiser?_pos=12&_sid=e0b1e7434&_ss=r
        Joie Aire Lite Stroller - Soldier Red      , ,,"Rs. 11,999",,,,,https://mybabybabbles.com/products/joie-aire-lite-soldier-red?_pos=13&_sid=e0b1e7434&_ss=r
        Joie Stroller - Rapid Skewed Lines Caviar      , ,,"Rs. 8,999",,,,,https://mybabybabbles.com/products/joie-stroller-rapid-skewed-lines-caviar?_pos=14&_sid=e0b1e7434&_ss=r
        Joie Nitro Stroller LX - Dark Pewter      , ,,"Rs. 10,999",,,,,https://mybabybabbles.com/products/joie-nitro-stroller-lx-dark-pewter?_pos=15&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Tropical Toucan      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-tropical-toucan?_pos=16&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Counting Sheep      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-counting-sheep?_pos=17&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Elephant Parade      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-elephant-parade?_pos=18&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Dream Wings      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-dream-wings?_pos=19&_sid=e0b1e7434&_ss=r
        Skip Hop Tropical Paradise Jitter Stroller Toy - Sloth      , ,,"Rs. 1,699",,,,,https://mybabybabbles.com/products/skip-hop-tropical-paradise-jitter-stroller-toy-sloth?_pos=20&_sid=e0b1e7434&_ss=r
        Nuluv Stroller - Reversible Handle for 0-36 Months (Candy)      , ,,"Rs. 7,999",,,,,https://mybabybabbles.com/products/nuluv-stroller-reversible-handle-for-0-36-months-candy?_pos=21&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Up Up & Away (Pink)      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-up-up-away-pink?_pos=22&_sid=e0b1e7434&_ss=r
        Masilo Organic Muslin Stroller Blanket - Up Up & Away (Blue)      , ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-up-up-away-blue?_pos=23&_sid=e0b1e7434&_ss=r
"        Masilo Organic Muslin Stroller Blanket - Up, Up & Away(Pink)      ", ,,"Rs. 2,200",,,,,https://mybabybabbles.com/products/organic-muslin-stroller-blanket-up-up-awaypink?_pos=24&_sid=e0b1e7434&_ss=r
