name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Kay Beauty Matte Blush,FEATURED,₹799,₹719 ,10% off,4.6,1339,https://www.nykaa.com/kay-beauty-matte-blush/p/1080669?ptype=product&productId=1080669&skuId=1080669&categoryId=235&pps=1
Maybelline New York Fit Me Blush,FEATURED,₹440,₹352 ,20% off,4.2,4944,https://www.nykaa.com/maybelline-new-york-fit-me-blush/p/391981?ptype=product&productId=391981&skuId=391981&categoryId=235&pps=2
Lakme Absolute Illuminating Blush Shimmer Brick,FEATURED,₹725,₹580 ,20% off,4.2,644,https://www.nykaa.com/lakme-absolute-illuminating-blush-shimmer-brick/p/68508?ptype=product&productId=68508&skuId=68508&categoryId=235&pps=3
M.A.C Matte Powder Blush,FEATURED,,₹2300 ,,4.5,511,https://www.nykaa.com/m-a-c-matte-powder-blush/p/88706?ptype=product&productId=88706&skuId=88706&categoryId=235&pps=4
Nykaa Get Cheeky! Blush Duo Palette,FEATURED,₹699,₹559 ,20% off,4.3,4098,https://www.nykaa.com/nykaa-get-cheeky-blush-duo-palette/p/251232?ptype=product&productId=251232&skuId=251232&categoryId=235&pps=5
Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,BESTSELLER,₹675,₹540 ,20% off,4.2,25294,https://www.nykaa.com/lakme-9-to-5-weightless-matte-mousse-lip-cheek-color/p/73137?ptype=product&productId=73137&skuId=73137&categoryId=235&pps=6
Nykaa Sealed with a Kiss! Lipstick Palette,BESTSELLER,₹650,₹488 ,25% off,4.1,4404,https://www.nykaa.com/nykaa-sealed-with-a-kiss-lip-palette/p/332753?ptype=product&productId=332753&skuId=332753&categoryId=235&pps=7
Swiss Beauty Baked Blusher & Highlighter,BESTSELLER,₹349,₹297 ,15% off,4.3,4066,https://www.nykaa.com/swiss-beauty-baked-blusher-highlighter/p/367101?ptype=product&productId=367101&skuId=367101&categoryId=235&pps=8
Benefit Cosmetics Benetint,,,₹1720 ,,4.3,1055,https://www.nykaa.com/benefit-cosmetics-benetint-rose-tinted-lip-cheek-stain/p/601752?ptype=product&productId=601752&skuId=601752&categoryId=235&pps=9
Just Herbs Enriched Lip and Cheek Tint,OFFER,,₹695 ,,4.3,378,https://www.nykaa.com/just-herbs-enriched-lip-and-cheek-tint/p/1177377?ptype=product&productId=1177377&skuId=1177377&categoryId=235&pps=10
SUGAR Contour De Force Face Palette,OFFER,,₹799 ,,4.3,4029,https://www.nykaa.com/sugar-contour-de-force-face-palette/p/244239?ptype=product&productId=244239&skuId=244239&categoryId=235&pps=11
SUGAR Contour De Force Mini Blush,OFFER,,₹349 ,,4.4,4901,https://www.nykaa.com/sugar-contour-de-force-mini-blush/p/244242?ptype=product&productId=244242&skuId=244242&categoryId=235&pps=12
Nykaa Sealed with a Kiss! Lipstick Palette - Limited Edition,OFFER,,₹799 ,,4.1,4404,https://www.nykaa.com/nykaa-sealed-with-a-kiss-lipstick-palette-limited-edition/p/1382525?ptype=product&productId=332753&skuId=1382525&categoryId=235&pps=13
L.A. Colors So Cheeky Blush And Highlight Palette,,,₹1050 ,,4.0,2541,https://www.nykaa.com/l-a-colors-so-cheeky-blush-and-highlight-palette/p/239730?ptype=product&productId=239730&skuId=239730&categoryId=235&pps=14
