name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Neutrogena Oil Free Acne Wash Pink Grapefruit Facial Cleanse...,FEATURED,,₹700 ,,4.2,2949,https://www.nykaa.com/neutrogena-oil-free-acne-wash-pink-grapefruit-cleanser/p/483117?ptype=product&productId=483117&skuId=483117&categoryId=8380&pps=1
belif Aqua Bomb Jelly Cleanser,FEATURED,,₹2390 ,,4.7,6,https://www.nykaa.com/belif-aqua-bomb-jelly-cleanser/p/1485679?ptype=product&productId=1485679&skuId=1485679&categoryId=8380&pps=2
Dermalogica Special Cleansing Gel,FEATURED,,₹950 ,,4.4,120,https://www.nykaa.com/dermalogica-special-cleansing-gel-aa/p/10835?ptype=product&productId=10835&skuId=10835&categoryId=8380&pps=3
Mamaearth Foaming Face Wash For Kids With Aloe Vera And Coco...,FEATURED,,₹349 ,,4.5,311,https://www.nykaa.com/foaming-face-wash-for-kids-with-aloe-vera-and-coconut-based-cleansers/p/304223?ptype=product&productId=304223&skuId=304223&categoryId=8380&pps=4
Cetaphil Gentle Skin Cleanser,BESTSELLER,₹280,₹266 ,5% off,4.4,16595,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032?ptype=product&productId=22032&skuId=22032&categoryId=8380&pps=5
Cetaphil Gentle Skin Cleanser,BESTSELLER,₹280,₹266 ,5% off,4.4,16595,https://www.nykaa.com/cetaphil-cleansing-lotion-22031/p/22031?ptype=product&productId=22032&skuId=22031&categoryId=8380&pps=6
Garnier Skin Naturals Micellar Cleansing Water,,₹349,₹227 ,35% off,4.5,19698,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220214&categoryId=8380&pps=7
Garnier Skin Naturals Micellar Cleansing Water,,₹199,₹139 ,30% off,4.5,19698,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220212&categoryId=8380&pps=8
Forest Essentials Delicate Facial Cleanser - Kashmiri Saffro...,OFFER,,₹350 ,,4.5,5127,https://www.nykaa.com/forest-essentials-delicate-facial-cleanser-kashmiri-saffron-neem-config/p/304703?ptype=product&productId=304703&skuId=304703&categoryId=8380&pps=10
Cetaphil Oily Skin Cleanser,,₹500,₹475 ,5% off,4.4,4795,https://www.nykaa.com/cetaphil-oily-skin-cleanser/p/20992?ptype=product&productId=20992&skuId=20992&categoryId=8380&pps=11
Avene Cleanance Cleansing Gel,,,₹870 ,,4.4,1692,https://www.nykaa.com/avene-cleanance-gel/p/554396?ptype=product&productId=554396&skuId=554396&categoryId=8380&pps=12
Dabur Gulabari Premium Rose Water,,₹75,₹64 ,15% off,4.5,12751,https://www.nykaa.com/dabur-gulabari-premium-rose-water/p/27459?ptype=product&productId=27459&skuId=27459&categoryId=8380&pps=13
Bioderma Sebium Gel Moussant,,,₹375 ,,4.4,552,https://www.nykaa.com/bioderma-sebium-gel-moussant/p/886167?ptype=product&productId=886167&skuId=886167&categoryId=8380&pps=14
MCaffeine Naked & Raw Coffee Face Wash,OFFER,₹349,₹325 ,7% off,4.4,15287,https://www.nykaa.com/mcaffeine-naked-raw-coffee-face-wash/p/383225?ptype=product&productId=383225&skuId=383225&categoryId=8380&pps=15
The Body Shop Tea Tree Skin Clearing Facial Wash,,,₹695 ,,4.4,4071,https://www.nykaa.com/the-body-shop-tea-tree-skin-clearing-facial-wash-250ml/p/25250?ptype=product&productId=25250&skuId=25250&categoryId=8380&pps=16
Cetaphil Gentle Skin Cleanser,,,₹1140 ,,4.4,16595,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032?ptype=product&productId=22032&skuId=392482&categoryId=8380&pps=17
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,,₹399,₹259 ,35% off,4.6,8377,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220217&categoryId=8380&pps=18
Dabur Gulabari Premium Rose Water,,₹75,₹64 ,15% off,4.5,12751,https://www.nykaa.com/dabur-gulabari-premium-rose-water/p/27459?ptype=product&productId=27459&skuId=27458&categoryId=8380&pps=19
Cetaphil Gentle Foaming Cleanser,,,₹880 ,,4.5,585,https://www.nykaa.com/cetaphil-gentle-foaming-cleanser/p/583770?ptype=product&productId=583770&skuId=583770&categoryId=8380&pps=20
The Body Shop Vitamin E Gentle Facial Wash,,,₹695 ,,4.2,913,https://www.nykaa.com/the-body-shop-vitamin-e-gentle-facial-wash/p/25271?ptype=product&productId=25271&skuId=25271&categoryId=8380&pps=21
The Face Shop Rice Water Bright Foaming Cleanser,OFFER,,₹650 ,,4.4,6931,https://www.nykaa.com/the-face-shop-rice-water-bright-cleansing-foam-150ml/p/178640?ptype=product&productId=178640&skuId=178640&categoryId=8380&pps=1
COSRX Low pH Good Morning Gel Cleanser,,,₹850 ,,4.5,380,https://www.nykaa.com/cosrx-low-ph-good-morning-gel-cleanser/p/757643?ptype=product&productId=757643&skuId=757643&categoryId=8380&pps=2
Sebamed Clear Face Cleansing Foam Ph5.5,,,₹580 ,,4.4,1817,https://www.nykaa.com/sebamed-clear-face-cleansing-foam/p/4725?ptype=product&productId=4725&skuId=4725&categoryId=8380&pps=3
Cetaphil Gentle Cleansing & Moisturizing Combo,,₹705,₹670 ,5% off,4.5,863,https://www.nykaa.com/cetaphil-gentle-cleansing-moisturizing-combo/p/1017250?ptype=product&productId=1017250&skuId=1017250&categoryId=8380&pps=4
"Forest Essentials Delicate Facial Cleanser - Mashobra Honey,...",OFFER,,₹350 ,,4.5,1777,https://www.nykaa.com/forest-essentials-delicate-facial-cleanser-mashobra-honey-lemon-rosewater-config/p/304705?ptype=product&productId=304705&skuId=304705&categoryId=8380&pps=5
Neutrogena Deep Clean Facial Cleanser,,,₹130 ,,4.3,7340,https://www.nykaa.com/neutrogena-deep-clean-facial-cleanser/p/5989?ptype=product&productId=5989&skuId=5989&categoryId=8380&pps=6
Avene Cleanance Cleansing Gel,,,₹870 ,,4.4,1692,https://www.nykaa.com/avene-cleanance-gel/p/565517?ptype=product&productId=554396&skuId=565517&categoryId=8380&pps=7
Bioderma Sensibio H2O Micellar Water,,,₹395 ,,4.6,2800,https://www.nykaa.com/bioderma-sensibio-h2o/p/9739?ptype=product&productId=9739&skuId=9739&categoryId=8380&pps=8
Plum E-Luminence Simply Supple Cleansing Balm,,₹545,₹463 ,15% off,4.4,877,https://www.nykaa.com/plum-e-luminence-simply-supple-cleansing-balm/p/683146?ptype=product&productId=683146&skuId=683146&categoryId=8380&pps=9
Neutrogena Hydro Boost Cleanser Water Gel with Hyaluronic Ac...,,,₹900 ,,4.5,642,https://www.nykaa.com/neutrogena-hydro-boost-water-gel-cleanser/p/842768?ptype=product&productId=842768&skuId=842768&categoryId=8380&pps=10
Clinique Take The Day Off Cleansing Balm,OFFER,,₹890 ,,4.6,994,https://www.nykaa.com/clinique-take-the-day-off-cleansing-balm/p/509071?ptype=product&productId=509071&skuId=509071&categoryId=8380&pps=11
Cetaphil Daily Exfoliating Cleanser,,₹780,₹741 ,5% off,4.4,464,https://www.nykaa.com/cetaphil-daily-exfoliating-cleanser/p/583771?ptype=product&productId=583771&skuId=583771&categoryId=8380&pps=12
Innisfree Jeju Volcanic Pore Cleansing Foam,,,₹650 ,,4.5,1526,https://www.nykaa.com/innisfree-jeju-volcanic-pore-cleansing-foam-ex/p/524311?ptype=product&productId=524311&skuId=524311&categoryId=8380&pps=13
Bioderma Sebium Gel Moussant,,,₹375 ,,4.4,552,https://www.nykaa.com/bioderma-sebium-gel-moussant-45ml/p/886164?ptype=product&productId=886167&skuId=886164&categoryId=8380&pps=14
Avene Cleanance Cleansing Gel,,,₹1510 ,,4.4,1692,https://www.nykaa.com/avene-cleanance-gel/p/7001?ptype=product&productId=554396&skuId=7001&categoryId=8380&pps=15
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,,₹225,₹158 ,30% off,4.6,8377,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220215&categoryId=8380&pps=17
Cetaphil Cleansing & Hydrating Regime For All Skin Types,,₹690,₹656 ,5% off,4.4,3571,https://www.nykaa.com/cetaphil-cleansing-hydrating-regime-for-all-skin-types/p/1017249?ptype=product&productId=1017249&skuId=1017249&categoryId=8380&pps=18
Neutrogena Deep Clean Foaming Cleanser,,,₹155 ,,4.4,3725,https://www.nykaa.com/neutrogena-deep-clean-foam-cleanser/p/5994?ptype=product&productId=5994&skuId=5994&categoryId=8380&pps=19
Lakme Deep Cleanser Cleansing Milk,,,₹140 ,,4.4,3218,https://www.nykaa.com/lakme-deep-cleanser-cleansing-milk-cic/p/197303?ptype=product&productId=197303&skuId=197303&categoryId=8380&pps=20
The Body Shop Vitamin C Daily Glow Cleansing Polish,,,₹1295 ,,4.3,466,https://www.nykaa.com/the-body-shop-vitamin-c-facial-cleansing-polish/p/25300?ptype=product&productId=25300&skuId=25300&categoryId=8380&pps=21
Cetaphil Bright Healthy Radiance Reveal Creamy Cleanser,,₹650,₹618 ,5% off,4.3,68,https://www.nykaa.com/cetaphil-bhr-brightness-reveal-creamy-cleanser/p/1171879?ptype=product&productId=1171879&skuId=1171879&categoryId=8380&pps=1
Lotus Herbals Whiteglow 3-in-1 Deep Cleansing Skin Whitening...,,₹140,₹126 ,10% off,4.2,3668,https://www.nykaa.com/lotus-herbals-whiteglow-3-in-1-deep-cleansing-skin-whitening-facial-foam-50gm/p/19760?ptype=product&productId=19760&skuId=19760&categoryId=8380&pps=2
The Face Shop Rice Water Bright Rich Cleansing Oil,OFFER,,₹999 ,,4.3,310,https://www.nykaa.com/the-face-shop-rice-water-bright-rich-cleansing-oil/p/435230?ptype=product&productId=435230&skuId=435230&categoryId=8380&pps=3
The Face Shop Herb Day 365 Master Blending Foaming Cleanser,OFFER,,₹560 ,,4.4,393,https://www.nykaa.com/the-face-shop-herb-day-365-master-blending-foaming-cleanser/p/1102546?ptype=product&productId=1102546&skuId=1102546&categoryId=8380&pps=4
