name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Lakme Deep Cleanser Cleansing Milk,FEATURED,₹249,₹212 ,15% off,4.4,3452,https://www.nykaa.com/lakme-deep-cleanser-cleansing-milk-cic/p/197303?ptype=product&productId=197303&skuId=197303&categoryId=8380&pps=1
Avene Bright Intense Cream Foaming Cleanser,FEATURED,,₹1850 ,,4.7,14,https://www.nykaa.com/avene-bright-intense-cream-foaming-cleanser/p/598125?ptype=product&productId=598125&skuId=598125&categoryId=8380&pps=2
Kaya Soothing Cleansing Gel,FEATURED,₹290,₹218 ,25% off,4.4,392,https://www.nykaa.com/kaya-soothing-cleansing-gel/p/633553?ptype=product&productId=633553&skuId=633553&categoryId=8380&pps=3
L'Oreal Paris Age 20+ Skin Perfect Facial Foam,FEATURED,,₹95 ,,4.2,1427,https://www.nykaa.com/l-oreal-paris-age-20-skin-perfect-facial-foam/p/18743?ptype=product&productId=18743&skuId=18743&categoryId=8380&pps=4
The Derma Co. 3% AHA-BHA Foaming Face Wash,FEATURED,₹349,₹332 ,5% off,4.4,351,https://www.nykaa.com/the-derma-co-aha-bha-foaming-cleanser-100ml/p/1018096?ptype=product&productId=1018096&skuId=1018096&categoryId=8380&pps=5
Cetaphil Gentle Skin Cleanser,BESTSELLER,₹280,₹266 ,5% off,4.4,18961,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032?ptype=product&productId=22032&skuId=22032&categoryId=8380&pps=6
Garnier Skin Naturals Micellar Cleansing Water,BESTSELLER,,₹199 ,,4.5,21419,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220214&categoryId=8380&pps=7
Cetaphil Gentle Skin Cleanser,,₹280,₹266 ,5% off,4.4,18961,https://www.nykaa.com/cetaphil-cleansing-lotion-22031/p/22031?ptype=product&productId=22032&skuId=22031&categoryId=8380&pps=8
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,BESTSELLER,,₹225 ,,4.6,9002,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220217&categoryId=8380&pps=10
Garnier Skin Naturals Micellar Cleansing Water,,,₹199 ,,4.5,21419,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220212&categoryId=8380&pps=11
Avene Cleanance Cleansing Gel,,,₹870 ,,4.4,1829,https://www.nykaa.com/avene-cleanance-gel/p/554396?ptype=product&productId=554396&skuId=554396&categoryId=8380&pps=12
The Body Shop Tea Tree Skin Clearing Facial Wash,,,₹745 ,,4.4,4203,https://www.nykaa.com/the-body-shop-tea-tree-skin-clearing-facial-wash-250ml/p/25250?ptype=product&productId=25250&skuId=25250&categoryId=8380&pps=13
Forest Essentials Delicate Facial Cleanser - Kashmiri Saffro...,OFFER,,₹350 ,,4.5,5423,https://www.nykaa.com/forest-essentials-delicate-facial-cleanser-kashmiri-saffron-neem-config/p/304703?ptype=product&productId=304703&skuId=304703&categoryId=8380&pps=14
Dabur Gulabari Premium Rose Water,,₹75,₹68 ,9% off,4.5,14112,https://www.nykaa.com/dabur-gulabari-premium-rose-water/p/27459?ptype=product&productId=27459&skuId=27459&categoryId=8380&pps=15
Bioderma Sebium Gel Moussant,OFFER,,₹375 ,,4.4,718,https://www.nykaa.com/bioderma-sebium-gel-moussant/p/886167?ptype=product&productId=886167&skuId=886167&categoryId=8380&pps=16
Cetaphil Oily Skin Cleanser,,₹500,₹475 ,5% off,4.5,5274,https://www.nykaa.com/cetaphil-oily-skin-cleanser/p/20992?ptype=product&productId=20992&skuId=20992&categoryId=8380&pps=17
The Face Shop Rice Water Bright Foaming Cleanser,,,₹650 ,,4.4,7409,https://www.nykaa.com/the-face-shop-rice-water-bright-cleansing-foam-150ml/p/178640?ptype=product&productId=178640&skuId=178640&categoryId=8380&pps=18
Cetaphil Gentle Skin Cleanser,,,₹1140 ,,4.4,18961,https://www.nykaa.com/cetaphil-cleansing-lotion/p/22032?ptype=product&productId=22032&skuId=392482&categoryId=8380&pps=19
MCaffeine Naked & Raw Coffee Face Wash,OFFER,₹349,₹315 ,10% off,4.4,15875,https://www.nykaa.com/mcaffeine-naked-raw-coffee-face-wash/p/383225?ptype=product&productId=383225&skuId=383225&categoryId=8380&pps=20
Dabur Gulabari Premium Rose Water,,₹75,₹68 ,9% off,4.5,14112,https://www.nykaa.com/dabur-gulabari-premium-rose-water/p/27459?ptype=product&productId=27459&skuId=27458&categoryId=8380&pps=21
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,,,₹225 ,,4.6,9002,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220215&categoryId=8380&pps=1
"Forest Essentials Delicate Facial Cleanser - Mashobra Honey,...",OFFER,,₹350 ,,4.5,1876,https://www.nykaa.com/forest-essentials-delicate-facial-cleanser-mashobra-honey-lemon-rosewater-config/p/304705?ptype=product&productId=304705&skuId=304705&categoryId=8380&pps=2
Avene Cleanance Cleansing Gel,,,₹870 ,,4.4,1829,https://www.nykaa.com/avene-cleanance-gel/p/565517?ptype=product&productId=554396&skuId=565517&categoryId=8380&pps=3
Neutrogena Deep Clean Facial Cleanser,,,₹130 ,,4.3,7834,https://www.nykaa.com/neutrogena-deep-clean-facial-cleanser/p/5989?ptype=product&productId=5989&skuId=5989&categoryId=8380&pps=4
Plum E-Luminence Simply Supple Cleansing Balm,OFFER,₹545,₹491 ,10% off,4.4,1049,https://www.nykaa.com/plum-e-luminence-simply-supple-cleansing-balm/p/683146?ptype=product&productId=683146&skuId=683146&categoryId=8380&pps=5
Cetaphil Gentle Cleansing & Moisturizing Combo,,₹705,₹670 ,5% off,4.5,905,https://www.nykaa.com/cetaphil-gentle-cleansing-moisturizing-combo/p/1017250?ptype=product&productId=1017250&skuId=1017250&categoryId=8380&pps=6
Sebamed Clear Face Cleansing Foam Ph5.5,,,₹580 ,,4.4,1967,https://www.nykaa.com/sebamed-clear-face-cleansing-foam/p/4725?ptype=product&productId=4725&skuId=4725&categoryId=8380&pps=7
Cetaphil Skin Care Regime For Oily Skin,,₹910,₹865 ,5% off,4.4,8848,https://www.nykaa.com/cetaphil-skin-care-regime-for-oily-skin-slash-save-hp2021/p/1017252?ptype=product&productId=1017252&skuId=1017252&categoryId=8380&pps=8
Clinique Take The Day Off Cleansing Balm,OFFER,,₹890 ,,4.6,1088,https://www.nykaa.com/clinique-take-the-day-off-cleansing-balm/p/509071?ptype=product&productId=509071&skuId=509071&categoryId=8380&pps=9
The Body Shop Vitamin E Gentle Facial Wash,,,₹745 ,,4.2,965,https://www.nykaa.com/the-body-shop-vitamin-e-gentle-facial-wash/p/25271?ptype=product&productId=25271&skuId=25271&categoryId=8380&pps=10
Cetaphil Daily Exfoliating Cleanser,,₹780,₹741 ,5% off,4.4,515,https://www.nykaa.com/cetaphil-daily-exfoliating-cleanser/p/583771?ptype=product&productId=583771&skuId=583771&categoryId=8380&pps=11
COSRX Low pH Good Morning Gel Cleanser,,,₹850 ,,4.5,479,https://www.nykaa.com/cosrx-low-ph-good-morning-gel-cleanser/p/757643?ptype=product&productId=757643&skuId=757643&categoryId=8380&pps=12
Bioderma Sensibio H2O Micellar Water,OFFER,,₹395 ,,4.6,2945,https://www.nykaa.com/bioderma-sensibio-h2o/p/9739?ptype=product&productId=9739&skuId=9739&categoryId=8380&pps=13
Cetaphil Bright Healthy Radiance Reveal Creamy Cleanser,,₹650,₹618 ,5% off,4.3,114,https://www.nykaa.com/cetaphil-bhr-brightness-reveal-creamy-cleanser/p/1171879?ptype=product&productId=1171879&skuId=1171879&categoryId=8380&pps=14
