name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa Black Magic! Gel Eyeliner - Jet Black,FEATURED,₹575,₹431 ,25% off,4.2,4322,https://www.nykaa.com/nykaa-black-magic-gel-eyeliner-jet-black/p/543843?ptype=product&productId=543843&skuId=543843&categoryId=240&pps=1
Maybelline New York Lasting Drama Gel Eyeliner With Expert E...,FEATURED,₹500,₹325 ,35% off,4.4,22002,https://www.nykaa.com/maybelline-eye-studio-lasting-drama-gel-eyeliner-black/p/8997?ptype=product&productId=8997&skuId=8997&categoryId=240&pps=2
Lakme 9 To 5 Black Impact Eye Liner - Black,FEATURED,₹300,₹220 ,27% off,3.7,6104,https://www.nykaa.com/lakme-black-impact-liner/p/980?ptype=product&productId=980&skuId=980&categoryId=240&pps=3
Huda Beauty Life Liner Duo Pencil & Liquid Eyeliner,FEATURED,,₹2050 ,,4.2,263,https://www.nykaa.com/huda-beauty-life-liner-duo-pencil-liquid-eyeliner/p/692797?ptype=product&productId=692797&skuId=692797&categoryId=240&pps=4
Kay Beauty Quick Dry Liquid Eyeliner,FEATURED,₹499,₹349 ,30% off,4.3,4484,https://www.nykaa.com/kay-beauty-eye-stylist-liquid-eyeliner/p/692836?ptype=product&productId=692836&skuId=692836&categoryId=240&pps=5
Inglot AMC Eyeliner Gel,BESTSELLER,₹1500,₹1050 ,30% off,4.4,1194,https://www.nykaa.com/inglot-amc-eyeliner-gel/p/21124?ptype=product&productId=21124&skuId=21124&categoryId=240&pps=6
Blue Heaven Intense Eyeliner Easy Sketch - Extreme Black,BESTSELLER,₹160,₹120 ,25% off,4.2,5336,https://www.nykaa.com/blue-heaven-sketch-eye-liner/p/27103?ptype=product&productId=27103&skuId=27103&categoryId=240&pps=7
Lakme Insta Eye Liner - Black,OFFER,,₹130 ,,4.2,27807,https://www.nykaa.com/lakme-insta-eye-liner/p/453968?ptype=product&productId=453968&skuId=985&categoryId=240&pps=8
Lakme Insta Eye Liner,BESTSELLER,,₹130 ,,4.2,27807,https://www.nykaa.com/lakme-insta-eye-liner/p/453968?ptype=product&productId=453968&skuId=453968&categoryId=240&pps=9
Nykaa Glamoreyes Colour Eye Pencil Kajal,OFFER,₹450,₹293 ,35% off,4.4,8536,https://www.nykaa.com/nykaa-glamoreyes-eye-pencil/p/158447?ptype=product&productId=158447&skuId=158447&categoryId=240&pps=10
Lakme Eyeconic Liner Pen Fine Tip - Deep Black,OFFER,₹500,₹300 ,40% off,4.3,3296,https://www.nykaa.com/lakme-eyeconic-liner-pen-fine-tip-black/p/234140?ptype=product&productId=234140&skuId=234140&categoryId=240&pps=11
Lakme Absolute Shine Line Eye Liner,OFFER,₹450,₹299 ,34% off,4.3,10392,https://www.nykaa.com/lakme-absolute-shine-eye-liner/p/6812?ptype=product&productId=6812&skuId=6812&categoryId=240&pps=12
Kay Beauty Waterproof 24 Hour Kajal - Spade - Black,OFFER,₹249,₹199 ,20% off,4.4,7593,https://www.nykaa.com/kay-kohlstar-kajal-spade/p/573594?ptype=product&productId=573594&skuId=573594&categoryId=240&pps=13
Nykaa Drama Eye Look Combo- Mascara + Eyeliner + Kajal,OFFER,₹897,₹650 ,28% off,4.3,28154,https://www.nykaa.com/nykaa-drama-eye-look-combo-mascara-eyeliner-kajal/p/1404068?ptype=product&productId=1404068&skuId=1404068&categoryId=240&pps=14
Lakme Absolute Kohl Ultimate The Gelato Collection,OFFER,₹800,₹400 ,50% off,4.1,1313,https://www.nykaa.com/lakme-absolute-kohl-ultimate-the-gelato-collection/p/684657?ptype=product&productId=684657&skuId=684657&categoryId=240&pps=15
Faces Canada Magneteyes Eyeliner - Dramatic Black Finish,OFFER,,₹249 ,,4.3,4259,https://www.nykaa.com/faces-magneteyes-eyeliner-black-01/p/251722?ptype=product&productId=251722&skuId=251722&categoryId=240&pps=16
Nykaa GLAMOReyes Coloured Liquid Eyeliner,OFFER,₹299,₹224 ,25% off,3.7,6216,https://www.nykaa.com/nykaa-glamoreyes-liquid-eyeliner/p/220094?ptype=product&productId=220094&skuId=220094&categoryId=240&pps=17
Colorbar Waterproof Liquid Eyeliner,OFFER,₹425,₹319 ,25% off,4.3,3976,https://www.nykaa.com/colorbar-precision-waterproof-liquid-eyeliner-with-shiny-silver-cap/p/4942?ptype=product&productId=4942&skuId=4942&categoryId=240&pps=18
M.A.C Technakohl Liner - Graphblack,OFFER,,₹1450 ,,4.2,867,https://www.nykaa.com/m-a-c-technakohl-liner/p/90880?ptype=product&productId=90880&skuId=90849&categoryId=240&pps=19
Colorbar Just Smoky Eye Pencil,OFFER,₹675,₹506 ,25% off,4.2,2595,https://www.nykaa.com/colorbar-just-smoky-eye-pencil/p/16480?ptype=product&productId=16480&skuId=16480&categoryId=240&pps=20
M.A.C Technakohl Liner,OFFER,,₹1450 ,,4.2,867,https://www.nykaa.com/m-a-c-technakohl-liner/p/90880?ptype=product&productId=90880&skuId=90880&categoryId=240&pps=1
M.A.C In Extreme Dimension 24hr Kajal Eye Liner,OFFER,,₹675 ,,5.0,3,https://www.nykaa.com/m-a-c-in-extreme-dimension-24hr-kajal-eye-liner/p/1341508?ptype=product&productId=1341508&skuId=1341508&categoryId=240&pps=2
PAC Longlasting Kohl Pencil,,₹395,₹356 ,10% off,4.2,1392,https://www.nykaa.com/pac-longlasting-kohl-pencil-273325/p/273325?ptype=product&productId=273325&skuId=273325&categoryId=240&pps=3
Miss Claire Glimmersticks For Eyes,OFFER,₹65,₹55 ,15% off,3.6,6549,https://www.nykaa.com/miss-claire-glimmersticks-for-eyes/p/262524?ptype=product&productId=262524&skuId=262524&categoryId=240&pps=4
Kay Beauty Quick Dry Liquid Eyeliner - Black Canvas,OFFER,₹499,₹399 ,20% off,4.3,4484,https://www.nykaa.com/kay-beauty-eye-stylist-liquid-eyeliner/p/692836?ptype=product&productId=692836&skuId=692828&categoryId=240&pps=5
Colorbar All-Matte Eyeliner,OFFER,₹700,₹525 ,25% off,4.3,1825,https://www.nykaa.com/colorbar-all-matte-eyeliner/p/87308?ptype=product&productId=87308&skuId=87308&categoryId=240&pps=6
Maybelline New York Colossal Bold Eyeliner - Black,OFFER,₹249,₹174 ,30% off,4.3,7919,https://www.nykaa.com/maybelline-new-york-colossal-bold-eyeliner-black/p/492633?ptype=product&productId=492633&skuId=492633&categoryId=240&pps=7
Blue Heaven Water Proof Eyeliner,OFFER,₹55,₹41 ,25% off,4.1,3172,https://www.nykaa.com/blue-heaven-water-proof-regular-eyeliner/p/716276?ptype=product&productId=716276&skuId=716276&categoryId=240&pps=8
SUGAR Wingman Waterproof Microliner - 01 I'll Be Black,OFFER,,₹499 ,,4.1,950,https://www.nykaa.com/sugar-wingman-waterproof-microliner-01-i-ll-be-black/p/730067?ptype=product&productId=730067&skuId=730067&categoryId=240&pps=9
Maybelline New York The Colossal Liner - Black,OFFER,₹420,₹273 ,35% off,4.1,9718,https://www.nykaa.com/maybelline-the-colossal-liner/p/18423?ptype=product&productId=18423&skuId=18423&categoryId=240&pps=10
Rimmel London Exaggerate Waterproof Eye Definer,,₹299,₹150 ,50% off,4.2,1316,https://www.nykaa.com/rimmel-exaggerate-waterproof-eye-definer/p/8557?ptype=product&productId=8557&skuId=8557&categoryId=240&pps=11
Wet n Wild Color Icon Kohl Liner Pencil,OFFER,₹195,₹166 ,15% off,3.9,8317,https://www.nykaa.com/wet-n-wild-color-icon-kohl-liner-pencil/p/216421?ptype=product&productId=216421&skuId=216421&categoryId=240&pps=12
Nykaa Line and Define combo: Black magic Eyeliner + Black Ma...,OFFER,₹469,₹325 ,31% off,4.2,10553,https://www.nykaa.com/nykaa-line-and-define-combo-black-magic-eyeliner-black-magic-kajal/p/1404060?ptype=product&productId=1404060&skuId=1404060&categoryId=240&pps=13
Nykaa Black Magic Liquid Eyeliner - Super Black 01,OFFER,₹299,₹254 ,15% off,4.1,9316,https://www.nykaa.com/nykaa-black-magic-liquid-eyeliner-super-black-01/p/81753?ptype=product&productId=81753&skuId=81753&categoryId=240&pps=14
Colorbar I-Glide Eye Pencil,OFFER,₹595,₹446 ,25% off,4.4,1868,https://www.nykaa.com/colorbar-i-glide-eye-pencil/p/376959?ptype=product&productId=376959&skuId=376959&categoryId=240&pps=15
Colorbar All-Rounder Pencil,OFFER,₹450,₹338 ,25% off,4.3,627,https://www.nykaa.com/colorbar-all-rounder-pencil/p/519696?ptype=product&productId=519696&skuId=519696&categoryId=240&pps=16
Swiss Beauty Intense Gel Kajal,,₹299,₹224 ,25% off,4.4,850,https://www.nykaa.com/swiss-beauty-intense-gel-kajal-eyeliner/p/633572?ptype=product&productId=633572&skuId=633572&categoryId=240&pps=17
Inglot AMC Eyeliner Gel - 76,,₹1500,₹1050 ,30% off,4.4,1194,https://www.nykaa.com/inglot-amc-eyeliner-gel-76/p/21107?ptype=product&productId=21124&skuId=21107&categoryId=240&pps=18
Swiss Beauty 2 In 1 Eyebrow & Gel Eyeliner,,₹299,₹224 ,25% off,4.4,409,https://www.nykaa.com/swiss-beauty-2-in-1-eyebrow-gel-eyeliner/p/765233?ptype=product&productId=765233&skuId=765233&categoryId=240&pps=19
Nykaa Eyem BLACK Kajal Eyeliner With Free Nykaa Sharpener,OFFER,₹375,₹319 ,15% off,4.2,3273,https://www.nykaa.com/nykaa-eyem-black-kajal/p/92042?ptype=product&productId=92042&skuId=92042&categoryId=240&pps=20
L'Oreal Paris Super Liner Super Star Duo Designer,,₹699,₹489 ,30% off,4.2,1257,https://www.nykaa.com/l-oreal-paris-super-liner-super-star-duo-designer/p/158813?ptype=product&productId=158813&skuId=158813&categoryId=240&pps=1
Too Faced Better Than Sex Liquid Eye Liner - Deepest Black,OFFER,,₹1800 ,,4.3,301,https://www.nykaa.com/too-faced-better-than-sex-liquid-eye-liner-deepest-black/p/660502?ptype=product&productId=660502&skuId=660502&categoryId=240&pps=2
