name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa Black Magic! Gel Eyeliner - Jet Black,FEATURED,₹575,₹489 ,15% off,4.2,4484,https://www.nykaa.com/nykaa-black-magic-gel-eyeliner-jet-black/p/543843?ptype=product&productId=543843&skuId=543843&categoryId=240&pps=1
L'Oreal Paris Super Liner Super Star Duo Designer,FEATURED,₹699,₹524 ,25% off,4.2,1284,https://www.nykaa.com/l-oreal-paris-super-liner-super-star-duo-designer/p/158813?ptype=product&productId=158813&skuId=158813&categoryId=240&pps=2
Lakme 9 To 5 Black Impact Eye Liner - Black,FEATURED,₹300,₹270 ,10% off,3.7,6318,https://www.nykaa.com/lakme-black-impact-liner/p/980?ptype=product&productId=980&skuId=980&categoryId=240&pps=3
Swiss Beauty Bold Felt Tip Eyeliner - Jet Black,FEATURED,₹249,₹224 ,10% off,4.3,1544,https://www.nykaa.com/swiss-beauty-bold-felt-tip-eyeliner-01-jet-black/p/392481?ptype=product&productId=392481&skuId=392481&categoryId=240&pps=4
Kay Beauty Quick Dry Liquid Eyeliner,FEATURED,₹499,₹399 ,20% off,4.3,4765,https://www.nykaa.com/kay-beauty-eye-stylist-liquid-eyeliner/p/692836?ptype=product&productId=692836&skuId=692836&categoryId=240&pps=5
Inglot AMC Eyeliner Gel,FEATURED,₹1500,₹1050 ,30% off,4.5,1354,https://www.nykaa.com/inglot-amc-eyeliner-gel/p/21124?ptype=product&productId=21124&skuId=21124&categoryId=240&pps=6
Bobbi Brown Long-Wear Gel Eyeliner - Black Ink,FEATURED,,₹1600 ,,4.2,601,https://www.nykaa.com/bobbi-brown-long-wear-gel-eyeliner/p/102260?ptype=product&productId=102260&skuId=102261&categoryId=240&pps=7
Rimmel London Exaggerate Waterproof Eye Definer,FEATURED,₹299,₹150 ,50% off,4.1,1458,https://www.nykaa.com/rimmel-exaggerate-waterproof-eye-definer/p/8557?ptype=product&productId=8557&skuId=8557&categoryId=240&pps=8
Lakme Insta Eye Liner - Black,,₹130,₹124 ,5% off,4.2,29011,https://www.nykaa.com/lakme-insta-eye-liner/p/453968?ptype=product&productId=453968&skuId=985&categoryId=240&pps=9
Lakme Insta Eye Liner,BESTSELLER,₹130,₹124 ,5% off,4.2,29011,https://www.nykaa.com/lakme-insta-eye-liner/p/453968?ptype=product&productId=453968&skuId=453968&categoryId=240&pps=10
