name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa BlendPro Powder Stippling Makeup Brush,SALE OFFER INSIDE,,₹599 ,,3.7,528,https://www.nykaa.com/nykaa-skin-secrets-sheet-mask/p/417929?ptype=product&productId=417929&skuId=417929&categoryId=267&pps=1
PAC Synthetic Series Brush Set (25 Brushes),SALE OFFER INSIDE,,₹7995 ,,4.5,444,https://www.nykaa.com/pac-synthetic-brush-set-25-brushes/p/273332?ptype=product&productId=273332&skuId=273332&categoryId=267&pps=2
Sigma Beauty Flat Kabuki Brush - F80,SALE OFFER INSIDE,,₹2200 ,,4.5,92,https://www.nykaa.com/sigma-beauty-flat-kabuki-brush-f80/p/457571?ptype=product&productId=457571&skuId=457571&categoryId=267&pps=3
Pro Arte Eye Blender Brush (AE-24),SALE OFFER INSIDE,,₹450 ,,4.3,121,https://www.nykaa.com/pro-arte-eye-blender/p/155377?ptype=product&productId=155377&skuId=155377&categoryId=267&pps=4
PAC Absolute Basics Brush Set (14 Brushes),SALE OFFER INSIDE,,₹4950 ,,4.4,312,https://www.nykaa.com/pac-brush-kit-14-brushes/p/82257?ptype=product&productId=82257&skuId=82257&categoryId=267&pps=5
PAC Blending Foundation Brush - 231,SALE OFFER INSIDE,,₹545 ,,4.6,1120,https://www.nykaa.com/pac-buffing-brush-231/p/134546?ptype=product&productId=134546&skuId=134546&categoryId=267&pps=6
PAC Concealer Brush - 219,SALE OFFER INSIDE,,₹395 ,,4.6,709,https://www.nykaa.com/pac-dense-concealer-brush-219/p/134581?ptype=product&productId=134581&skuId=134581&categoryId=267&pps=7
Bronson Professional Makeup Brush Set of 24 Brushes With Lux...,SALE OFFER INSIDE,,₹700 ,,3.9,1724,https://www.nykaa.com/bronson-professional-makeup-brush-set-of-24-brushes-with-luxury-leather-storage-pouch/p/458880?ptype=product&productId=458880&skuId=458880&categoryId=267&pps=8
Beautiliss Glitter Dust Makeup Brush Set With Shimmer Storag...,SALE OFFER INSIDE,,₹1000 ,,4.2,112,https://www.nykaa.com/beautiliss-glitter-dust-makeup-brush-set-with-shimmer-storage-case/p/1016496?ptype=product&productId=1016496&skuId=1016496&categoryId=267&pps=9
PAC Blending Foundation Brush - 265,SALE OFFER INSIDE,,₹535 ,,4.5,1751,https://www.nykaa.com/pac-dense-flat-top-stippling-brush-265/p/134588?ptype=product&productId=134588&skuId=134588&categoryId=267&pps=10
Swiss Beauty Makeup Brushes - Golden,SALE OFFER INSIDE,,₹299 ,,4.2,350,https://www.nykaa.com/swiss-beauty-makeup-brushes-golden/p/633629?ptype=product&productId=633629&skuId=633629&categoryId=267&pps=11
PAC Powder Brush - 245,SALE OFFER INSIDE,,₹485 ,,4.6,568,https://www.nykaa.com/pac-fluffy-tapered-brush-245/p/134604?ptype=product&productId=134604&skuId=134604&categoryId=267&pps=12
PAC Blush Brush - 214,SALE OFFER INSIDE,,₹585 ,,4.6,395,https://www.nykaa.com/pac-dense-multi-use-brush-214/p/134590?ptype=product&productId=134590&skuId=134590&categoryId=267&pps=13
PAC Translucent Powder,SALE OFFER INSIDE,,₹595 ,,4.1,510,https://www.nykaa.com/pac-translucent-powder-342983/p/342983?ptype=product&productId=342983&skuId=342983&categoryId=267&pps=14
PAC Blending Foundation Brush - 252,SALE OFFER INSIDE,,₹665 ,,4.6,569,https://www.nykaa.com/pac-large-flat-top-kabuki-brush-252/p/134609?ptype=product&productId=134609&skuId=134609&categoryId=267&pps=15
Nykaa Kabuki Brush,SALE OFFER INSIDE,,₹599 ,,4.6,466,https://www.nykaa.com/nykaa-kabuki-brush/p/669983?ptype=product&productId=669983&skuId=669983&categoryId=267&pps=16
Nykaa BuffMaster Silicone Makeup Brush Cleaner,SALE OFFER INSIDE,,₹299 ,,4.5,1163,https://www.nykaa.com/nykaa-buffmaster-silicone-makeup-brush-cleaner/p/220106?ptype=product&productId=220106&skuId=220106&categoryId=267&pps=17
Nykaa BlendPro Powder Makeup Brush,SALE OFFER INSIDE,,₹699 ,,4.3,601,https://www.nykaa.com/nykaa-blendpro-powder-makeup-brush/p/284342?ptype=product&productId=284342&skuId=284342&categoryId=267&pps=18
PAC Blending Eyeshadow Brush - 208,SALE OFFER INSIDE,,₹395 ,,4.4,322,https://www.nykaa.com/pac-pencil-brush-208/p/134912?ptype=product&productId=134912&skuId=134912&categoryId=267&pps=19
Bronson Professional Mini Makeup Brushes - Set of 12,SALE OFFER INSIDE,,₹360 ,,3.8,4863,https://www.nykaa.com/bronson-professional-mini-makeup-brushes-set-of-12/p/352968?ptype=product&productId=352968&skuId=352968&categoryId=267&pps=20
Real Techniques Flawless Base Set(RT-1533),SALE OFFER INSIDE,,₹2249 ,,4.5,237,https://www.nykaa.com/real-techniques-flawless-base-set/p/290234?ptype=product&productId=290234&skuId=290234&categoryId=267&pps=1
PAC Blending Eyeshadow Brush - 203,SALE OFFER INSIDE,,₹525 ,,4.5,474,https://www.nykaa.com/pac-blending-brush-203/p/134544?ptype=product&productId=134544&skuId=134544&categoryId=267&pps=2
PAC Contouring Brush - 247,SALE OFFER INSIDE,,₹595 ,,4.5,273,https://www.nykaa.com/pac-angle-flat-top-kabuki-brush-247/p/134539?ptype=product&productId=134539&skuId=134539&categoryId=267&pps=3
Nykaa BlendPro Foundation Makeup Brush,SALE OFFER INSIDE,,₹499 ,,4.3,494,https://www.nykaa.com/nykaa-blendpro-foundation-makeup-brush/p/437386?ptype=product&productId=437386&skuId=437386&categoryId=267&pps=4
PAC Foundation Brush - 224,SALE OFFER INSIDE,,₹625 ,,4.4,106,https://www.nykaa.com/pac-dual-end-foundation-concealer-brush-224/p/134594?ptype=product&productId=134594&skuId=134594&categoryId=267&pps=5
