name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa Lip Crush Macaron Lip Balm,FEATURED,₹249,₹199 ,20% off,4.2,18867,https://www.nykaa.com/nykaa-lip-crush-macaron-lip-balm/p/348513?ptype=product&productId=348513&skuId=348513&categoryId=254&pps=1
Maybelline New York Baby Lips Color Balm,FEATURED,,₹175 ,,4.4,10591,https://www.nykaa.com/maybelline-baby-lips-balm/p/3062?ptype=product&productId=3062&skuId=3062&categoryId=254&pps=2
Lakme Lip Love Chapstick SPF 15,FEATURED,₹150,₹99 ,34% off,4.3,12453,https://www.nykaa.com/lakme-lip-love-chapstick/p/363154?ptype=product&productId=363154&skuId=363154&categoryId=254&pps=3
NIVEA Fruity Shine Lip Balm,BESTSELLER,₹185,₹157 ,15% off,4.4,9415,https://www.nykaa.com/nivea-fruity-shine-lip-balm/p/13647?ptype=product&productId=13647&skuId=13647&categoryId=254&pps=4
Biotique Bio Fruit Whitening Lip Balm,BESTSELLER,₹175,₹123 ,30% off,4.4,11886,https://www.nykaa.com/biotique-bio-fruit-whitening-lip-balm/p/13405?ptype=product&productId=13405&skuId=13405&categoryId=254&pps=5
The Body Shop Vitamin E Lip Care SPF 15,,,₹395 ,,4.4,1324,https://www.nykaa.com/the-body-shop-vitamin-e-lip-care-spf-15/p/25272?ptype=product&productId=25272&skuId=25272&categoryId=254&pps=6
Forest Essentials Tinted Lip Serum Madhu Rasa,,,₹1295 ,,4.3,171,https://www.nykaa.com/forest-essentials-tinted-lip-serum-madhu-rasa/p/1099344?ptype=product&productId=1099344&skuId=1099344&categoryId=254&pps=7
SUGAR Tipsy Lips Moisturizing Balm,OFFER,,₹199 ,,4.4,1307,https://www.nykaa.com/sugar-tipsy-lips-moisturizing-balm/p/886175?ptype=product&productId=886175&skuId=886175&categoryId=254&pps=9
Maybelline New York Alia Loves New York Baby Lips,BESTSELLER,,₹175 ,,4.3,12112,https://www.nykaa.com/maybelline-new-york-alia-loves-new-york-baby-lips/p/326835?ptype=product&productId=326835&skuId=326835&categoryId=254&pps=10
Bobbi Brown Extra Lip Tint,OFFER,,₹2550 ,,4.4,626,https://www.nykaa.com/bobbi-brown-extra-lip-tint/p/101999?ptype=product&productId=101999&skuId=101999&categoryId=254&pps=11
The Body Shop Born Lippy Pot Lip Balm - Strawberry,,,₹295 ,,4.4,1217,https://www.nykaa.com/the-body-shop-born-lippy-pot-lip-balm-strawberry/p/25844?ptype=product&productId=25844&skuId=25844&categoryId=254&pps=12
Maybelline New York Baby Lips Color Balm SPF 20 - Berry Crus...,,,₹175 ,,4.4,10591,https://www.nykaa.com/maybelline-baby-lips-balm-berry-crush/p/3725?ptype=product&productId=3062&skuId=3725&categoryId=254&pps=13
Maybelline New York Baby Lips Color Bloom,,,₹180 ,,4.5,4667,https://www.nykaa.com/maybelline-lip-smooth-color-bloom/p/6253?ptype=product&productId=6253&skuId=6253&categoryId=254&pps=14
"NIVEA Lip Balm, Original Care, for 24h Moisture with Shea Bu...",,₹140,₹119 ,15% off,4.5,5365,https://www.nykaa.com/nivea-essential-care/p/2219?ptype=product&productId=2219&skuId=2219&categoryId=254&pps=15
Nykaa Serial Kisser Lip Balm,,₹149,₹119 ,20% off,3.9,11408,https://www.nykaa.com/nykaa-serial-kisser-lip-balm/p/422912?ptype=product&productId=422912&skuId=422912&categoryId=254&pps=16
Nykaa Lip Crush Macaron Lip Balm - Strawberry 06,,,₹249 ,,4.2,18867,https://www.nykaa.com/nykaa-lip-crush-macaron-lip-balm-strawberry-06/p/348511?ptype=product&productId=348513&skuId=348511&categoryId=254&pps=17
Huda Beauty Eyes Gift Set,,,₹2800 ,,4.5,176,https://www.nykaa.com/huda-beauty-eyes-gift-set-na/p/1010321?ptype=product&productId=1010321&skuId=1010321&categoryId=254&pps=18
Blue Heaven Lip Bomb - Cocoa Butter,,,₹85 ,,4.2,4625,https://www.nykaa.com/blue-heaven-lip-bomb-cocoa-butter/p/32065?ptype=product&productId=32065&skuId=32065&categoryId=254&pps=19
Biotique Bio Berry Plumping Lip Balm Smoothes & Swells Lips,,₹175,₹123 ,30% off,4.4,2863,https://www.nykaa.com/biotique-bio-berry-plumping-lip-balm-smoothes-swells-lips/p/39999?ptype=product&productId=39999&skuId=39999&categoryId=254&pps=20
Innisfree Glow Tint Lip Balm,,,₹530 ,,4.2,516,https://www.nykaa.com/innisfree-glow-tint-lip-balm/p/200835?ptype=product&productId=200835&skuId=200835&categoryId=254&pps=21
Blue Heaven Lip Bomb - Strawberry,,,₹85 ,,4.2,4155,https://www.nykaa.com/blue-heaven-lip-bomb-strawberry/p/32064?ptype=product&productId=32064&skuId=32064&categoryId=254&pps=1
Estee Lauder Pure Color Envy Replenish Lip Balm,OFFER,,₹2100 ,,4.5,273,https://www.nykaa.com/estee-lauder-pure-color-envy-blooming-lip-balm/p/508373?ptype=product&productId=508373&skuId=508373&categoryId=254&pps=2
Clinique Moisture Surge Pop Triple Lip Balm,OFFER,,₹1950 ,,4.2,135,https://www.nykaa.com/clinique-moisture-surge-pop-triple-lip-balm/p/745839?ptype=product&productId=745839&skuId=745839&categoryId=254&pps=3
Blue Heaven Lip Bomb - Bubble Gum,,,₹85 ,,4.2,6211,https://www.nykaa.com/blue-heaven-lip-bomb-bubble-gum/p/32063?ptype=product&productId=32063&skuId=32063&categoryId=254&pps=4
Benefit Cosmetics California Kissin' Colorbalm,,,₹1950 ,,4.4,63,https://www.nykaa.com/benefit-cosmetics-california-kissin-colorbalm/p/1291699?ptype=product&productId=1291699&skuId=1291699&categoryId=254&pps=6
Miss Claire Butter Lip Balm,OFFER,,₹150 ,,4.0,3149,https://www.nykaa.com/miss-claire-butter-lip-balm/p/262177?ptype=product&productId=262177&skuId=262177&categoryId=254&pps=7
"NIVEA Lip Balm, Soft Rose, for 24h Moisture with Natural Oil...",,₹185,₹157 ,15% off,4.4,9415,https://www.nykaa.com/nivea-soft-rose-lip-care/p/6696?ptype=product&productId=13647&skuId=6696&categoryId=254&pps=8
Palmer's Cocoa Butter Formula Lip Balm SPF 15,,,₹130 ,,5.0,365,https://www.nykaa.com/palmer-s-cocoa-butter-formula-lip-balm-spf-15-4-gm/p/188778?ptype=product&productId=188778&skuId=188778&categoryId=254&pps=9
Clinique Chubby Stick Moisturizing Lip Colour Balm,OFFER,,₹1800 ,,4.4,189,https://www.nykaa.com/clinique-chubby-stick-moisturizing-lip-colour-balm/p/76585?ptype=product&productId=76585&skuId=76585&categoryId=254&pps=10
"NIVEA Lip Balm, Watermelon Shine, 24h Moisture with Natural ...",,₹185,₹167 ,10% off,4.4,9415,https://www.nykaa.com/nivea-fruity-shine-lip-balm-watermelon/p/13646?ptype=product&productId=13647&skuId=13646&categoryId=254&pps=11
Huda Beauty Diamond Lip Balm,,,₹2000 ,,4.0,135,https://www.nykaa.com/huda-beauty-dimond-lip-balm/p/765316?ptype=product&productId=765316&skuId=765316&categoryId=254&pps=12
The Body Shop Strawberry Lip Butter,,,₹250 ,,4.1,1151,https://www.nykaa.com/the-body-shop-strawberry-lip-butter/p/28651?ptype=product&productId=28651&skuId=28651&categoryId=254&pps=13
Bobbi Brown Lip Balm SPF 15,OFFER,,₹2400 ,,4.5,222,https://www.nykaa.com/bobbi-brown-lip-balm-spf-15/p/117597?ptype=product&productId=117597&skuId=117597&categoryId=254&pps=14
Clinique Chubby Stick Intense Moisturizing Lip Colour Balm,OFFER,,₹1800 ,,4.2,292,https://www.nykaa.com/clinique-chubby-stick-intense-moisturizing-lip-colour-balm/p/76600?ptype=product&productId=76600&skuId=76600&categoryId=254&pps=15
Vaadi Herbals Lip Balm - Orange,OFFER,,₹58 ,,4.3,6742,https://www.nykaa.com/vaadi-herbals-lip-balm-orange-shea-butter/p/11151?ptype=product&productId=11151&skuId=11151&categoryId=254&pps=16
Huda Beauty Silk Balm Hydra-plumping Lip Balm,,,₹1750 ,,4.5,33,https://www.nykaa.com/huda-beauty-silk-balm-hydra-plumping-lip-balm/p/856499?ptype=product&productId=856499&skuId=856499&categoryId=254&pps=17
Innisfree My Lip Balm,,,₹750 ,,4.5,450,https://www.nykaa.com/innisfree-my-lip-balm/p/738144?ptype=product&productId=738144&skuId=738144&categoryId=254&pps=18
Revlon Kiss Cushion Lip Tint,,₹980,₹833 ,15% off,3.9,173,https://www.nykaa.com/revlon-kiss-cushion-lip-tint/p/518146?ptype=product&productId=518146&skuId=518146&categoryId=254&pps=19
Himalaya Rich Cocoa Butter Lip Care,OFFER,₹150,₹138 ,8% off,4.3,895,https://www.nykaa.com/himalaya-rich-cocoa-butter-lip-care/p/151826?ptype=product&productId=151826&skuId=151826&categoryId=254&pps=20
Lotus Herbals Strawberry Lip Balm,,₹190,₹152 ,20% off,4.5,768,https://www.nykaa.com/lotus-herbals-strawberry-lip-balm/p/10749?ptype=product&productId=10749&skuId=10749&categoryId=254&pps=21
PIXI Shea Butter Lip Balm,,,₹850 ,,3.2,128,https://www.nykaa.com/pixi-shea-butter-lip-balm/p/762162?ptype=product&productId=762162&skuId=762162&categoryId=254&pps=1
Revlon Matte Balm,,₹1095,₹931 ,15% off,4.2,676,https://www.nykaa.com/revlon-colorburst-matte-balm/p/13698?ptype=product&productId=13698&skuId=13698&categoryId=254&pps=2
Maybelline New York Baby Lips Color Balm - Cherry Kiss + Ber...,,,₹350 ,,4.7,50,https://www.nykaa.com/maybelline-new-york-baby-lips-color-balm-cherry-kiss-berry-crush/p/861342?ptype=product&productId=861342&skuId=861342&categoryId=254&pps=3
Himalaya Strawberry Shine Lip Care,OFFER,₹150,₹138 ,8% off,4.2,1057,https://www.nykaa.com/himalaya-strawberry-shine-lip-care/p/23165?ptype=product&productId=23165&skuId=23165&categoryId=254&pps=4
Maybelline New York Baby Lips Color Balm - Pink Lolita + Che...,,,₹350 ,,4.7,64,https://www.nykaa.com/maybelline-new-york-baby-lips-color-balm-pink-lolita-cherry-kiss/p/861340?ptype=product&productId=861340&skuId=861340&categoryId=254&pps=5
Kama Ayurveda Rose Lip Care,,,₹595 ,,4.2,407,https://www.nykaa.com/kama-ayurveda-rose-lip-balm/p/28305?ptype=product&productId=28305&skuId=28305&categoryId=254&pps=6
Colorbar Lip Prime & Care,OFFER,₹700,₹525 ,25% off,4.3,342,https://www.nykaa.com/colorbar-lip-prime-care/p/138501?ptype=product&productId=138501&skuId=138501&categoryId=254&pps=7
Innisfree Simplelabel Lip Color Balm,,,₹870 ,,4.3,82,https://www.nykaa.com/innisfree-simplelabel-lip-color-balm/p/947949?ptype=product&productId=947949&skuId=947949&categoryId=254&pps=8
The Moms Co. Natural Cherry Lip Balm With Vitamin E And Natu...,OFFER,₹199,₹169 ,15% off,4.1,55,https://www.nykaa.com/the-moms-co-natural-cherry-lip-balm-with-vitamin-e-and-natural-extracts-for-deep-hydration/p/1315728?ptype=product&productId=1315728&skuId=1315728&categoryId=254&pps=9
Lotus Herbals Lip Lush Tinted Lip Balm,,₹195,₹166 ,15% off,3.6,674,https://www.nykaa.com/lotus-herbals-lip-lush-tinted-lip-balm/p/165121?ptype=product&productId=165121&skuId=165121&categoryId=254&pps=10
Organic Harvest Strawberry Lip Balm - Velvet Red,,,₹125 ,,4.1,365,https://www.nykaa.com/organic-harvest-strawberry-lip-balm-3gm/p/638715?ptype=product&productId=638715&skuId=638715&categoryId=254&pps=11
Himalaya Sun Protect Orange Lip Care SPF 30 PA+++,OFFER,₹175,₹166 ,5% off,4.1,703,https://www.nykaa.com/himalaya-sun-protect-orange-lip-care-spf-30-pa+++/p/286478?ptype=product&productId=286478&skuId=286478&categoryId=254&pps=12
Biotique Bio Morning Nectar Visibly Flawless Lip Balm,,₹175,₹149 ,15% off,4.3,400,https://www.nykaa.com/biotique-bio-morning-nectar-lightning-lip-balm-spf-30-uva-uvb-sunscreen/p/40007?ptype=product&productId=40007&skuId=40007&categoryId=254&pps=13
Organic Harvest Lily Lip Butter - Power Pink,,,₹199 ,,4.6,320,https://www.nykaa.com/organic-harvest-lily-lip-butter-4gm/p/638719?ptype=product&productId=638719&skuId=638719&categoryId=254&pps=14
Estee Lauder Pure Color Envy Lip Repair Potion,OFFER,,₹2100 ,,4.3,97,https://www.nykaa.com/estee-lauder-pure-color-envy-lip-repair/p/508375?ptype=product&productId=508375&skuId=508375&categoryId=254&pps=15
M.A.C Lip Conditioner Hydratant,,,₹1600 ,,4.4,193,https://www.nykaa.com/m-a-c-lip-conditioner-tube/p/89969?ptype=product&productId=89969&skuId=89969&categoryId=254&pps=16
Vaadi Herbals Lip Balm - Blueberry,OFFER,,₹58 ,,4.2,2462,https://www.nykaa.com/vaadi-herbals-lip-balm-blueberry-11399/p/11399?ptype=product&productId=11399&skuId=11399&categoryId=254&pps=17
Maybelline New York Baby Lips Color Balm - Pink Lolita + Ber...,,,₹350 ,,4.5,56,https://www.nykaa.com/maybelline-new-york-baby-lips-color-balm-pink-lolita-berry-crush/p/861341?ptype=product&productId=861341&skuId=861341&categoryId=254&pps=18
SERY Pout 'N' Shine Lip Tint,,₹375,₹300 ,20% off,4.1,242,https://www.nykaa.com/sery-pout-n-shine-lip-tint/p/862698?ptype=product&productId=862698&skuId=862698&categoryId=254&pps=19
Biotique Natural Makeup Magikisses Lip Balm SPF 20,,,₹150 ,,3.9,518,https://www.nykaa.com/biotique-natural-makeup-magikisses-lip-balm/p/579144?ptype=product&productId=579144&skuId=579144&categoryId=254&pps=20
L'Occitane Shea Butter Ultra Rich Lip Balm,,,₹850 ,,4.1,93,https://www.nykaa.com/loccitane-shea-butter-ultra-rich-lip-balm/p/29649?ptype=product&productId=29649&skuId=29649&categoryId=254&pps=1
Earth Rhythm Tinted Lippie Puck It Lip Balm - Ahoy There,,,₹650 ,,3.2,39,https://www.nykaa.com/earth-rhythm-tinted-lippie-puck-it-lip-balm-ahoy-there/p/1067984?ptype=product&productId=1067984&skuId=1067984&categoryId=254&pps=2
Earth Rhythm Tinted Lippie Puck It Lip Balm - Lady Bug,,,₹650 ,,3.4,38,https://www.nykaa.com/earth-rhythm-tinted-lippie-puck-it-lip-balm-lady-bug/p/1067981?ptype=product&productId=1067981&skuId=1067981&categoryId=254&pps=3
Himalaya Litchi Shine Lip Care,OFFER,₹150,₹138 ,8% off,4.1,393,https://www.nykaa.com/himalaya-litchi-shine-lip-care/p/151806?ptype=product&productId=151806&skuId=151806&categoryId=254&pps=4
BECCA Hydra-Light Plumping Lip Balm,OFFER,,₹1850 ,,4.6,42,https://www.nykaa.com/becca-hydra-light-plumping-lip-balm/p/1004434?ptype=product&productId=1004434&skuId=1004434&categoryId=254&pps=5
Lakme Lip Love Gelato Chapstick,,₹150,₹99 ,34% off,4.3,589,https://www.nykaa.com/lakme-lip-love-gelato-chapstick/p/888639?ptype=product&productId=888639&skuId=888639&categoryId=254&pps=6
Chambor Orosa Butter Lipstick,,,₹1095 ,,3.9,152,https://www.nykaa.com/chambor-orosa-butter-lip-stick/p/450023?ptype=product&productId=450023&skuId=450023&categoryId=254&pps=7
Himalaya Peach Shine Lip Care,OFFER,₹150,₹138 ,8% off,4.2,604,https://www.nykaa.com/himalaya-peach-shine-lip-care/p/151815?ptype=product&productId=151815&skuId=151815&categoryId=254&pps=8
Nykaa Serial Kisser Strawberry & Raspberry Lip Balm Combo,,₹298,₹224 ,25% off,4.0,309,https://www.nykaa.com/nykaa-serial-kisser-strawberry-raspberry-lip-balm-combo/p/1181100?ptype=product&productId=1181100&skuId=1181100&categoryId=254&pps=9
The Face Shop Lip Care Cream - Mango,OFFER,₹450,₹428 ,5% off,4.4,109,https://www.nykaa.com/the-face-shop-lip-care-cream-mango/p/566095?ptype=product&productId=566095&skuId=566095&categoryId=254&pps=10
MyGlamm LIT - pH Lip Balm,OFFER,₹345,₹311 ,10% off,4.1,121,https://www.nykaa.com/myglamm-lit-ph-lip-balm/p/506065?ptype=product&productId=506065&skuId=506065&categoryId=254&pps=11
Khadi Natural Kiwi Fruit Lip Balm,,,₹99 ,,4.2,396,https://www.nykaa.com/khadi-natural-kiwi-fruit-lip-balm/p/240360?ptype=product&productId=240360&skuId=240360&categoryId=254&pps=12
Maybelline New York Colossal Kajal & Baby Lips Pink Lolita &...,NEW,,₹554 ,,5.0,6,https://www.nykaa.com/maybelline-new-york-colossal-kajal-baby-lips-pink-lolita-fit-me-compact-combo/p/1457125?ptype=product&productId=1457125&skuId=1457125&categoryId=254&pps=13
Himalaya Natural Soft Vanilla Lip Care,OFFER,₹150,₹138 ,8% off,4.2,80,https://www.nykaa.com/himalaya-natural-soft-vanilla-lip-care/p/151810?ptype=product&productId=151810&skuId=151810&categoryId=254&pps=14
Fabindia Skin Care Plum Passion Lip Butter,,,₹135 ,,3.8,356,https://www.nykaa.com/fabindia-face-plum-passion-lip-butter/p/9720?ptype=product&productId=9720&skuId=9720&categoryId=254&pps=15
Kama Ayurveda Almond And Coconut Lip Balm,,,₹645 ,,4.2,188,https://www.nykaa.com/kama-ayurveda-almond-and-coconut-lip-balm/p/28302?ptype=product&productId=28302&skuId=28302&categoryId=254&pps=16
Vaadi Herbals Lip Balm - Blueberry,OFFER,,₹69 ,,4.3,783,https://www.nykaa.com/vaadi-herbals-lip-balm-blueberry/p/11398?ptype=product&productId=11398&skuId=11398&categoryId=254&pps=17
The Moms Co. Natural Vanilla Lip Balm With Vitamin E And Nat...,OFFER,₹199,₹169 ,15% off,4.1,46,https://www.nykaa.com/the-moms-co-natural-vanilla-lip-balm-with-vitamin-e-and-natural-extracts-for-deep-hydration/p/1315730?ptype=product&productId=1315730&skuId=1315730&categoryId=254&pps=18
Earth Rhythm Tinted Lippie Puck It Lip Balm - Rose Bud,,,₹650 ,,3.8,26,https://www.nykaa.com/earth-rhythm-tinted-lippie-puck-it-lip-balm-rose-bud/p/1067980?ptype=product&productId=1067980&skuId=1067980&categoryId=254&pps=19
