name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa Matte Luxe Lipstick,SALE OFFER INSIDE,,₹799 ,,4.4,3590,https://www.nykaa.com/nykaa-matte-luxe-lipstick/p/746089?ptype=product&productId=746089&skuId=746089&categoryId=249&pps=1
L'Oreal Paris Color Riche Moist Matte Lipstick,SALE OFFER INSIDE,,₹750 ,,4.3,7641,https://www.nykaa.com/l-oreal-paris-color-riche-moist-matte-lipstick-3-5gm/p/338316?ptype=product&productId=338316&skuId=338316&categoryId=249&pps=2
Lakme 9 To 5 Primer + Matte Lipstick,SALE OFFER INSIDE,,₹500 ,,4.3,1634,https://www.nykaa.com/lakme-9-to-5-primer-matte-lipstick/p/1037767?ptype=product&productId=1037767&skuId=1037767&categoryId=249&pps=3
Kay Beauty Long Stay Matte Lipstick,SALE OFFER INSIDE,,₹999 ,,4.5,1105,https://www.nykaa.com/kay-beauty-matte-lipstick/p/1010793?ptype=product&productId=1010793&skuId=1010793&categoryId=249&pps=4
Huda Beauty Power Bullet Matte Lipstick,SALE OFFER INSIDE,,₹1995 ,,4.3,3171,https://www.nykaa.com/huda-beauty-power-bullet-matte-lipstick/p/504028?ptype=product&productId=504028&skuId=504028&categoryId=249&pps=5
M.A.C Lipstick / Mini,SALE OFFER INSIDE,,₹1050 ,,4.4,13844,https://www.nykaa.com/lipstick-little-m-a-c/p/331327?ptype=product&productId=331327&skuId=331327&categoryId=249&pps=6
Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,SALE OFFER INSIDE,,₹749 ,,4.5,12684,https://www.nykaa.com/faces-ultime-pro-hd-intense-matte-lips-primer/p/370965?ptype=product&productId=370965&skuId=370965&categoryId=249&pps=7
Nykaa So Creme! Creamy Matte Lipstick,SALE OFFER INSIDE,,₹299 ,,4.3,26226,https://www.nykaa.com/nykaa-so-creme-creamy-matte-lipstick/p/683166?ptype=product&productId=683166&skuId=683166&categoryId=249&pps=8
Maybelline New York Color Sensational Creamy Matte Lipstick,SALE OFFER INSIDE,,₹299 ,,4.3,53102,https://www.nykaa.com/maybelline-new-york-color-sensational-creamy-matte-lipsticks/p/353926?ptype=product&productId=353926&skuId=353926&categoryId=249&pps=10
Faces Canada Weightless Matte Finish Lipstick,SALE OFFER INSIDE,,₹299 ,,4.2,20573,https://www.nykaa.com/faces-weightless-matte-finish-lipstick/p/466327?ptype=product&productId=466327&skuId=466327&categoryId=249&pps=11
M.A.C Matte Lipstick,SALE OFFER INSIDE,,₹1700 ,,4.5,4328,https://www.nykaa.com/m-a-c-matte-lipstick/p/90344?ptype=product&productId=90344&skuId=90344&categoryId=249&pps=12
Kay Beauty Matteinee Matte Lip Crayon Lipstick,SALE OFFER INSIDE,,₹799 ,,4.3,9450,https://www.nykaa.com/kay-matteinee-lip-crayon/p/573181?ptype=product&productId=573181&skuId=573181&categoryId=249&pps=13
Maybelline New York Super Stay Crayon Lipstick,SALE OFFER INSIDE,,₹599 ,,4.4,6614,https://www.nykaa.com/maybelline-new-york-super-stay-crayon-lipstick/p/595323?ptype=product&productId=595323&skuId=595323&categoryId=249&pps=14
SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,SALE OFFER INSIDE,,₹799 ,,4.5,6641,https://www.nykaa.com/sugar-matte-as-hell-crayon-lipstick/p/31362?ptype=product&productId=31362&skuId=31362&categoryId=249&pps=15
Nykaa So Matte Lipstick,SALE OFFER INSIDE,,₹399 ,,4.3,19536,https://www.nykaa.com/nykaa-so-matte-lipstick/p/71406?ptype=product&productId=71406&skuId=71406&categoryId=249&pps=16
Lakme Absolute Matte Ultimate Lip Color with Argan Oil,SALE OFFER INSIDE,,₹800 ,,4.3,5378,https://www.nykaa.com/lakme-absolute-matte-ultimate-lip-color/p/427985?ptype=product&productId=427985&skuId=427985&categoryId=249&pps=17
Elle 18 Color Pops Matte Lipstick,SALE OFFER INSIDE,,₹75 ,,4.1,19493,https://www.nykaa.com/elle-18-color-pop-matte-lip-color/p/775542?ptype=product&productId=775542&skuId=775542&categoryId=249&pps=19
Nykaa Ultra Matte Mini Lipstick,SALE OFFER INSIDE,,₹239 ,,4.2,1690,https://www.nykaa.com/nykaa-ultra-matte-mini-lipstick/p/1318313?ptype=product&productId=1318313&skuId=1318313&categoryId=249&pps=20
Nykaa Sealed with a Kiss! Lipstick Palette,SALE OFFER INSIDE,,₹650 ,,4.1,4467,https://www.nykaa.com/nykaa-sealed-with-a-kiss-lip-palette/p/332753?ptype=product&productId=332753&skuId=332753&categoryId=249&pps=21
Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit,SALE OFFER INSIDE,,₹575 ,,3.6,310,https://www.nykaa.com/Just-Herbs-Ayurvedic-Lipstick-Micro-Mini-Trial-Kitjust-herbs-ayurvedic-lipstick-micro-mini-trial-kit/p/1121432?ptype=product&productId=1121432&skuId=1121432&categoryId=249&pps=22
Renee Cosmetics FAB5 5 in 1 Lipstick,SALE OFFER INSIDE,,₹750 ,,4.2,1297,https://www.nykaa.com/renee-cosmetics-fab5-5-in-1-lipstick/p/906433?ptype=product&productId=906433&skuId=906433&categoryId=249&pps=1
SUGAR Cosmetics Matte Attack Transferproof Lipstick,SALE OFFER INSIDE,,₹699 ,,4.3,2067,https://www.nykaa.com/sugar-cosmetics-matte-attack-transferproof-lipstick/p/648580?ptype=product&productId=648580&skuId=648580&categoryId=249&pps=2
M.A.C Powder Kiss Lipstick,SALE OFFER INSIDE,,₹1650 ,,4.4,1324,https://www.nykaa.com/m-a-c-powder-kiss-lipstick/p/377929?ptype=product&productId=377929&skuId=377929&categoryId=249&pps=3
Nykaa Ultra Matte Lipstick,SALE OFFER INSIDE,,₹599 ,,4.4,10644,https://www.nykaa.com/nykaa-ultra-matte-lipstick/p/370560?ptype=product&productId=370560&skuId=370560&categoryId=249&pps=4
Lakme Cushion Matte Lipstick,SALE OFFER INSIDE,,₹275 ,,4.3,2959,https://www.nykaa.com/lakme-cushion-matte-lipstick/p/888634?ptype=product&productId=888634&skuId=888634&categoryId=249&pps=5
Lakme Absolute Matte Revolution Lip Color,SALE OFFER INSIDE,,₹800 ,,4.3,4659,https://www.nykaa.com/lakme-absolute-matte-revolution-lip-color/p/531129?ptype=product&productId=531129&skuId=531129&categoryId=249&pps=6
