name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,FEATURED,,₹225 ,,4.6,8984,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220217&categoryId=8383&pps=1
Lakme Absolute Bi-Phased Make-up Remover,FEATURED,₹300,₹285 ,5% off,4.3,859,https://www.nykaa.com/lakme-absolute-bi-phased-make-up-remover/p/1300?ptype=product&productId=1300&skuId=1300&categoryId=8383&pps=2
L'Oreal Paris Revitalift Crystal Purifying Micellar Water,FEATURED,₹299,₹254 ,15% off,4.6,68,https://www.nykaa.com/l-oreal-paris-revitalift-crystal-purifying-micellar-water/p/1378026?ptype=product&productId=1378035&skuId=1378026&categoryId=8383&pps=3
Neutrogena Deep Clean Brightening Cleansing Oil,FEATURED,,₹850 ,,4.4,116,https://www.nykaa.com/neutrogena-deep-clean-brightening-cleansing-oil-200ml/p/1296159?ptype=product&productId=1296159&skuId=1296159&categoryId=8383&pps=4
Garnier Skin Naturals Micellar Cleansing Water,BESTSELLER,,₹199 ,,4.5,21388,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220214&categoryId=8383&pps=5
Garnier Skin Naturals Micellar Cleansing Water,,,₹199 ,,4.5,21388,https://www.nykaa.com/garnier-skin-naturals-micellar-cleansing-water/p/220214?ptype=product&productId=220214&skuId=220212&categoryId=8383&pps=6
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water,,,₹225 ,,4.6,8984,https://www.nykaa.com/garnier-skin-naturals-micellar-oil-infused-cleansing-water/p/220217?ptype=product&productId=220217&skuId=220215&categoryId=8383&pps=7
Plum E-Luminence Simply Supple Cleansing Balm,BESTSELLER,₹545,₹436 ,20% off,4.4,1044,https://www.nykaa.com/plum-e-luminence-simply-supple-cleansing-balm/p/683146?ptype=product&productId=683146&skuId=683146&categoryId=8383&pps=8
Bioderma Sensibio H2O Micellaire Water,OFFER,,₹990 ,,4.6,2938,https://www.nykaa.com/bioderma-sensibio-h2o/p/9739?ptype=product&productId=9739&skuId=7032&categoryId=8383&pps=9
Himalaya Moisturising Aloe Vera Facial Wipes (25 Wipes),,₹100,₹95 ,5% off,4.4,7819,https://www.nykaa.com/himalaya-moisturising-aloe-vera-facial-wipes-25-s/p/273794?ptype=product&productId=273796&skuId=273794&categoryId=8383&pps=10
Clinique Take The Day Off Cleansing Balm,BESTSELLER,,₹890 ,,4.6,1085,https://www.nykaa.com/clinique-take-the-day-off-cleansing-balm/p/509071?ptype=product&productId=509071&skuId=509071&categoryId=8383&pps=11
Cetaphil Daily Exfoliating Cleanser,,₹780,₹741 ,5% off,4.4,511,https://www.nykaa.com/cetaphil-daily-exfoliating-cleanser/p/583771?ptype=product&productId=583771&skuId=583771&categoryId=8383&pps=13
