name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Colorbar Zoom & Whoosh Mascara Black Sin 001,FEATURED,₹650,₹585 ,10% off,4.3,714,https://www.nykaa.com/colorbar-zoom-whoosh-mascara/p/6060?ptype=product&productId=6060&skuId=6060&categoryId=241&pps=1
Maybelline New York Volum Express Hyper Curl Mascara,FEATURED,₹399,₹319 ,20% off,4.4,47233,https://www.nykaa.com/maybelline-volum-express-hyper-curl-mascara/p/809?ptype=product&productId=809&skuId=809&categoryId=241&pps=2
Lakme Eyeconic Curling Mascara,FEATURED,₹375,₹338 ,10% off,4.3,8768,https://www.nykaa.com/lakme-eyeconic-curling-mascara-108957/p/108957?ptype=product&productId=108957&skuId=108957&categoryId=241&pps=3
Kay Beauty Ultra Black Volume & Length Mascara - Midnight,FEATURED,₹799,₹679 ,15% off,4.5,1091,https://www.nykaa.com/kay-beauty-volume-length-mascara-midnight/p/692818?ptype=product&productId=692818&skuId=692818&categoryId=241&pps=4
Nykaa Lash Talk Volumizing Mascara,FEATURED,₹399,₹359 ,10% off,4.3,2541,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=1133165&categoryId=241&pps=5
Anastasia Beverly Hills Mascara - Deluxe Mini - FG,FEATURED,,₹1490 ,,5.0,1,https://www.nykaa.com/anastasia-beverly-hills-mascara-black-mini/p/2638538?ptype=product&productId=2638620&skuId=2638538&categoryId=241&pps=6
Wet n Wild Mega Clear Mascara - Clear,FEATURED,,₹350 ,,3.7,2070,https://www.nykaa.com/wet-n-wild-mega-clear-mascara-transparent/p/216442?ptype=product&productId=216442&skuId=216442&categoryId=241&pps=7
LOreal Paris Voluminous Lash Paradise Mascara - 204 Blackest...,,,₹799 ,,4.3,6069,https://www.nykaa.com/l-oreal-paris-voluminous-lash-paradise-mascara/p/326824?ptype=product&productId=326824&skuId=326824&categoryId=241&pps=8
Nykaa Lash Talk Like it Long Lengthening Mascara,,₹399,₹359 ,10% off,4.3,2541,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=889840&categoryId=241&pps=9
Maybelline New York The Colossal Volum Express Mascara,BESTSELLER,₹399,₹319 ,20% off,4.4,14740,https://www.nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?ptype=product&productId=806&skuId=806&categoryId=241&pps=10
Maybelline New York The Colossal Mascara Waterproof - 001 Wa...,OFFER,₹399,₹319 ,20% off,4.4,14740,https://www.nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?ptype=product&productId=806&skuId=804&categoryId=241&pps=11
Nykaa Drama Eye Look Combo- Mascara + Eyeliner + Kajal,BESTSELLER,₹897,₹650 ,28% off,4.3,28927,https://www.nykaa.com/nykaa-drama-eye-look-combo-mascara-eyeliner-kajal/p/1404068?ptype=product&productId=1404068&skuId=1404068&categoryId=241&pps=12
L'Oreal Paris False Lash Superstar Mascara - Black,BESTSELLER,,₹940 ,,4.4,1787,https://www.nykaa.com/l-oreal-paris-faux-cils-superstar-mascara/p/62646?ptype=product&productId=62646&skuId=62646&categoryId=241&pps=13
Maybelline New York Falsies Lash Lift Mascara - Very Black,OFFER,₹549,₹467 ,15% off,4.4,507,https://www.nykaa.com/maybelline-new-york-falsies-lash-lift-mascara/p/880396?ptype=product&productId=880396&skuId=880396&categoryId=241&pps=14
Too Faced Damn Girl! Mascara,OFFER,,₹1150 ,,4.5,556,https://www.nykaa.com/too-faced-damn-girl-mascara-black/p/701798?ptype=product&productId=701798&skuId=701798&categoryId=241&pps=15
Lakme Eyeconic Eyes Combo,,₹635,₹476 ,25% off,4.3,2720,https://www.nykaa.com/lakme-insta-eyeliner-combo-pack-of-2/p/747860?ptype=product&productId=747860&skuId=747860&categoryId=241&pps=16
Benefit Cosmetics They're Real Magnet Black Mascara,,,₹1440 ,,4.8,54,https://www.nykaa.com/benefit-cosmetics-they-re-real-magnet-black-mascara/p/1291700?ptype=product&productId=1291700&skuId=1291700&categoryId=241&pps=17
Forest Essentials Nayantara Clear Lash & Brow Serum,OFFER,,₹1225 ,,3.5,20,https://www.nykaa.com/forest-essentials-nayantara-clear-lash-brow-serum/p/1323960?ptype=product&productId=1323960&skuId=1323960&categoryId=241&pps=18
Huda Beauty LEGIT Lashes Double-Ended Mascara,OFFER,,₹2250 ,,4.4,247,https://www.nykaa.com/huda-beauty-legit-lashes-double-ended-mascara/p/855940?ptype=product&productId=855940&skuId=855940&categoryId=241&pps=19
Lakme Eye-conic Eyes Combo,,₹750,₹563 ,25% off,3.8,7385,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305?ptype=product&productId=995305&skuId=995305&categoryId=241&pps=20
Benefit Cosmetics They're Real Magnet Black Mascara Mini,,,₹1440 ,,4.8,54,https://www.nykaa.com/benefit-cosmetics-they-re-real-magnet-black-mascara-mini/p/1291696?ptype=product&productId=1291700&skuId=1291696&categoryId=241&pps=1
Faces Canada Magneteyes Dramatic Volumizing Mascara Intense ...,OFFER,₹399,₹319 ,20% off,4.3,2476,https://www.nykaa.com/faces-magneteyes-dramatic-volumizing-mascara-black/p/125335?ptype=product&productId=125335&skuId=125335&categoryId=241&pps=2
Nykaa Lash Talk Super Sizer Volumizing Mascara,,₹399,₹359 ,10% off,4.3,2541,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=889838&categoryId=241&pps=3
Flower Beauty Lash Warrior Mascara,OFFER,₹825,₹701 ,15% off,4.2,357,https://www.nykaa.com/flower-beauty-lash-warrior-mascara/p/412307?ptype=product&productId=412307&skuId=412307&categoryId=241&pps=4
Lakme Absolute 3D Lash Volumizer Mascara Black,,₹800,₹680 ,15% off,4.2,154,https://www.nykaa.com/lakme-absolute-3d-lash-volumizer-mascara-15-ml/p/960147?ptype=product&productId=960147&skuId=960147&categoryId=241&pps=5
Faces Canada Truly Matte Gift Box Combo Magneteyes Kajal + M...,OFFER,₹578,₹399 ,,4.4,1145,https://www.nykaa.com/faces-canada-truly-matte-gift-box-combo-magneteyes-kajal-mascara/p/744596?ptype=product&productId=744596&skuId=744596&categoryId=241&pps=6
Nykaa Lash Talk Curl Power Curling Mascara,,,₹349 ,,4.3,2541,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=889839&categoryId=241&pps=7
L'Oreal Paris Volume Million Lashes Mascara - Extra-Black,,,₹890 ,,4.2,1203,https://www.nykaa.com/l-oreal-paris-volume-million-lashes-mascara/p/5607?ptype=product&productId=5607&skuId=5606&categoryId=241&pps=8
L'Oreal Paris Volume Million Lashes Mascara,,,₹890 ,,4.2,1203,https://www.nykaa.com/l-oreal-paris-volume-million-lashes-mascara/p/5607?ptype=product&productId=5607&skuId=5607&categoryId=241&pps=9
Nykaa Lash Talk Mascara + Black Magic Eyeliner Combo,,₹698,₹500 ,28% off,4.1,9658,https://www.nykaa.com/nykaa-lash-talk-mascara-black-magic-eyeliner-combo/p/1404079?ptype=product&productId=1404079&skuId=1404079&categoryId=241&pps=10
Lotus Make-Up Maxlash Volumizing Botanical Mascara - Intense...,,,₹325 ,,4.1,1919,https://www.nykaa.com/lotus-make-up-maxlash-volumizing-botanical-mascara-black/p/3010?ptype=product&productId=3010&skuId=3010&categoryId=241&pps=11
