name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Nykaa Naturals Aloe Vera Gel,SALE OFFER INSIDE,,₹399 ,,3.9,51,https://www.nykaa.com/nykaa-naturals-aloe-vera-gel-200ml/p/1424545?ptype=product&productId=1424545&skuId=1424545&categoryId=8394&pps=1
"NIVEA Soft Light Moisturizer for Face, Hand & Body, Non-Stic...",SALE OFFER INSIDE,,₹185 ,,4.5,10872,https://www.nykaa.com/nivea-soft-cream/p/6004?ptype=product&productId=6004&skuId=6004&categoryId=8394&pps=2
L'Oreal Paris Revitalift Hyaluronic Acid Plumping Day Cream,SALE OFFER INSIDE,,₹499 ,,4.6,122,https://www.nykaa.com/l-oreal-paris-revitalift-hyaluronic-acid-plumping-day-cream/p/1378036?ptype=product&productId=1378036&skuId=1378036&categoryId=8394&pps=3
Estee Lauder Daywear Anti-Oxidant 72H-Hydration Sorbet Creme...,SALE OFFER INSIDE,,₹1250 ,,4.5,513,https://www.nykaa.com/estee-lauder-daywear-anti-oxidant-72h-hydration-sorbet-creme-spf-15/p/473508?ptype=product&productId=473508&skuId=473508&categoryId=8394&pps=4
Dot & Key Glow 72 Hr Hydrating Gel + Probiotics,SALE OFFER INSIDE,,₹475 ,,4.3,485,https://www.nykaa.com/dot-key-glow-72-hr-hydrating-gel-probiotics/p/2670296?ptype=product&productId=2670296&skuId=2670296&categoryId=8394&pps=5
Neutrogena Hydro Boost Water Gel,SALE OFFER INSIDE,,₹370 ,,4.4,17900,https://www.nykaa.com/neutrogena-hydro-boost-water-gel/p/875156?ptype=product&productId=875156&skuId=875156&categoryId=8394&pps=7
St. Ives Bright & Radiant Pink Lemon & Peach Hydrating Gel,SALE OFFER INSIDE,,₹699 ,,4.5,57,https://www.nykaa.com/st-ives-bright-radiant-pink-lemon-peach-hydrating-gel-45gm/p/857999?ptype=product&productId=857999&skuId=857999&categoryId=8394&pps=8
Ponds Super Light Gel Oil Free Moisturiser With Hyaluronic A...,SALE OFFER INSIDE,,₹149 ,,4.5,31586,https://www.nykaa.com/ponds-super-light-gel-moisturiser/p/502719?ptype=product&productId=502719&skuId=502719&categoryId=8394&pps=9
Clinique Moisture Surge 100h Auto-replenishing Hydrator,SALE OFFER INSIDE,,₹950 ,,4.4,14373,https://www.nykaa.com/clinique-moisture-surge-100h-auto-replenishing-hydrator/p/1129289?ptype=product&productId=1129289&skuId=1129289&categoryId=8394&pps=10
Olay Night Cream: Regenerist Retinol 24 Moisturiser,SALE OFFER INSIDE,,₹399 ,,4.3,926,https://www.nykaa.com/olay-night-cream-regenerist-retinol-24-moisturiser-8gm/p/1112372?ptype=product&productId=1112372&skuId=1112372&categoryId=8394&pps=11
Cetaphil Moisturising Cream,SALE OFFER INSIDE,,₹425 ,,4.4,8140,https://www.nykaa.com/cetaphil-moisturizing-cream/p/20990?ptype=product&productId=392484&skuId=20990&categoryId=8394&pps=13
Neutrogena Hydro Boost Water Gel,SALE OFFER INSIDE,,₹1000 ,,4.4,17900,https://www.nykaa.com/neutrogena-hydro-boost-water-gel/p/875156?ptype=product&productId=875156&skuId=362587&categoryId=8394&pps=14
Cetaphil Moisturising Cream,SALE OFFER INSIDE,,₹425 ,,4.4,8140,https://www.nykaa.com/cetaphil-moisturising-cream/p/392484?ptype=product&productId=392484&skuId=392484&categoryId=8394&pps=15
"Minimalist 3% Sepicalm Face Moisturiser for Oily, Acne Prone...",SALE OFFER INSIDE,,₹349 ,,4.2,1002,https://www.nykaa.com/minimalist-sepicalm-3-face-moisturizer/p/1068467?ptype=product&productId=1068467&skuId=1068467&categoryId=8394&pps=16
Neutrogena Hydro Boost Water Gel - Mini,SALE OFFER INSIDE,,₹370 ,,4.4,17900,https://www.nykaa.com/neutrogena-hydro-boost-water-gel/p/875156?ptype=product&productId=875156&skuId=875155&categoryId=8394&pps=17
Mamaearth Aloe Vera Gel With Pure Aloe Vera & Vitamin E For ...,SALE OFFER INSIDE,,₹299 ,,4.4,2975,https://www.nykaa.com/mamaearth-aloe-vera-gel-with-vitamin-e-for-skin-and-hair/p/728612?ptype=product&productId=728612&skuId=728612&categoryId=8394&pps=18
WOW Skin Science Aloe Vera Gel,SALE OFFER INSIDE,,₹299 ,,4.3,10528,https://www.nykaa.com/wow-skin-science-aloe-vera-gel/p/297045?ptype=product&productId=297045&skuId=297045&categoryId=8394&pps=19
The Body Shop Vitamin C Glow Boosting Moisturiser,SALE OFFER INSIDE,,₹1995 ,,4.2,1240,https://www.nykaa.com/the-body-shop-vitamin-c-glow-boosting-moisturiser/p/32988?ptype=product&productId=32988&skuId=32988&categoryId=8394&pps=20
Embryolisse Lait-Creme Concentré,SALE OFFER INSIDE,,₹1250 ,,4.5,1200,https://www.nykaa.com/embryolisse-lait-creme-concentre/p/403564?ptype=product&productId=403564&skuId=403564&categoryId=8394&pps=21
Forest Essentials Soundarya Radiance Cream With 24K Gold And...,SALE OFFER INSIDE,,₹1595 ,,4.3,981,https://www.nykaa.com/forest-essentials-soundarya-radiance-cream-with-24k-gold-and-spf25-config/p/255105?ptype=product&productId=255105&skuId=255105&categoryId=8394&pps=22
M.A.C Strobe Cream,SALE OFFER INSIDE,,₹3200 ,,4.3,2469,https://www.nykaa.com/m-a-c-strobe-cream/p/91545?ptype=product&productId=91545&skuId=91545&categoryId=8394&pps=1
Estee Lauder Revitalizing Supreme + Global Anti-Aging Cell P...,SALE OFFER INSIDE,,₹2750 ,,4.2,72,https://www.nykaa.com/estee-lauder-revitalizing-supreme-global-anti-aging-cell-power-creme/p/1210025?ptype=product&productId=1210025&skuId=1210025&categoryId=8394&pps=2
Lakme Absolute Perfect Radiance Skin Brightening Day Creme,SALE OFFER INSIDE,,₹99 ,,4.2,5852,https://www.nykaa.com/lakme-absolute-perfect-radiance-skin-brightening-day-creme/p/588069?ptype=product&productId=588069&skuId=588069&categoryId=8394&pps=3
