name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Green Polyster Bamboo Leaves Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 449,(64% Off),,,https://www.pepperfry.com/green-polyster-bamboo-leaves-artificial-plant-with-wooden-pot-by-by-fourwalls-1881592.html?type=search&pos=1:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Artificial Plant With Greenish Yellow Leaves with Pot, Best Seller,"₹ 1,099",₹ 499,(55% Off),,,https://www.pepperfry.com/artificial-plant-with-greenish-yellow-leaves-with-pot-by-foliyaj-1873551.html?type=search&pos=2:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyster Money Leaves Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 419,(66% Off),,,https://www.pepperfry.com/green-polyster-money-leaves-artificial-plant-with-wooden-pot-by-by-fourwalls-1881606.html?type=search&pos=3:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Artificial Plant with Green Ponity Leaves and Pot, ,"₹ 1,099",₹ 499,(55% Off),,,https://www.pepperfry.com/artificial-plant-with-green-ponity-leaves-and-pot-by-foliyaj-1873556.html?type=search&pos=4:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
White Polyester Button Leaves Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 449,(64% Off),,,https://www.pepperfry.com/white-polyester-button-leaves-artificial-plant-with-wooden-pot-by-fourwalls-1881920.html?type=search&pos=5:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyster Money Leaves Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 419,(66% Off),,,https://www.pepperfry.com/green-polyster-money-leaves-artificial-plant-with-wooden-pot-by-by-fourwalls-1881604.html?type=search&pos=6:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyester Button Leaves Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 449,(64% Off),,,https://www.pepperfry.com/green-polyester-button-leaves-artificial-plant-with-wooden-pot-by-fourwalls-1881919.html?type=search&pos=7:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Watercress Artificial Plant with Pot, ,"₹ 1,099",₹ 499,(55% Off),,,https://www.pepperfry.com/green-watercress-artificial-plant-with-pot-by-foliyaj-1895410.html?type=search&pos=8:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Pink Polyester Artificial Plant Without Pot, ,₹ 392,₹ 229,(42% Off),,,https://www.pepperfry.com/pink-polyester-artificial-plant-without-pot-by-pollination-1850043.html?type=search&pos=9:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Fabric Decorative Artificial Fiddle Leaf Plant Without Pot, ,"₹ 7,000","₹ 2,919",(58% Off),,,https://www.pepperfry.com/green-fabric-decorative-artificial-fiddle-leaf-plant-without-pot-by-fourwalls-1811930.html?type=search&pos=10:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Plastic And Polyester Blend 9 Large Leaves Artificial Money Plant White Melamine Pot, ,"₹ 1,499",₹ 939,(37% Off),,,https://www.pepperfry.com/green-plastic-and-polyester-blend-9-large-leaves-artificial-money-plant-white-mel-1859753.html?type=search&pos=11:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Plastic Artificial Golden Pothos Floor Plant Without Pot, ,"₹ 2,370","₹ 1,319",(44% Off),,,https://www.pepperfry.com/green-plastic-artificial-golden-pothos-floor-plant-without-pot-by-odd-croft-1864127.html?type=search&pos=12:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Multicolour Polyster Yucca Leaves Artificial Plant With Wooden Pot, ,"₹ 1,000",₹ 399,(60% Off),,,https://www.pepperfry.com/multicolour-polyster-yucca-leaves-artificial-plant-with-wooden-pot-by-by-fourwall-1881608.html?type=search&pos=13:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
"Yellow Roses Artificial Plant without Pot, Set of 2", ,"₹ 1,299",₹ 599,(54% Off),,,https://www.pepperfry.com/yellow-roses-artificial-plant-with-pot-set-of-2-by-foliyaj-1895424.html?type=search&pos=14:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyster Yucca Leaves Artificial Plant With Wooden Pot, ,"₹ 1,000",₹ 399,(60% Off),,,https://www.pepperfry.com/green-polyster-yucca-leaves-artificial-plant-with-wooden-pot-by-by-fourwalls-1881607.html?type=search&pos=15:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Artificial Tall Natural Looking Dracaena Bonsai Plant with Ceramic Pot, ,"₹ 1,500","₹ 1,139",(24% Off),,,https://www.pepperfry.com/green-artificial-tall-natural-looking-dracaena-bonsai-plant-in-a-ceramic-vase-by-1763936.html?type=search&pos=16:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Pink Polyster Popy Flower Plant Artificial Plant With Wooden Pot, ,"₹ 1,250",₹ 449,(64% Off),,,https://www.pepperfry.com/pink-polyster-popy-flower-plant-artificial-plant-with-wooden-pot-by-by-fourwalls-1881624.html?type=search&pos=17:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green PVC Artificial Plant Without Pot, ,₹ 380,₹ 259,(32% Off),,,https://www.pepperfry.com/green-pvc-artificial-plant-without-pot-by-pollination-1850037.html?type=search&pos=18:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Sago Palms Artificial Plant with Pot, ,"₹ 1,499",₹ 719,(52% Off),,,https://www.pepperfry.com/green-sago-palms-artificial-plant-with-pot-by-foliyaj-1895406.html?type=search&pos=19:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Yellow Artificial Tall Natural Looking Dracaena Bonsai Plant with Ceramic Pot, ,"₹ 1,500","₹ 1,139",(24% Off),,,https://www.pepperfry.com/yellow-artificial-tall-natural-looking-dracaena-bonsai-plant-in-a-ceramic-vase-by-1763938.html?type=search&pos=20:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyester 220 Leaves & 5 Branches Artificial Dracaena Plant without Pot, ,"₹ 3,500","₹ 1,529",(56% Off),,,https://www.pepperfry.com/fourwalls-92-cm-tall-decorative-artificial-dracaena-plant-without-pot-with-220-le-1438122.html?type=search&pos=21:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Orange Polyster Artificial Flowering Leaves Plant With Wooden Hexagon Pot, ,₹ 950,₹ 399,(58% Off),,,https://www.pepperfry.com/orange-polyster-artificial-flowering-leaves-plant-with-wooden-hexagon-pot-by-four-1921684.html?type=search&pos=22:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Plastic Small Yellow Flowers Artificial Plant with Pot, ,₹ 899,₹ 399,(56% Off),,,https://www.pepperfry.com/green-plastic-small-yellow-flowers-artificial-plant-with-pot-by-foliyaj-1882018.html?type=search&pos=23:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
White Polyester Beautiful Bell Flower Artificial Plant With Wooden Pot, ,"₹ 1,500",₹ 539,(64% Off),,,https://www.pepperfry.com/white-polyester-beautiful-bell-flower-artificial-plant-with-wooden-pot-by-fourwal-1881885.html?type=search&pos=24:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Polyster Water Grass Leaves Artificial Plant With Wooden Pot, ,"₹ 1,000",₹ 369,(63% Off),,,https://www.pepperfry.com/green-polyster-water-grass-leaves-artificial-plant-with-wooden-pot-by-by-fourwall-1881614.html?type=search&pos=26:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Red Polyester Artificial Draceana Plant Without Pot, ,"₹ 7,975","₹ 3,779",(53% Off),,,https://www.pepperfry.com/red-polyester-artificial-draceana-plant-without-pot-by-pollination-1828777.html?type=search&pos=27:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Green Fabric Real Touch Artificial Fiddle Leaf Fig Plant without Pot, ,"₹ 8,000","₹ 3,869",(52% Off),,,https://www.pepperfry.com/green-fabric-real-touch-artificial-fiddle-leaf-fig-plant-without-pot-by-fourwalls-1811867.html?type=search&pos=28:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
Multicolor Ceramic & Fabric Wandering Jew Bonsai Artificial Plant with Pot, ,"₹ 2,000","₹ 1,109",(45% Off),,,https://www.pepperfry.com/multicolor-ceramic-fabric-wandering-jew-bonsai-artificial-plant-with-pot-by-four-1709552.html?type=search&pos=29:1&total_result=669&searchterm=&searchterm=artificial plants&as=0&cat=0
