name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Daiki Queen Size Bed in Wenge Finish, Best Seller,"₹ 22,497","₹ 12,499",(44% Off),,,https://www.pepperfry.com/daiki-queen-size-bed-in-wenge-finish-mintwud-by-pepperfry-1842560.html?type=search&pos=1:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Ren Queen Size Bed with Storage & Two Bedside Tables in Wenge Finish, Best Seller,"₹ 24,397","₹ 19,999",(18% Off),,,https://www.pepperfry.com/ren-queen-size-bed-with-box-storage-two-bedside-tables-in-wenge-finish-by-mintwu-1655142.html?type=search&pos=2:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Takai Queen Size Bed in Wenge Finish, Best Seller,"₹ 22,997","₹ 12,999",(43% Off),,,https://www.pepperfry.com/takai-queen-size-bed-in-wenge-finish-by-mintwud-1643645.html?type=search&pos=3:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Orian Solid Wood Queen Size Bed In Honey Oak Finish, ,"₹ 30,999","₹ 18,999",(39% Off),,,https://www.pepperfry.com/orian-solid-wood-queen-bed-in-honey-oak-finish-by-woodsworth-1854716.html?type=search&pos=4:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Torrie King Size Bed with Storage, ,"₹ 43,900","₹ 21,900",(50% Off),,,https://www.pepperfry.com/torrie-king-bed-with-headboard-box-storage-in-black-colour-by-home-1711659.html?type=search&pos=5:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Bergen Solid Wood Queen Size Bed In Provincial Teak Finish, ,"₹ 60,999","₹ 36,999",(39% Off),,,https://www.pepperfry.com/solid-wood-queen-size-bed-in-provincial-teak-finish-by-woodsworth-1808649.html?type=search&pos=6:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Cipher Queen Size Bed in Espresso Finish, ,"₹ 29,900","₹ 12,900",(57% Off),,,https://www.pepperfry.com/cipher-queen-size-bed-in-espresso-finish-by-home-1646202.html?type=search&pos=7:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Torrie Queen Size Bed with Storage, ,"₹ 38,900","₹ 19,900",(49% Off),,,https://www.pepperfry.com/torrie-queen-bed-with-headboard-box-storage-in-black-colour-by-home-1711660.html?type=search&pos=8:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Esca Queen Size Bed in Black Colour, Best Seller,"₹ 14,400","₹ 9,800",(32% Off),,,https://www.pepperfry.com/esca-double-bed-in-black-finish-by-nilkamal-1846271.html?type=search&pos=9:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
Tanoshi Queen Size Bed with Storage in Brown Finish, ,"₹ 29,999","₹ 18,999",(37% Off),,,https://www.pepperfry.com/tanoshi-queen-size-bed-with-storage-in-brown-finish-by-mintwud-1812342.html?type=search&pos=10:1&total_result=1124&searchterm=&searchterm=beds&as=0&cat=0
