name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Marvel Ergonomic Chair in Black Colour, ,"₹ 15,200","₹ 9,880",(35% Off),,,https://www.pepperfry.com/marvel-ergonomic-chair-in-black-colour-by-durian-1839636.html?type=search&pos=1:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Shine Guest Chair in Black Colour, ,"₹ 7,999","₹ 5,999",(25% Off),,,https://www.pepperfry.com/shine-guest-chair-in-black-colour-by-creative-seating-system-1822070.html?type=search&pos=2:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Elegant Modern Gaming Chair In Red Colour, ,"₹ 16,999","₹ 12,999",(24% Off),,,https://www.pepperfry.com/adiko-elegant-modern-gaming-chair-in-redby-adiko-systems-1789471.html?type=search&pos=3:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
MultiColour Patch Iconic Chair, Best Seller,"₹ 10,999","₹ 7,999",(27% Off),,,https://www.pepperfry.com/multicolour-fabric-patched-chair-by-star-india-1600592.html?type=search&pos=4:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Minori Ergonomic Chair in Black Colour, Best Seller,"₹ 13,999","₹ 6,499",(54% Off),,,https://www.pepperfry.com/minori-ergonomic-chair-in-black-colour-by-mintwud-1857134.html?type=search&pos=5:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Sigma Mid Back Ergonomic Chair in Green Colour, ,"₹ 8,999","₹ 5,999",(33% Off),,,https://www.pepperfry.com/sigma-mid-back-ergonomic-chair-in-green-colour-by-furniease-1892768.html?type=search&pos=6:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Funk Executive Chair in Black Colour, ,"₹ 11,264","₹ 6,999",(38% Off),,,https://www.pepperfry.com/funk-mid-back-executive-chair-in-black-leatherette-by-furniease-1658924.html?type=search&pos=7:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
High Back Executive Chair In Brown Colour, ,"₹ 15,999","₹ 11,999",(25% Off),,,https://www.pepperfry.com/high-back-executive-chair-in-brown-colour-by-advanto-1895359.html?type=search&pos=8:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Ergonomic Chair in Black Colour, Best Seller,"₹ 6,999","₹ 5,999",(14% Off),,,https://www.pepperfry.com/low-back-mesh-black-ergonomic-chair-by-adiko-systems-1582598.html?type=search&pos=9:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Folding Metal Chair in Black Colour, ,"₹ 2,999","₹ 1,799",(40% Off),,,https://www.pepperfry.com/folding-metal-chair-in-black-colour-by-storyhome-1755745.html?type=search&pos=10:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Novella Plastic Chair in Iron Black Colour, ,,"₹ 1,496",,,,https://www.pepperfry.com/novella-series-19-plastic-chairs-in-iron-black-colour-by-nilkamal-1723202.html?type=search&pos=11:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Novella Plastic Chair (Set of 2) in Yellow Colour, ,,"₹ 3,300",,,,https://www.pepperfry.com/novella-plastic-chair-set-of-2-in-yellow-color-by-nilkamal-1845248.html?type=search&pos=12:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Gaming Ergonomic Chair in Red & Black Colour, ,"₹ 23,999","₹ 9,999",(58% Off),,,https://www.pepperfry.com/gaming-ergonomic-chair-in-red-black-colour-by-bantia-furniture-1831146.html?type=search&pos=13:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Sylvia Iconic Chair in Grey Colour, Best Seller,,"₹ 11,999",,,,https://www.pepperfry.com/upolstered-chair-in-grey-in-brown-colour-by-star-india-1782766.html?type=search&pos=14:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Novella Plastic Chair in Iron Black Colour, ,,"₹ 1,650",,,,https://www.pepperfry.com/novella-series-07-plastic-chairs-in-iron-black-colour-by-nilkamal-1723170.html?type=search&pos=15:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Plastic Chairs (Set of 2) in Weather Brown Colour, ,,"₹ 2,400",,,,https://www.pepperfry.com/chr2225-set-of-2-plastic-chairs-in-weather-brown-colour-by-nilkamal-1780828.html?type=search&pos=16:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Enamora Premium Chair in Iron Black Colour, ,,"₹ 1,500",,,,https://www.pepperfry.com/enamora-premium-chairs-plastic-chairs-in-iron-black-colour-by-nilkamal-1723159.html?type=search&pos=17:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Gold Aluminium Ganesha Seated On Chair Reading Idol, ,"₹ 1,440",₹ 959,(33% Off),,,https://www.pepperfry.com/gold-aluminium-ganesha-seated-on-chair-reading-idol-by-handicrafts-paradise-1712530.html?type=search&pos=18:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Eames Replica Oramond Iconic Chair in White Colour, ,"₹ 6,999","₹ 5,499",(21% Off),,,https://www.pepperfry.com/eames-replica-oramond-chair-in-white-leatherette-by-finch-fox-1760416.html?type=search&pos=19:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Plastic Chair in Brown Colour (Set of 2), ,"₹ 3,999","₹ 2,999",(25% Off),,,https://www.pepperfry.com/arm-chair-set-of-2-in-brown-colour-by-italica-furniture-1761953.html?type=search&pos=20:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Oriel Solid Wood Arm Chair in Ocean Blue Finish, Best Seller,"₹ 16,999","₹ 8,499",(50% Off),,,https://www.pepperfry.com/oriel-solid-wood-arm-chair-in-ocean-blue-finish-by-woodsworth-1773718.html?type=search&pos=21:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Folding Metal Chair in Black & Brown Colour, ,"₹ 2,999","₹ 1,799",(40% Off),,,https://www.pepperfry.com/folding-metal-chair-in-black-brown-colour-by-storyhome-1755746.html?type=search&pos=22:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Motion Ergonomic Chair in Carbon Black & white Colour, ,"₹ 10,427","₹ 9,697",(7% Off),,,https://www.pepperfry.com/motion-high-back-chair-adjustable-armrest-carbon-black-with-white-body-by-godrej-1851114.html?type=search&pos=23:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Flow Cafe Chair in Black Colour, ,"₹ 9,999","₹ 4,999",(50% Off),,,https://www.pepperfry.com/vintage-cafe-chair-in-black-colour-by-workspace-interio-1859232.html?type=search&pos=24:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
Plastic Chair (Set of 2) in Orange Colour, Best Seller,"₹ 3,999","₹ 2,999",(25% Off),,,https://www.pepperfry.com/arm-chair-set-of-2-in-orange-colour-by-italica-furniture-1761955.html?type=search&pos=26:1&total_result=3078&searchterm=&searchterm=chair&as=0&cat=0
