name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Bali 3 Seater Sofa in Blue Colour, Best Seller,"₹ 35,999","₹ 18,041",(50% Off),,,https://www.pepperfry.com/bali-3-seater-sofa-in-blue-colour-by-trevi-furniture-1827558.html?type=search&pos=1:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Santiago RHS 3 Seater Sofa Set with Ottoman in Teal Green Colour, ,"₹ 99,990","₹ 45,799",(54% Off),,,https://www.pepperfry.com/santiago-6-seater-sofa-set-with-ottoman-in-teal-color-by-arra-1833909.html?type=search&pos=2:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Eiichi 3 Seater Sofa in Light Grey Colour, Best Seller,"₹ 28,407","₹ 15,499",(45% Off),,,https://www.pepperfry.com/eiichi-three-seater-sofa-in-light-grey-colour-by-mintuwd-1759269.html?type=search&pos=3:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Elora 3+2 Sofa Set in Teal Green Colour, ,"₹ 1,08,149","₹ 42,499",(61% Off),,,https://www.pepperfry.com/elora-3-2-sofa-set-in-green-colour-by-arra-1828249.html?type=search&pos=4:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Orting Solid Wood 2 Seater Sofa in Provincial Teak Finish, Best Seller,"₹ 52,999","₹ 24,999",(53% Off),,,https://www.pepperfry.com/orting-two-seater-sofa-in-provincial-teak-finish-by-woodsworth-1669179.html?type=search&pos=5:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Jerry 3+1+1 Seater Sofa in Choco Brown Colour, ,"₹ 51,426","₹ 44,947",(13% Off),,,https://www.pepperfry.com/jerry-311-seater-in-choco-brown-in-dark-brown-colour-by-a-globia-creations-1849894.html?type=search&pos=6:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Niki 3 Seater Sofa in Maroon Colour, ,"₹ 25,999","₹ 22,419",(14% Off),,,https://www.pepperfry.com/niki-3-seater-sofa-in-maroon-colour-by-febonic-1863963.html?type=search&pos=7:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Rome Sofa Set (3+2) in Green Colour, ,"₹ 70,400","₹ 31,799",(55% Off),,,https://www.pepperfry.com/rome-sofa-set-32-in-green-colour-by-arra-1855139.html?type=search&pos=8:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Riviera Sofa Set ( 3+ 2) in Grey & Yellow Colour, ,"₹ 52,800","₹ 32,990",(38% Off),,,https://www.pepperfry.com/riviera-sofa-set-3-2-in-grey-yellow-colour-by-arra-1882654.html?type=search&pos=9:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Ladybug 3 Seater Sofa in Blue colour, ,"₹ 38,616","₹ 24,599",(36% Off),,,https://www.pepperfry.com/ladybug-three-seater-sofa-in-blue-colour-by-febonic-1749287.html?type=search&pos=10:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Antalya 3 seater Sofa in Grey Colour, ,"₹ 42,499","₹ 29,999",(29% Off),,,https://www.pepperfry.com/antalya-3-seater-sofa-in-grey-colour-by-urban-living-1829711.html?type=search&pos=11:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Joy 3+2 Seater Sofa Set in Beige Colour, ,"₹ 80,000","₹ 29,919",(63% Off),,,https://www.pepperfry.com/joy-32-seater-sofa-set-in-beige-color-by-arra-1833901.html?type=search&pos=12:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Metallika Vienna Metallic Sofa Set (3+1+1) with Russet Maroon Mattress, ,"₹ 26,799","₹ 26,399",(1% Off),,,https://www.pepperfry.com/vienna-metallic-sofa-set-3-1-1-with-russet-maroon-mattress-by-furniturekraft-1664032.html?type=search&pos=13:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Naples Interchangeable L Shaped Sofa Set with Cushions in Grey Colour, ,"₹ 67,499","₹ 54,999",(19% Off),,,https://www.pepperfry.com/naples-sectional-sofa-in-grey-colour-by-minthomez-1668911.html?type=search&pos=14:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Sato 3 Seater Sofa in Nimbus Grey Colour, Best Seller,"₹ 39,999","₹ 20,999",(48% Off),,,https://www.pepperfry.com/sato-three-seater-sofa-in-nimbus-grey-colour-by-mintwud-1745948.html?type=search&pos=15:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Tanaka 3 Seater Sofa in Texas Brown Colour, Best Seller,"₹ 40,999","₹ 21,999",(46% Off),,,https://www.pepperfry.com/tanaka-three-seater-sofa-in-texas-brown-colour-by-mintwud-1745965.html?type=search&pos=16:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Lio Compact Sofa Set (3+2 Seater) In Grey Colour, ,"₹ 44,800","₹ 40,999",(8% Off),,,https://www.pepperfry.com/lio-compact-3-2-sofa-set-in-grey-color-by-parin-1811676.html?type=search&pos=17:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Rome Sofa Set (3+1+1) in Green Colour, ,"₹ 89,900","₹ 37,109",(59% Off),,,https://www.pepperfry.com/rome-3-seater-in-green-colour-by-arra-1855137.html?type=search&pos=18:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Emily Sofa Set (3+2) in Brown Colour, ,"₹ 73,111","₹ 34,900",(52% Off),,,https://www.pepperfry.com/emily-sofa-set-32-in-brown-color-by-home-center-1887490.html?type=search&pos=19:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Joy 3+2 Seater Sofa Set in Dark Grey Colour, ,"₹ 80,000","₹ 29,919",(63% Off),,,https://www.pepperfry.com/joy-32-seater-sofa-set-in-dark-grey-color-by-arra-1833902.html?type=search&pos=20:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Giichi 3 Seater Sofa in Beige Colour, Clearance Sale!,"₹ 35,225","₹ 20,999",(40% Off),,,https://www.pepperfry.com/giichi-three-seater-sofa-in-beige-colour-by-mintwud-1759272.html?type=search&pos=21:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Pearson Sofa Set (3+2) in Brown Colour, ,"₹ 1,75,500","₹ 91,099",(48% Off),,,https://www.pepperfry.com/pearson-sofa-set-32-in-brown-colour-by-arra-1855218.html?type=search&pos=22:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Alba 3 Seater Sofa in Ash Grey Colour, Best Seller,"₹ 48,999","₹ 27,999",(43% Off),,,https://www.pepperfry.com/alba-three-seater-sofa-in-ash-grey-colour-by-woodsworth-1745555.html?type=search&pos=23:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Niki Sofa set (3+1+1) in Blue Colour, ,"₹ 45,499","₹ 41,299",(9% Off),,,https://www.pepperfry.com/niki-sofa-set-311-in-blue-colour-by-febonic-1863981.html?type=search&pos=24:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Salamanca 3+1+1 Sofa Set In Tan & Black Colour, ,"₹ 62,900","₹ 56,999",(9% Off),,,https://www.pepperfry.com/salamanca-311-sofa-set-in-tan-black-by-parin-1840957.html?type=search&pos=26:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Zoey 3 seater Sofa in Dark Walnut Colour, ,"₹ 20,400","₹ 16,411",(20% Off),,,https://www.pepperfry.com/zoey-three-seater-sofa-in-dark-walnut-colour-by-nilkamal-1754848.html?type=search&pos=27:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Belem 3 Seater Sofa in Sandy Brown Colour, ,"₹ 56,999","₹ 34,999",(39% Off),,,https://www.pepperfry.com/belem-three-seater-sofa-in-sandy-brown-color-by-casacraft-1599790.html?type=search&pos=28:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Miranda 3 Seater Sofa in Navy Blue Colour, ,"₹ 81,999","₹ 40,999",(50% Off),,,https://www.pepperfry.com/miranda-three-seater-sofa-in-navy-blue-colour-by-woodsworth-1745600.html?type=search&pos=29:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Andres 3 Seater Sofa in Charcoal Grey Colour, ,"₹ 70,999","₹ 39,999",(44% Off),,,https://www.pepperfry.com/andres-three-seater-sofa-in-charcoal-grey-colour-by-woodsworth-1745928.html?type=search&pos=31:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Alba 3 Seater Sofa in Charcoal Grey Colour, Best Seller,"₹ 48,999","₹ 26,999",(45% Off),,,https://www.pepperfry.com/alba-three-seater-sofa-in-charcoal-grey-colour-by-woodsworth-1745557.html?type=search&pos=32:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Antalya 3 Seater Sofa in Blue Colour, ,"₹ 40,999","₹ 29,999",(27% Off),,,https://www.pepperfry.com/antalya-3-seater-sofa-in-blue-colour-by-urban-living-1884340.html?type=search&pos=33:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Rome 3 Seater Sofa in Yellow Colour, ,"₹ 40,500","₹ 18,709",(54% Off),,,https://www.pepperfry.com/rome-3-seater-sofa-in-yellow-colour-by-arra-1845101.html?type=search&pos=34:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
Tanaka 3 Seater Sofa in Nimbus Grey Colour, Best Seller,"₹ 40,999","₹ 21,999",(46% Off),,,https://www.pepperfry.com/tanaka-three-seater-sofa-in-nimbus-grey-colour-by-mintwud-1745967.html?type=search&pos=35:1&total_result=643&searchterm=&searchterm=sofa set&as=0&cat=0
