name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Beige Fabric Shade Table Lamp with Gold Base, Best Seller,"₹ 1,650",₹ 968,(41% Off),,,https://www.pepperfry.com/beige-cotton-table-lamp-by-foziq-1736828.html?type=search&pos=1:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Beige Fabric Shade Table Lamp with Gold Base, Best Seller,"₹ 1,700","₹ 1,006",(41% Off),,,https://www.pepperfry.com/beige-cotton-table-lamp-by-foziq-1736834.html?type=search&pos=2:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Fabric Shade Table Lamp with Gold Base, Best Seller,"₹ 1,700",₹ 987,(42% Off),,,https://www.pepperfry.com/white-fabric-designer-table-lamp-by-foziq-1763157.html?type=search&pos=3:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Fashionable Beige Jute Shade Table Lamp with Black Base, Best Seller,"₹ 1,300",₹ 789,(39% Off),,,https://www.pepperfry.com/fashionable-beige-jute-shade-table-lamp-with-black-base-by-new-era-1841221.html?type=search&pos=4:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Fabric Shade Table Lamp with Black Base, ,"₹ 1,650",₹ 997,(40% Off),,,https://www.pepperfry.com/white-fabric-designer-table-lamp-by-foziq-1763116.html?type=search&pos=5:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Casper White Fabric Shade Table Lamp with Wood Base, ,"₹ 4,250","₹ 2,379",(44% Off),,,https://www.pepperfry.com/casper-white-fabric-shade-table-lamp-with-wood-base-by-casacraft-1829929.html?type=search&pos=6:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Gandhara Table Lamp with Gold Base, Best Seller,"₹ 2,100","₹ 1,329",(37% Off),,,https://www.pepperfry.com/gandhara-table-lamp-with-gold-base-by-nakshikathaa-1868307.html?type=search&pos=7:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Blanc White Fabric Shade Table Lamp with White Base, ,"₹ 2,520","₹ 1,679",(33% Off),,,https://www.pepperfry.com/white-mango-wood-table-lamp-by-Sapphire-1643581.html?type=search&pos=8:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Kwan Beige Fabric Shade Table Lamp with Green Base, Best Seller,"₹ 4,050","₹ 2,259",(44% Off),,,https://www.pepperfry.com/kwan-beige-fabric-shade-table-lamp-with-green-base-by-casacraft-1866740.html?type=search&pos=9:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Brown Wood Shade Table Lamp with Brown Base, Best Seller,"₹ 1,749","₹ 1,549",(11% Off),,,https://www.pepperfry.com/exclusivelane-10-inch-modern-frosted-glass-lamp-in-sheesham-wood-1142505.html?type=search&pos=10:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Drum Designer Stick Pipe Black Cotton Shade Table Lamp with Black Base, Best Seller,"₹ 1,350",₹ 959,(29% Off),,,https://www.pepperfry.com/drum-designer-stick-pipe-black-cotton-shade-table-lamp-with-black-base-by-new-era-1841218.html?type=search&pos=11:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Fabric Shade Table Lamp with Gold Base, ,"₹ 9,999","₹ 6,169",(38% Off),,,https://www.pepperfry.com/white-cotton-table-lamp-by-kapoor-e-illuminations-1655472.html?type=search&pos=12:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Pico Plus Portable Led Solar Emergency Light with Multi-Use Stand Shade Solar Table Lamp with Yellow Base, ,₹ 699,₹ 649,(7% Off),,,https://www.pepperfry.com/pico-plus-portable-led-solar-emergency-light-with-multi-use-stand-shade-solar-tab-1869084.html?type=search&pos=13:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Cream Iron  Shade Table Lamp with Gold Base, Best Seller,"₹ 6,898","₹ 4,139",(40% Off),,,https://www.pepperfry.com/cream-iron-shade-table-lamp-with-gold-base-by-orange-tree-1888604.html?type=search&pos=14:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Glass Shade Table Lamp with Black Base, ,"₹ 1,350",₹ 959,(29% Off),,,https://www.pepperfry.com/white-glass-table-lamp-by-new-era-1788884.html?type=search&pos=15:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Brown Natural Fiber Shade Table Lamp with Black Base, ,"₹ 1,650",₹ 959,(42% Off),,,https://www.pepperfry.com/brown-natural-fiber-designer-table-lamp-by-foziq-1763130.html?type=search&pos=16:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Gold Leaves Trinity Table Lamp With Raw Gold Base, Best Seller,"₹ 4,000","₹ 2,979",(26% Off),,,https://www.pepperfry.com/trinity-gold-leaves-table-lamp-with-raw-gold-base-by-decor-de-maison-1869126.html?type=search&pos=17:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Jumilla Beige Table Lamp with Grey Base, ,"₹ 1,960","₹ 1,299",(34% Off),,,https://www.pepperfry.com/Sapphire-grey-fabric-heatons-table-lamp-1559393.html?type=search&pos=18:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Shade Table Lamp with Wood Base, Best Seller,"₹ 4,850","₹ 2,709",(44% Off),,,https://www.pepperfry.com/white-shade-floor-lamp-with-wood-base-by-Sapphire-1817108.html?type=search&pos=19:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Chiara LED Touch Table Lamp With White Base, Best Seller,"₹ 2,999","₹ 1,549",(48% Off),,,https://www.pepperfry.com/warm-white-natural-white-cold-white-led-usb-sensor-touch-table-lamp-with-white-ba-1857043.html?type=search&pos=20:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Gainseville Beige Fabric Shade Table Lamp with Brown Base, ,"₹ 3,500","₹ 2,329",(33% Off),,,https://www.pepperfry.com/gainseville-beige-fabric-table-lamp-by-Sapphire-1773353.html?type=search&pos=21:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Brown Fabric Shade Table Lamp with Brown Base, ,"₹ 3,499","₹ 1,329",(62% Off),,,https://www.pepperfry.com/brown-fabric-shade-table-lamp-with-brown-base-by-foziq-1880032.html?type=search&pos=22:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Beige Fabric Shade Table Lamp with Black Base, Best Seller,₹ 950,₹ 560,(41% Off),,,https://www.pepperfry.com/off-white-cotton-table-lamp-by-foziq-1736848.html?type=search&pos=23:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Soomin Off White Fabric Shade Table Lamp with Natural Base, Best Seller,"₹ 1,960","₹ 1,299",(34% Off),,,https://www.pepperfry.com/beige-mango-wood-table-lamp-by-Sapphire-1643580.html?type=search&pos=24:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Antonio Beige Shade Table Lamp with Wood Base, ,"₹ 3,450","₹ 1,909",(45% Off),,,https://www.pepperfry.com/antonio-beige-shade-table-lamp-with-wood-base-by-Sapphire-1823017.html?type=search&pos=26:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Faceted Transparent Glass Shade Table lamp with Natural Base, ,"₹ 1,799","₹ 1,539",(14% Off),,,https://www.pepperfry.com/faceted-transparent-glass-shade-table-lamp-with-natural-base-by-studio-indigene-1854583.html?type=search&pos=27:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Shybird Table Multicolor Satin Shade Table Lamp with Silver Base, ,"₹ 1,800","₹ 1,299",(28% Off),,,https://www.pepperfry.com/shybird-table-multicolor-satin-shade-table-lamp-with-silver-base-by-green-girgit-1863197.html?type=search&pos=28:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Artistic D cor Multicolor Terracotta Table Lamp, New,"₹ 5,499","₹ 2,799",(49% Off),,,https://www.pepperfry.com/artistic-d-cor-multicolor-terracotta-table-lamp-by-radhika-dahlan-1896784.html?type=search&pos=29:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Green Wood Shade Table Lamp with Blue Base, ,"₹ 2,375","₹ 2,099",(12% Off),,,https://www.pepperfry.com/exclusivelane-multicolour-steam-beech-wood-table-lamp-1490572.html?type=search&pos=30:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Drum Designer Multicolour Cotton Shade Table Lamp with Black Base, Best Seller,₹ 999,₹ 899,(10% Off),,,https://www.pepperfry.com/drum-designer-multicolour-cotton-shade-table-lamp-with-black-base-by-new-era-1879368.html?type=search&pos=31:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Metal White Jute Shade Table Lamp with Silver Base, ,"₹ 2,000","₹ 1,299",(35% Off),,,https://www.pepperfry.com/metal-white-jute-shade-table-lamp-with-silver-base-by-green-girgit-1863184.html?type=search&pos=32:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
Beige Cotton Shade Table Lamp with Clear Glass Base, Best Seller,"₹ 15,999","₹ 12,819",(20% Off),,,https://www.pepperfry.com/beige-cotton-shade-table-lamp-with-clear-glass-base-by-kapoor-e-illuminations-1855990.html?type=search&pos=33:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
White Fabric Shade Table Lamp with White Base, ,"₹ 3,999","₹ 2,369",(41% Off),,,https://www.pepperfry.com/the-light-store-off-white-cotton-table-lamp-1515167.html?type=search&pos=34:1&total_result=2437&searchterm=&searchterm=table lamp&as=0&cat=0
