name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Kiano Maniplant Green Artificial Stems Plastic - Pack of 2,,,,,Rs. 499,Rs.  179,64% Off,3.0,(11),https://www.snapdeal.com/product/kiano-maniplant-green-artificial-stems/668606577928#bcrumbSearch:artificial%20plants
Kiano Maniplant Green Artificial Stems Plastic - Pack of 4,,,,,Rs. 699,Rs.  269,62% Off,4.8,(5),https://www.snapdeal.com/product/kiano-maniplant-green-artificial-stems/624137660266#bcrumbSearch:artificial%20plants
Tuffy pots for plants Multicolour Artificial Tree Plastic - Pack of 6,,,,,"Rs. 1,199",Rs.  359,70% Off,3.5,(11),https://www.snapdeal.com/product/tuffy-pots-for-plants-multicolour/634976446238#bcrumbSearch:artificial%20plants
home shivaaya bonsai Red Artificial Plants Bunch Plastic - Pack of 1,,2 left!,,,"Rs. 1,299",Rs.  489,62% Off,,,https://www.snapdeal.com/product/home-shivaaya-bonsai-red-artificial/637171830789#bcrumbSearch:artificial%20plants
home shivaaya wild plant Green Bonsai Plastic - Pack of 1,,1 left!,,,"Rs. 1,399",Rs.  499,64% Off,5.0,(1),https://www.snapdeal.com/product/home-shivaaya-wild-plant-green/665876045047#bcrumbSearch:artificial%20plants
Ace International Exports Seven Chakra Crystal Healing Stones Tree Assorted Bonsai Wood - Pack of 1,,,,,Rs. 999,Rs.  489,51% Off,3.0,(2),https://www.snapdeal.com/product/ace-international-exports-seven-chakra/636493683803#bcrumbSearch:artificial%20plants
Yagines 2 X Floating Lotus Artificial Flower Water Lily Garden Pond Fishpond Plant Décor,,1 left!,,,Rs. 550,Rs.  279,49% Off,3.8,(5),https://www.snapdeal.com/product/yagines-2-x-floating-lotus/659518606355#bcrumbSearch:artificial%20plants
Green plant indoor Lotus Multicolour Floating Flowers - Pack of 5,,7 left!,,,"Rs. 1,200",Rs.  439,63% Off,4.5,(2),https://www.snapdeal.com/product/green-plant-indoor-lotus-multicolour/663216221458#bcrumbSearch:artificial%20plants
Laddu Gopal Home & Garden décor Artificial Bonsai Plant with Pot ( Purple Bonsai Plastic - Pack of 1,,,,,Rs. 999,Rs.  389,61% Off,,,https://www.snapdeal.com/product/laddu-gopal-home-garden-dcor/627930263426#bcrumbSearch:artificial%20plants
Ace International Exports Seven Chakra Crystal Healing Stones Tree Gold Bonsai Wood - Pack of 1,,,,,Rs. 999,Rs.  489,51% Off,5.0,(1),https://www.snapdeal.com/product/ace-international-exports-seven-chakra/674488173450#bcrumbSearch:artificial%20plants
Ace International Exports Seven Chakra Crystal Healing Stones Tree Blue Bonsai Wood - Pack of 1,,,,,Rs. 999,Rs.  489,51% Off,4.5,(2),https://www.snapdeal.com/product/ace-international-exports-seven-chakra/641433420520#bcrumbSearch:artificial%20plants
Ace International Exports Seven Chakra Crystal Healing Stones Tree Silver Bonsai Wood - Pack of 1,,,,,Rs. 999,Rs.  489,51% Off,3.5,(2),https://www.snapdeal.com/product/ace-international-exports-seven-chakra/630985735308#bcrumbSearch:artificial%20plants
Laddu Gopal Home & Garden décor Artificial Bonsai Plant with Pot Pink Bonsai Plastic - Pack of 1,,,,,Rs. 999,Rs.  389,61% Off,,,https://www.snapdeal.com/product/laddu-gopal-home-garden-dcor/618862351302#bcrumbSearch:artificial%20plants
