name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Branded kids clogs,,,,,Rs. 799,Rs.  279,65% Off,3.4000000000000004,(5),https://www.snapdeal.com/product/branded-kids-clogs/639641557824#bcrumbSearch:baby%20footwear
Branded Kids Clogs,,,,,Rs. 799,Rs.  279,65% Off,4.0,(4),https://www.snapdeal.com/product/branded-kids-clogs/634055684293#bcrumbSearch:baby%20footwear
Hooh Branded led kids shoes,,5 left!,29 orders in last 1 day,,Rs. 999,Rs.  389,61% Off,3.8,(12),https://www.snapdeal.com/product/branded-led-kids-shoes/657787572415#bcrumbSearch:baby%20footwear
SMARTOTS Kids Casual Sports First Walking Sports Sandals for Baby Boys Girls Age 12 Months to 3.5 Years,,,,,Rs. 499,Rs.  399,20% Off,3.8,(4),https://www.snapdeal.com/product/smartots-kids-casual-sports-first/658651695151#bcrumbSearch:baby%20footwear
Kids buntoo sandals,,,,,Rs. 999,Rs.  259,74% Off,3.7,(3),https://www.snapdeal.com/product/kids-whistle-sound-sandals/620603719419#bcrumbSearch:baby%20footwear
SMARTOTS Kids Unisex Laces Sports Running/Walking Sound Shoes Multicolour for 15 Months to 5 Years CHU-CHU-1,,,,,Rs. 399,Rs.  319,20% Off,,,https://www.snapdeal.com/product/smartots-kids-unisex-laces-sports/6917529708413862437#bcrumbSearch:baby%20footwear
Accrue Co. Sling Back LED Clogs For Boys & Girls  (Red),,1 left!,,,Rs. 599,Rs.  309,48% Off,5.0,(2),https://www.snapdeal.com/product/accrue-co-sling-back-led/634447165745#bcrumbSearch:baby%20footwear
Hooh Branded led clogs,,,,,Rs. 999,Rs.  389,61% Off,4.200000000000001,(14),https://www.snapdeal.com/product/branded-led-clogs/652513039529#bcrumbSearch:baby%20footwear
Hooh Kids boys and girls teddy slippers,,,53 orders in last 7 days,,Rs. 499,Rs.  169,66% Off,4.1,(21),https://www.snapdeal.com/product/kids-boys-and-girls-teddy/656327156705#bcrumbSearch:baby%20footwear
Kids whistle sound sandals,,,,,Rs. 999,Rs.  259,74% Off,3.0,(3),https://www.snapdeal.com/product/kids-whistle-sound-sandals/660847194228#bcrumbSearch:baby%20footwear
Airpark Cute & Colorful Musical sandal for Babies,,,,,Rs. 499,Rs.  249,50% Off,,,https://www.snapdeal.com/product/airpark-cute-colorful-musical-sandal/5764608190281651194#bcrumbSearch:baby%20footwear
Branded chu-chu whistle kids boys and girls sandals,,6 left!,29 orders in last 1 day,,Rs. 799,Rs.  249,69% Off,3.7,(13),https://www.snapdeal.com/product/branded-chuchu-whistle-kids-boys/631941226143#bcrumbSearch:baby%20footwear
