name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Branded kids clogs,,,,,Rs. 799,Rs.  289,64% Off,3.2,(6),https://www.snapdeal.com/product/branded-kids-clogs/639641557824#bcrumbSearch:baby%20footwear
Hooh Branded led kids shoes,,,79 orders in last 7 days,,Rs. 999,Rs.  399,60% Off,4.3,(20),https://www.snapdeal.com/product/branded-led-kids-shoes/657787572415#bcrumbSearch:baby%20footwear
SMARTOTS Kids Unisex Laces Sports Running/Walking Sound Shoes Multicolour for 15 Months to 5 Years CHU-CHU-1,,,,,Rs. 399,Rs.  299,25% Off,5.0,(1),https://www.snapdeal.com/product/smartots-kids-unisex-laces-sports/5764608203807015461#bcrumbSearch:baby%20footwear
Branded Kids Clogs,,,,,Rs. 799,Rs.  289,64% Off,4.200000000000001,(5),https://www.snapdeal.com/product/branded-kids-clogs/634055684293#bcrumbSearch:baby%20footwear
Hooh Branded led clogs,,,,,Rs. 999,Rs.  399,60% Off,4.1,(16),https://www.snapdeal.com/product/branded-led-clogs/652513039529#bcrumbSearch:baby%20footwear
Hooh Branded kids clogs,,,,,Rs. 799,Rs.  289,64% Off,3.8,(13),https://www.snapdeal.com/product/branded-kids-clogs/636018354112#bcrumbSearch:baby%20footwear
BUNNIES Unisex Kids Chu Chu Sound Musical First Walking Sandals for Baby Boys & Baby Girls for (6 Months to 21 Months),,,,,Rs. 499,Rs.  339,32% Off,,,https://www.snapdeal.com/product/bunnies-unisex-kids-chu-chu/662362627043#bcrumbSearch:baby%20footwear
Hooh kids whistle shoes,,,,,Rs. 799,Rs.  269,66% Off,4.699999999999999,(3),https://www.snapdeal.com/product/hooh-kids-whistle-shoes/5764608193894151257#bcrumbSearch:baby%20footwear
Branded led kids clogs,,,,,"Rs. 1,099",Rs.  289,74% Off,4.0,(1),https://www.snapdeal.com/product/branded-led-kids-clogs/626556109980#bcrumbSearch:baby%20footwear
Kids buntoo sandals,,,,,Rs. 999,Rs.  239,76% Off,3.7,(3),https://www.snapdeal.com/product/kids-whistle-sound-sandals/620603719419#bcrumbSearch:baby%20footwear
