name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Sathiyas Baby Girl Top & Bottom Set,,3 left!,,,"Rs. 1,399",Rs.  660,53% Off,4.4,(37),https://www.snapdeal.com/product/sathiyas-baby-girl-top-bottom/641921998819#bcrumbSearch:baby%20girl%20dresses
ICABLE Baby Boys & Baby Girls Printed Cotton Blend Dungaree Set,,,18 orders in last 1 day,,Rs. 999,Rs.  399,60% Off,4.1,(81),https://www.snapdeal.com/product/icable-baby-boys-baby-girls/625952745945#bcrumbSearch:baby%20girl%20dresses
Me N My 100% Cotton Latest Fashion Frock Set of two,,,,,"Rs. 1,499",Rs.  736,51% Off,4.3,(13),https://www.snapdeal.com/product/me-n-my-100-cotton/620036976524#bcrumbSearch:baby%20girl%20dresses
Me N My CLOSET 100% Cotton Latest Fashion Top & Bottom Sets,,,37 orders in last 1 day,,Rs. 999,Rs.  395,60% Off,3.9000000000000004,(382),https://www.snapdeal.com/product/me-n-my-closet-100/673854196731#bcrumbSearch:baby%20girl%20dresses
Dress,,,17 orders in last 1 day,,Rs. 70,Rs.  56,20% Off,,,https://www.snapdeal.com/product/dress/653819121731#bcrumbSearch:baby%20girl%20dresses
Cool Baby Baby Girl Frock and Shorts Set (Pack of 5)(COOL-005_Multicolor_0 - 6 Months),,,12 orders in last 1 day,,Rs. 799,Rs.  379,53% Off,4.3,(335),https://www.snapdeal.com/product/cool-baby-baby-girl-frock/680156746556#bcrumbSearch:baby%20girl%20dresses
ICABLE Baby Boys And Baby Girls Graphic Print Polycotton Nightwear (Pack of 5),,,10 orders in last 1 day,,"Rs. 1,199",Rs.  449,63% Off,4.8,(17),https://www.snapdeal.com/product/icable-baby-boys-and-baby/644768280290#bcrumbSearch:baby%20girl%20dresses
Sathiyas Multicolour Assorted Cotton Baby Girls Dresses - Pack of 5 (0-6Months),,,,,Rs. 849,Rs.  585,31% Off,4.1,(119),https://www.snapdeal.com/product/sathiyas-multicolour-cotton-baby-girls/629896558934#bcrumbSearch:baby%20girl%20dresses
Me N My 100% Cotton Latest Fashion Frock,,,43 orders in last 1 day,,Rs. 899,Rs.  354,61% Off,4.0,(497),https://www.snapdeal.com/product/me-n-my-100-cotton/671778435285#bcrumbSearch:baby%20girl%20dresses
Sathiyas Akash 100% Hosiery cotton Baby Girls Colorful Fancy Dresses - (Set of 5 Dresses),,7 left!,,,"Rs. 1,299",Rs.  711,45% Off,3.9000000000000004,(1102),https://www.snapdeal.com/product/sathya-multicolor-cotton-fock-pack/6917529689472594121#bcrumbSearch:baby%20girl%20dresses
"Sathiyas Baby Girls A-Line Hosiery Cotton Dresses (Multicolor, Set of 5 Dresses)",,,,,"Rs. 1,299",Rs.  711,45% Off,3.9000000000000004,(81),https://www.snapdeal.com/product/sathiyas-baby-girls-aline-hosiery/6917529712486385022#bcrumbSearch:baby%20girl%20dresses
HVM Top & Pant Set For Girls,,,,,Rs. 999,Rs.  576,42% Off,4.3,(60),https://www.snapdeal.com/product/hvm-top-pant-set-for/623005778929#bcrumbSearch:baby%20girl%20dresses
Babeezworld Regular Daily Wear Baby Girl Cotton Full Sleeves Vest Jhabla Frock Dress Set (Kids Combo Pack Of 1),,,,Featured,Rs. 599,Rs. 219,57% Off,4.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3838807824?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1252276&websiteId=1&position=&trackerId=10.65.96.26:fb31324e-bd9e-4137-91bd-593d9d85c197:1&category=generic_search&supcCat=baby-clothing-tshirts-tops&page=slp&accId=15141&siteId=101&sdId=162549541144849782&eId=&dId=&sellerCode=S0cc71&supc=SDL961110584&pogId=629257819559&brand=Babeezworld&metricsType=CPC&fp=55.1226821502154&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=700000&pr=489999&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fbabeezworld-regular-daily-wear-baby%2F629257819559%3FvendorCode%3DS0cc71%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL961110584%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
