name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Softsens Natural Baby Shampoo 400 ml ( 2 pcs ),,,,,Rs. 330,Rs.  169,49% Off,4.3,(54),https://www.snapdeal.com/product/softsens-natural-baby-shampoo-400/652270884519#bcrumbSearch:baby%20shampoo
Suave Kids 2 In 1 Shampoo + Conditioner 355ml (12oz) - Surf's Up,,2 left!,,,Rs. 999,Rs.  549,45% Off,5.0,(2),https://www.snapdeal.com/product/suave-kids-2-in-1/667730763132#bcrumbSearch:baby%20shampoo
Himalaya White Herbal 400 ml Baby Shampoo,,,,,Rs. 320,Rs.  289,10% Off,4.1,(36),https://www.snapdeal.com/product/himalaya-white-herbal-400-ml/635616515984#bcrumbSearch:baby%20shampoo
Loreal Kids Baby Shampoo 250 ml ( 1 pcs ),,1 left!,,,Rs. 799,Rs.  519,35% Off,3.7,(3),https://www.snapdeal.com/product/loreal-kids-baby-shampoo-250/680371315557#bcrumbSearch:baby%20shampoo
Himalaya Baby Shampoo 400 Ml,,,,,Rs. 320,Rs.  289,10% Off,4.3,(237),https://www.snapdeal.com/product/himalaya-baby-shampoo-400ml/659773383217#bcrumbSearch:baby%20shampoo
Donum Natural Baby Shampoo 440 ml ( 2 pcs ),,,,,Rs. 990,Rs.  743,25% Off,,,https://www.snapdeal.com/product/donum-natural-baby-shampoo-440/676326455859#bcrumbSearch:baby%20shampoo
Loreal Kids Baby Shampoo 250 ml ( 1 pcs ),,5 left!,,,Rs. 799,Rs.  519,35% Off,3.0,(1),https://www.snapdeal.com/product/loreal-kids-baby-shampoo-250/655047020789#bcrumbSearch:baby%20shampoo
Avon Baby Shampoo 200 ml ( 2 pcs ),,,,,Rs. 718,Rs.  699,3% Off,5.0,(1),https://www.snapdeal.com/product/avon-baby-shampoo-200-ml/650658637168#bcrumbSearch:baby%20shampoo
Mee Mee Natural Baby Shampoo 500 ml ( 2 pcs ),,,,,Rs. 598,Rs.  519,13% Off,4.0,(1),https://www.snapdeal.com/product/mee-mee-natural-baby-shampoo/625566523865#bcrumbSearch:baby%20shampoo
"MommyPure Extra Gentle Tear-Free Baby Shampoo | Natural, Extra Gentle & Tear-Free Baby Shampoo | Dermatologically Tested - 120ml",,,,,Rs. 279,Rs.  239,14% Off,,,https://www.snapdeal.com/product/mommypure-natural-baby-shampoo-120/655092078720#bcrumbSearch:baby%20shampoo
WOW Skin Science Kids 3 in 1  Tip to Toe Wash - Sweet Orange Shampoo 300 ml,,,,,Rs. 399,Rs.  329,18% Off,4.3,(38),https://www.snapdeal.com/product/wow-skin-science-kids-3/674624391587#bcrumbSearch:baby%20shampoo
Softsens Natural Baby Shampoo 200 ml ( 1 pcs ),,,,,Rs. 165,Rs.  130,21% Off,4.3,(11),https://www.snapdeal.com/product/softsens-natural-baby-shampoo-200/658157089419#bcrumbSearch:baby%20shampoo
