name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Shaphio Microfibre Double Bedsheet with 2 Pillow Covers ( 222 cm x 222 cm ),,,74 orders in last 1 day,,Rs. 999,Rs.  309,69% Off,3.9000000000000004,(89),https://www.snapdeal.com/product/shaphio-microfibre-double-bedsheet-with/625362339514#bcrumbSearch:bedsheet
DURGA INTERNATIONAL Microfibre Double Bedsheet with 2 Pillow Covers ( 225 cm x 220 cm ),,,16 orders in last 1 day,,Rs. 799,Rs.  289,64% Off,3.7,(724),https://www.snapdeal.com/product/durga-international-microfibre-double-bedsheet/627305424108#bcrumbSearch:bedsheet
Shaphio Microfibre Double Bedsheet with 2 Pillow Covers ( 224 cm x 224 cm ),,,116 orders in last 1 day,,Rs. 999,Rs.  309,69% Off,3.8,(494),https://www.snapdeal.com/product/shaphio-microfibre-double-bedsheet-with/640425735186#bcrumbSearch:bedsheet
Lakhita Enterprises Cotton Double Bedsheet with 2 Pillow Covers ( 236 cm x 215 cm ),,,71 orders in last 1 day,,Rs. 999,Rs.  419,58% Off,3.5999999999999996,(1435),https://www.snapdeal.com/product/lakhita-enterprises-cotton-double-bedsheet/663159454664#bcrumbSearch:bedsheet
Shaphio Poly Cotton Double Bedsheet with 2 Pillow Covers ( 224 cm x 224 cm ),,,21 people just ordered,,Rs. 999,Rs.  309,69% Off,3.9000000000000004,(86),https://www.snapdeal.com/product/shaphio-poly-cotton-double-bedsheet/638307173869#bcrumbSearch:bedsheet
HOMETALES Microfibre 140 TC Double Bedsheet with 2 Pillow Covers ( 228 cm x 228 cm ),,,114 orders in last 7 days,,"Rs. 1,299",Rs.  349,73% Off,4.0,(487),https://www.snapdeal.com/product/hometales-microfibre-double-bedsheet-with/620154319245#bcrumbSearch:bedsheet
Shaphio Microfibre Double Bedsheet with 2 Pillow Covers ( 222 cm x 222 cm ),,,56 orders in last 7 days,,Rs. 999,Rs.  309,69% Off,3.8,(85),https://www.snapdeal.com/product/shaphio-microfibre-double-bedsheet-with/677150732354#bcrumbSearch:bedsheet
Rajasthani Bedsheet Double Cotton Multicolor Floral Bed Sheet,,,20 orders in last 1 day,,"Rs. 1,999",Rs.  419,79% Off,4.0,(276),https://www.snapdeal.com/product/rajasthani-bedsheet-double-cotton-multicolor/683805629410#bcrumbSearch:bedsheet
HOMETALES Microfibre 120 TC 2 Single Bedsheets with 2 Pillow Covers ( 218 cm x 152 cm ),,,,,Rs. 999,Rs.  419,58% Off,3.8,(115),https://www.snapdeal.com/product/hometales-microfibre-2-single-bedsheets/636131819451#bcrumbSearch:bedsheet
Shaphio Microfibre Single Bedsheet with 1 Pillow Cover ( 228 cm x 150 cm ),,,17 orders in last 1 day,,Rs. 799,Rs.  219,73% Off,4.0,(67),https://www.snapdeal.com/product/shaphio-microfibre-single-bedsheet-with/621644757630#bcrumbSearch:bedsheet
HOMETALES Microfibre 140 TC Double Bedsheet with 2 Pillow Covers ( 218 cm x 229 cm ),,,45 orders in last 1 day,,Rs. 999,Rs.  329,67% Off,3.9000000000000004,(785),https://www.snapdeal.com/product/hometales-microfibre-double-bedsheet-with/665464013629#bcrumbSearch:bedsheet
Exopick Microfibre Double Bedsheet with 2 Pillow Covers ( 228 cm x 228 cm ),,,,,Rs. 999,Rs.  309,69% Off,4.0,(6),https://www.snapdeal.com/product/exopick-microfibre-double-bedsheet-with/678537733845#bcrumbSearch:bedsheet
Silver Shine King Yellow Plain Mosquito Net,,,,Featured,Rs. 2781,Rs. 927,67% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3860080919?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1317926&websiteId=1&position=&trackerId=10.70.96.26:e813db26-dfff-41f8-b7b2-ac43b0b9832a:1&category=generic_search&supcCat=moquito-nets&page=slp&accId=73440&siteId=101&sdId=162813852492474626&eId=&dId=&sellerCode=Sd4166&supc=SDL819012184&pogId=621268086410&brand=Silver+Shine&metricsType=CPC&fp=33.29086538461539&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fsilver-shine-king-yellow-plain%2F621268086410%3FvendorCode%3DSd4166%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL819012184%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Silver Shine King Brown Plain Mosquito Net,,,,Featured,Rs. 2781,Rs. 927,67% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3860080916?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1317926&websiteId=1&position=&trackerId=10.70.96.26:e813db26-dfff-41f8-b7b2-ac43b0b9832a:2&category=generic_search&supcCat=moquito-nets&page=slp&accId=73440&siteId=101&sdId=162813852492474626&eId=&dId=&sellerCode=Sd4166&supc=SDL802546914&pogId=682012280912&brand=Silver+Shine&metricsType=CPC&fp=33.29086538461539&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fsilver-shine-king-brown-plain%2F682012280912%3FvendorCode%3DSd4166%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL802546914%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Silver Shine King Blue Mosquito Net,,,,Featured,Rs. 2199,Rs. 1299,30% Off,4.3,,https://clk.snapdeal.biz/rtb/clickTracker/0/3860080843?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1317924&websiteId=1&position=&trackerId=10.70.96.26:e813db26-dfff-41f8-b7b2-ac43b0b9832a:3&category=generic_search&supcCat=moquito-nets&page=slp&accId=73440&siteId=101&sdId=162813852492474626&eId=&dId=&sellerCode=Sd4166&supc=SDL148765940&pogId=666295900511&brand=Silver+Shine&metricsType=CPC&fp=33.29086538461539&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fsilver-shine-king-blue-mosquito%2F666295900511%3FvendorCode%3DSd4166%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL148765940%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
