name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
"Swiss Beauty Waterproof, Non-Transfer Lipstick (Wine Blush), 2gm",,,51 orders in last 7 days,,Rs. 299,Rs.  277,7% Off,4.3,(24),https://www.snapdeal.com/product/swiss-beauty-waterproof-nontransfer-lipstick/7061644857386538390#bcrumbSearch:blush
"Swiss Beauty Pro Blush & Highlighter Palette (Shade-2), 15gm",,,17 orders in last 1 day,,Rs. 399,Rs.  344,14% Off,4.0,(173),https://www.snapdeal.com/product/swiss-beauty-pressed-powder-blush/619809669891#bcrumbSearch:blush
Meilin Pressed Powder Blush,,,,,Rs. 799,Rs.  485,39% Off,4.1,(15),https://www.snapdeal.com/product/meilin-blusher-palette/972008158#bcrumbSearch:blush
"Swiss Beauty Waterproof, Non-Transfer Lipstick (Mauve Blush), 2gm",,,51 orders in last 7 days,,Rs. 299,Rs.  277,7% Off,4.3,(24),https://www.snapdeal.com/product/swiss-beauty-waterproof-nontransfer-lipstick/6052838540855547286#bcrumbSearch:blush
Cameleon Pressed Powder Blush gm,,2 left!,,,Rs. 599,Rs.  380,37% Off,4.1,(19),https://www.snapdeal.com/product/cameleon-pressed-powder-blush-white/633165639460#bcrumbSearch:blush
Chariot New York Cream Blush Marsh Mellow Matte Rose Pink 10 g,,,,,Rs. 749,Rs.  299,60% Off,4.8,(6),https://www.snapdeal.com/product/chariot-new-york-cream-blush/674672074628#bcrumbSearch:blush
Cameleon Sivanna Loose Powder Blush 02 Multicolor 0.2 gm,,,,,Rs. 499,Rs.  373,25% Off,4.1,(70),https://www.snapdeal.com/product/cameleon-sivanna-loose-powder-blush/648570968931#bcrumbSearch:blush
O.TWO.O Liquid Blush Rose 15 g,,2 left!,,,Rs. 799,Rs.  675,16% Off,3.9000000000000004,(9),https://www.snapdeal.com/product/otwoo-liquid-blush-rust-15/7493990405522227976#bcrumbSearch:blush
Cameleon Pressed Powder Blush gm,,,,,Rs. 599,Rs.  324,46% Off,3.9000000000000004,(56),https://www.snapdeal.com/product/cameleon-pressed-powder-blush-pink/677511818684#bcrumbSearch:blush
O.TWO.O Liquid Blush Rust 15 g,,2 left!,,,Rs. 799,Rs.  675,16% Off,3.9000000000000004,(9),https://www.snapdeal.com/product/otwoo-liquid-blush-rust-15/8070451157825651464#bcrumbSearch:blush
Mars 5 Color Blusher Palette Pressed Powder Blush 2866061 Multi 16 g,,,,,Rs. 720,Rs.  400,44% Off,,,https://www.snapdeal.com/product/mars-5-color-blusher-palette/675857894948#bcrumbSearch:blush
O.TWO.O Liquid Blush Nude 15 g,,2 left!,,,Rs. 799,Rs.  675,16% Off,3.9000000000000004,(9),https://www.snapdeal.com/product/otwoo-liquid-blush-rust-15/5188147396308534024#bcrumbSearch:blush
DeBelle De Carnation Nail Polish Blush Pink Glossy 8 mL,,,,Featured,Rs. 295,Rs. 249,5% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3852699518?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1294934&websiteId=1&position=&trackerId=10.70.96.26:f55f83b9-b3ec-499b-955f-c3a6ac1b156a:1&category=generic_search&supcCat=make-up-nail-polishes&page=slp&accId=45016&siteId=101&sdId=162485154363380963&eId=&dId=&sellerCode=S82344&supc=SDL714208535&pogId=626072836599&brand=DeBelle&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2100000&pr=1470000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fdebelle-decarnation-nail-polish-blush%2F626072836599%3FvendorCode%3DS82344%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL714208535%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
DeBelle Almond Blush Nail Polish Orange Glossy 8 mL,,,,Featured,Rs. 295,Rs. 259,5% Off,5.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3852699442?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1294934&websiteId=1&position=&trackerId=10.70.96.26:f55f83b9-b3ec-499b-955f-c3a6ac1b156a:2&category=generic_search&supcCat=make-up-nail-polishes&page=slp&accId=45016&siteId=101&sdId=162485154363380963&eId=&dId=&sellerCode=S82344&supc=SDL869662297&pogId=642079211874&brand=DeBelle&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2100000&pr=1470000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fdebelle-almond-blush-nail-polish%2F642079211874%3FvendorCode%3DS82344%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL869662297%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
