name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
"Swiss Beauty Pro Blush & Highlighter Palette (Shade-2), 15gm",,,,,Rs. 399,Rs.  309,23% Off,4.0,(199),https://www.snapdeal.com/product/swiss-beauty-pressed-powder-blush/619809669891#bcrumbSearch:blush
"Swiss Beauty Pro Blush & Highlighter Palette (Shade-4), 15gm",,,,,Rs. 399,Rs.  309,23% Off,4.200000000000001,(35),https://www.snapdeal.com/product/swiss-beatuy-8-blush-and/676988420339#bcrumbSearch:blush
Miss Rose All In One 78 Color Eyeshadow Matte Look Makeup Palette(60 shade Eyeshadow+12 Lipstick+3 Blush+3 Compact Eyes Cream-to-powder Colours),,,,,"Rs. 1,746",Rs.  775,56% Off,4.1,(42),https://www.snapdeal.com/product/miss-rose-60-color-eyeshadow12/672904206346#bcrumbSearch:blush
Iba Halal Pure Lips Long Stay Matte Lipstick M17 Apricot Blush,,,,,Rs. 350,Rs.  336,4% Off,4.3,(27),https://www.snapdeal.com/product/iba-halal-pure-lips-long/674817708552#bcrumbSearch:blush
"Swiss Beatuy Primer Mousse Foundation (Rose Blush), 40gm",,,,,Rs. 399,Rs.  309,23% Off,4.3,(4),https://www.snapdeal.com/product/swiss-beauty-primer-mousse-foundation/628764635625#bcrumbSearch:blush
Glam 21 Kiash Stick Concealer Rose Blush 30 gm Pack of 6,,,,,"Rs. 1,008",Rs.  547,46% Off,4.3,(3),https://www.snapdeal.com/product/glam-21-stick-concealer-roseblush/662755463050#bcrumbSearch:blush
"Swiss Beauty CC Cream Foundation (Rose Blush), 30ml",,,,,Rs. 299,Rs.  239,20% Off,3.1,(14),https://www.snapdeal.com/product/swiss-beauty-cc-cream-light/6917529674677698335#bcrumbSearch:blush
Chariot New York Cream Blush Glorious Matte Nude 10 g,,,,,Rs. 649,Rs.  259,60% Off,,,https://www.snapdeal.com/product/chariot-new-york-cream-blush/630347364604#bcrumbSearch:blush
"Swiss Beauty Waterproof, Non-Transfer Lipstick (Wine Blush), 2gm",,,,,Rs. 299,Rs.  239,20% Off,4.1,(57),https://www.snapdeal.com/product/swiss-beauty-waterproof-nontransfer-lipstick/7061644857386538390#bcrumbSearch:blush
Colors Queen Cream Foundation Rose Blush Light 50 g,,,,,Rs. 249,Rs.  199,20% Off,5.0,(2),https://www.snapdeal.com/product/colors-queen-cream-foundation-rose/642823780583#bcrumbSearch:blush
Incolor Pressed Powder Blush Cherry 9 g,,,,,Rs. 275,Rs.  239,13% Off,5.0,(1),https://www.snapdeal.com/product/incolor-pressed-powder-blush-cherry/622797819452#bcrumbSearch:blush
Sivanna Colors Fall in Love Blush Pressed Powder Blush Peach 8.5 g,,1 left!,,,Rs. 850,Rs.  489,42% Off,,,https://www.snapdeal.com/product/sivanna-colors-fall-in-love/627754009492#bcrumbSearch:blush
Stim Interdental Original (Pack Of 3) Interdental Blush with Replacement Heads 30 g,,,,Featured,Rs. 510,Rs. 439,0% Off,3.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3841842918?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1230055&websiteId=1&position=&trackerId=10.65.96.22:35a77130-d288-4382-bd7d-e2eab1782f88:1&category=generic_search&supcCat=oral-care-interdental-brushes-sticks&page=slp&accId=84606&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=Sf4470&supc=SDL799782951&pogId=664703662552&brand=Stim&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=1230000&pr=861000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fstim-interdental-brush%2F664703662552%3FvendorCode%3DSf4470%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL799782951%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
DeBelle De Carnation Nail Polish Blush Pink Glossy 8 mL,,,,Featured,Rs. 295,Rs. 249,4% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3852699518?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1294934&websiteId=1&position=&trackerId=10.65.96.22:35a77130-d288-4382-bd7d-e2eab1782f88:2&category=generic_search&supcCat=make-up-nail-polishes&page=slp&accId=45016&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=S82344&supc=SDL714208535&pogId=626072836599&brand=DeBelle&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2100000&pr=1470000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fdebelle-decarnation-nail-polish-blush%2F626072836599%3FvendorCode%3DS82344%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL714208535%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
