name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
FUNKkY Leather Recliner Bean Bag Cover Without Beans XXL - Black,,,,,"Rs. 1,999",Rs.  649,68% Off,4.0,(15),https://www.snapdeal.com/product/funkky-leather-recliner-bean-bag/680947190165#bcrumbSearch:chair|bcrumbLabelId:580
PRIMIUM QUALITY DP Styles XXXL Chaise Lounge with foot rest ( No Fillers),,5 left!,,,"Rs. 3,999","Rs.  1,799",55% Off,5.0,(3),https://www.snapdeal.com/product/dp-styles-xxxl-chaise-lounge/663432900339#bcrumbSearch:chair|bcrumbLabelId:580
DuraComf Hydraulic Gas Lift Cylinder for Office Chairs (Chrome) 120mm,,,,,Rs. 899,Rs.  489,46% Off,5.0,(1),https://www.snapdeal.com/product/duracomf-hydraulic-gas-lift-cylinder/672589551452#bcrumbSearch:chair|bcrumbLabelId:580
Chair Handle Armrest ( Y type Model ) ( PP Hard Plastic ) Black,,,,,"Rs. 1,499",Rs.  549,63% Off,5.0,(1),https://www.snapdeal.com/product/chair-handle-armrest-y-type/645011057040#bcrumbSearch:chair|bcrumbLabelId:580
WOOEN CLOOTH CUSHION ROCKING CHAIR// EASY CHAIR // AARAM CHAIR // ROCK N ROLL,,,,,"Rs. 25,999","Rs.  16,000",38% Off,,,https://www.snapdeal.com/product/wooen-clooth-cushion-rocking-chair/650277307047#bcrumbSearch:chair|bcrumbLabelId:580
Office Chair Hydraulic Gas Lift Cylinder Replacement - Universal Size - 120mm - Suites All Types of Office High Back and Low Back Chairs,,,,,Rs. 999,Rs.  399,60% Off,5.0,(1),https://www.snapdeal.com/product/office-chair-hydraulic-gas-lift/686031796900#bcrumbSearch:chair|bcrumbLabelId:580
Nilkamal Plastic Premium Chair Set of 2 ( Brown),,1 left!,,,"Rs. 3,000","Rs.  2,288",24% Off,3.5,(4),https://www.snapdeal.com/product/nilkamal-plastic-premium-chair-set/661670283797#bcrumbSearch:chair|bcrumbLabelId:580
ROCKING CHAIR,,,,,"Rs. 15,000","Rs.  11,040",26% Off,4.0,(1),https://www.snapdeal.com/product/rocking-chair/663873565161#bcrumbSearch:chair|bcrumbLabelId:580
ARMAN ART & CRAFTS BEAUTIFUL SHISHAM WOOD ROCKING CHAIR WITH CUSION // MELLAMINE FINISHING,,,,,"Rs. 19,999","Rs.  13,356",33% Off,5.0,(1),https://www.snapdeal.com/product/arman-art-crafts-rocking-chair/657240512967#bcrumbSearch:chair|bcrumbLabelId:580
Office Chair Wheels (Caster) set of 5,,,,,Rs. 599,Rs.  399,33% Off,,,https://www.snapdeal.com/product/office-chair-wheels-caster-set/678154974935#bcrumbSearch:chair|bcrumbLabelId:580
Homegenic National Tub Chair with Complimentary Cotton Cushions,,,,,"Rs. 3,999","Rs.  3,499",13% Off,5.0,(2),https://www.snapdeal.com/product/homegenic-national-tub-chair-with/5188147442546587861#bcrumbSearch:chair|bcrumbLabelId:580
Prominent Living Room Chair Combo (Set of 2),,,,,"Rs. 3,999","Rs.  2,495",38% Off,3.8,(6),https://www.snapdeal.com/product/cello-prominent-set-of-2/397271092#bcrumbSearch:chair|bcrumbLabelId:580
Tofarch home office chair (model - f1m) fabric | ergonomic office chair | executive desk chair | director desk chair | manager chair,,,,Featured,Rs. 40560,Rs. 19500,52% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3855508287?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1148138&websiteId=1&position=&trackerId=10.70.96.26:5d43a751-dc0b-483a-94c0-1857b235cd6f:1&category=generic_search&supcCat=rocking-chairs&page=slp&accId=152486&siteId=101&sdId=162722485781223979&eId=&dId=&sellerCode=S61b9b&supc=SDL698400522&pogId=658914885227&brand=TOFARCH&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=3000000&pr=2100000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Ftofarch-home-office-chair-model%2F658914885227%3FvendorCode%3DS61b9b%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL698400522%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
TOFARCH Home Office Chair RIO Executive Computer Chair with Ergonomic for Work from Home,,,,Featured,Rs. 10999,Rs. 6359,42% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3853968876?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1148138&websiteId=1&position=&trackerId=10.70.96.26:5d43a751-dc0b-483a-94c0-1857b235cd6f:2&category=generic_search&supcCat=rocking-chairs&page=slp&accId=152486&siteId=101&sdId=162722485781223979&eId=&dId=&sellerCode=S61b9b&supc=SDL716455283&pogId=678117020683&brand=TOFARCH&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=3000000&pr=2100000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Ftofarch-home-office-chair-rio%2F678117020683%3FvendorCode%3DS61b9b%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL716455283%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
