name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
S  Granite Top Wooden Table,,2 left!,,,"Rs. 1,00,000","Rs.  74,800",25% Off,,,https://www.snapdeal.com/product/s-granite-top-wooden-table/648572690983#bcrumbSearch:dining%20set
MARBLE DINNING TABLE,,2 left!,,,"Rs. 86,000","Rs.  82,657",4% Off,,,https://www.snapdeal.com/product/marble-dinning-table/619119687953#bcrumbSearch:dining%20set
MARBLE DINNIG TABLE,,2 left!,,,"Rs. 80,000","Rs.  57,602",28% Off,,,https://www.snapdeal.com/product/marble-dinnig-table/686550319500#bcrumbSearch:dining%20set
ARMAN ART & CRAFT SHISHAM WOOD DINING SET 4 SEATER,,,,,"Rs. 55,999","Rs.  45,999",18% Off,,,https://www.snapdeal.com/product/arman-art-craft-shisham-wood/666826225704#bcrumbSearch:dining%20set
Granite/Marble Table,,2 left!,,,"Rs. 90,000","Rs.  60,000",33% Off,,,https://www.snapdeal.com/product/granitemarble-table/639254421952#bcrumbSearch:dining%20set
Angel's Modish Solid Sheesham Wood Dining Table Set (Walnut Finish) Folding Dining Table,,,,,"Rs. 39,999","Rs.  29,500",26% Off,,,https://www.snapdeal.com/product/angels-modish-solid-sheesham-wood/636455642542#bcrumbSearch:dining%20set
LEROYAL Stainless Steel Dinner Set of 6 Pieces,,,15 orders in last 1 day,,"Rs. 1,599","Rs.  1,299",19% Off,4.4,(149),https://www.snapdeal.com/product/leroyal-stainless-steel-dinner-set/672549836350#bcrumbSearch:dining%20set
"fastel Plastic Reusable Popsicle Molds Ice Pop Makers Ice Pop Molds Kulfi Maker Mould, Candy Maker Plastic Popsicle Mold, Kids Ice Cream Tray Holder (Set of 6)",,,,,Rs. 599,Rs.  269,55% Off,4.0,(31),https://www.snapdeal.com/product/fastel-plastic-reusable-popsicle-molds/667768571194#bcrumbSearch:dining%20set
OXYJAL Copper Bottle Gift 5 Pcs Lemon set,,7 left!,12 orders in last 1 day,,"Rs. 1,599","Rs.  1,502",6% Off,3.9000000000000004,(97),https://www.snapdeal.com/product/oxyjal-copper-bottle-gift-5/671233525493#bcrumbSearch:dining%20set
AMAZE SHOPPEE 7 Pcs Wooden Serving Spoon,,,58 people just ordered,,Rs. 499,Rs.  199,60% Off,3.9000000000000004,(10454),https://www.snapdeal.com/product/amaze-shoppee-7-pcs-wooden/647409574052#bcrumbSearch:dining%20set
ACRO white tray set,,,,,"Rs. 1,598","Rs.  1,064",33% Off,,,https://www.snapdeal.com/product/acro-white-tray-set/656391414259#bcrumbSearch:dining%20set
CreadCraft Set of 6 PVC Table Mats,,,,,Rs. 699,Rs.  325,54% Off,3.9000000000000004,(14),https://www.snapdeal.com/product/creadcraft-set-of-6-pvc/669520034919#bcrumbSearch:dining%20set
AFAST Glass 300 ml Jugs & Glasses Sets,,,,,"Rs. 2,876","Rs.  1,082",62% Off,,,https://www.snapdeal.com/product/afast-glass-300-ml-jugs/679284048992#bcrumbSearch:dining%20set
Dakshya Industries Set of 6 PVC Table Mats,,,,,Rs. 499,Rs.  248,50% Off,,,https://www.snapdeal.com/product/dakshya-industries-set-of-6/631477792617#bcrumbSearch:dining%20set
