name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
ADS Foundation Illuminating Face Primer Gel | Pack of 2,,,,,Rs. 600,Rs.  169,72% Off,3.8,(58),https://www.snapdeal.com/product/ads-foundation-illuminating-face-primer/684575459504#bcrumbSearch:face%20primer
"Swiss Beauty Real Makeup Base Highlighting Face Primer (Pink Tint), 30ml",,,,,Rs. 349,Rs.  279,20% Off,3.7,(32),https://www.snapdeal.com/product/swiss-beauty-real-makeup-base/633266301754#bcrumbSearch:face%20primer
Iba Halal Photo Perfect HD Face Primer Gel 35 g,,,,,Rs. 399,Rs.  380,5% Off,4.1,(46),https://www.snapdeal.com/product/iba-halal-photo-perfect-hd/678702750151#bcrumbSearch:face%20primer
"Swiss Beauty Real Makeup Base Highlighting Face Primer (Natural Tint), 30ml",,,,,Rs. 349,Rs.  269,23% Off,4.4,(48),https://www.snapdeal.com/product/swiss-beauty-face-primer-cream/643865380404#bcrumbSearch:face%20primer
Glam21 Face Primer Cream g,,,,,"Rs. 1,480",Rs.  625,58% Off,4.1,(17),https://www.snapdeal.com/product/glam21-face-primer-cream-60/619718253092#bcrumbSearch:face%20primer
"Swiss Beauty Primer Mousse Foundation (Medium Beige), 40gm",,,,,Rs. 399,Rs.  299,25% Off,4.5,(12),https://www.snapdeal.com/product/swiss-beatuy-primer-mousse-foundation/686293269336#bcrumbSearch:face%20primer
Meilin Gel Base Face Primer Gel 30 g,,1 left!,,,Rs. 999,Rs.  755,24% Off,,,https://www.snapdeal.com/product/meilin-gel-base-face-primer/665752474947#bcrumbSearch:face%20primer
"Swiss Beauty 24k Gold Face Serum, 40ml",,,,,Rs. 399,Rs.  299,25% Off,4.5,(11),https://www.snapdeal.com/product/swiss-beauty-24k-gold-skin/625876312701#bcrumbSearch:face%20primer
GlamGals HOLLYWOOD-U.S.A Face Primer Gel SPF 15 59 g,,,,,Rs. 670,Rs.  499,26% Off,,,https://www.snapdeal.com/product/glamgals-face-primer-gel-spf/641454763770#bcrumbSearch:face%20primer
"Swiss Beauty Primer Oil Free Long Lasting Face Primer (White), 30ml",,,,,Rs. 449,Rs.  339,24% Off,4.4,(11),https://www.snapdeal.com/product/swiss-beauty-primer-oil-free/630221361002#bcrumbSearch:face%20primer
Kiss Beauty Face Primer Gel | Pack of 2,,,,,"Rs. 1,198",Rs.  649,46% Off,3.8,(62),https://www.snapdeal.com/product/kiss-beauty-face-primer-gel/659747737122#bcrumbSearch:face%20primer
"Swiss Beauty Pearl Face Primer, 30ml",,,,,Rs. 699,Rs.  519,26% Off,4.5,(15),https://www.snapdeal.com/product/swiss-beauty-pearl-primer-pores/626147565805#bcrumbSearch:face%20primer
"Swiss Beatuy Primer Mousse Foundation (Rose Blush), 40gm",,,,,Rs. 399,Rs.  309,23% Off,4.5,(2),https://www.snapdeal.com/product/swiss-beauty-primer-mousse-foundation/628764635625#bcrumbSearch:face%20primer
Mars Miracle BB Primer Base Liquid Foundation Medium 60 g,,,,,Rs. 840,Rs.  359,57% Off,4.0,(22),https://www.snapdeal.com/product/mars-miracle-bb-primer-base/621643440898#bcrumbSearch:face%20primer
"Swiss Beauty Primer & Mattifying Setting Powder ,10gm",,,,,Rs. 299,Rs.  229,23% Off,4.0,(58),https://www.snapdeal.com/product/swiss-beauty-primenset-primer-mattifying/634541742795#bcrumbSearch:face%20primer
"Swiss Beatuy Primer Mousse Foundation (White Ivory), 40gm",,,,,Rs. 399,Rs.  309,23% Off,4.3,(28),https://www.snapdeal.com/product/swiss-beauty-cream-foundation-primer/643883401723#bcrumbSearch:face%20primer
Colors Queen Oil Control With Primer Gel Foundation Skin Color Medium 30 g,,,,,Rs. 399,Rs.  349,13% Off,4.1,(69),https://www.snapdeal.com/product/colors-queen-gel-foundation-skin/6917529709702018909#bcrumbSearch:face%20primer
mary jo k HD Finished Glow Mist Fixing Face Primer Spray 120 g,,3 left!,,,Rs. 475,Rs.  369,22% Off,5.0,(2),https://www.snapdeal.com/product/mary-jo-k-hd-finished/619147393135#bcrumbSearch:face%20primer
Seven Seas Foundation (Nude Beige) Face Primer Cream 50 g,,,,,Rs. 295,Rs.  219,26% Off,5.0,(1),https://www.snapdeal.com/product/seven-seas-foundation-nude-beige/653430983332#bcrumbSearch:face%20primer
Arezia Face Primer Gel 30 g,,3 left!,,,Rs. 499,Rs.  329,34% Off,5.0,(1),https://www.snapdeal.com/product/arezia-face-primer-gel-30/664397325807#bcrumbSearch:face%20primer
