name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
ADS Ultra Ceramide Matte Lipstick Multicolor,,,,,Rs. 999,Rs.  287,71% Off,3.299999999999999,(1209),https://www.snapdeal.com/product/ads-ultra-ceramide-matte-lipstick/632499977994#bcrumbSearch:lipstick
Colors Queen Liquid Lipstick Coral 6 mL,,,63 orders in last 7 days,,Rs. 199,Rs.  199,,3.0,(160),https://www.snapdeal.com/product/colors-queen-liquid-lipstick-light/637107276240#bcrumbSearch:lipstick
Miss Rose Creme Lipstick | Shade No 49(Chii),,,20 orders in last 1 day,,Rs. 399,Rs.  184,54% Off,3.9000000000000004,(546),https://www.snapdeal.com/product/miss-rose-creme-lipstick-oval49/656534513151#bcrumbSearch:lipstick
"Swiss Beauty Waterproof, Non-Transfer Lipstick (Dark Brown), 2gm",,,63 orders in last 7 days,,Rs. 299,Rs.  277,7% Off,4.200000000000001,(30),https://www.snapdeal.com/product/swiss-beauty-waterproof-nontransfer-lipstick/4755801848172844438#bcrumbSearch:lipstick
COLORS QUEEN Bride Red shade 2 In 1 Matte Lip Gloss and Lipstick ,,,15 orders in last 1 day,,Rs. 249,Rs.  249,,4.0,(424),https://www.snapdeal.com/product/colors-queen-liquid-lipstick-red/685924568346#bcrumbSearch:lipstick
Miss Rose Creamy Matte Long Lasting Moisturizing Lipstick | Hot Pink Shade,,,18 orders in last 1 day,,Rs. 399,Rs.  185,54% Off,3.8,(114),https://www.snapdeal.com/product/miss-rose-bullet-lipstick-hot/623772163063#bcrumbSearch:lipstick
ADS Lipstick set of 24 multicolor 3.5 gm,,,,,Rs. 799,Rs.  500,37% Off,3.7,(129),https://www.snapdeal.com/product/ads-lipstick-multi-35-gm/661514597053#bcrumbSearch:lipstick
Mars GCI Free Kajal With Lipstick Red 3.4 g,,,,,Rs. 585,Rs.  344,41% Off,3.1,(13),https://www.snapdeal.com/product/mars-gci-free-kajal-with/643341642028#bcrumbSearch:lipstick
Miss Rose Matt Lipstick | Shade No 34(Marjorie),,,13 orders in last 1 day,,Rs. 399,Rs.  184,54% Off,3.9000000000000004,(474),https://www.snapdeal.com/product/miss-rose-lipstick-marjori-3gm/629952893192#bcrumbSearch:lipstick
COLORS QUEEN 2 In 1 Matte Lip Gloss and Lipstick | Shade Bride Red ,,,,,Rs. 249,Rs.  249,,4.1,(218),https://www.snapdeal.com/product/colors-queen-indian-red-lipstick/631101919254#bcrumbSearch:lipstick
