name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Tulips 50 Round Facial Cotton Pads in a Ziplock Bag (Pack of 6) Makeup Remover Cotton Pads 228 g,,,,,Rs. 480,Rs.  399,17% Off,3.5,(10),https://www.snapdeal.com/product/tulips-50-round-facial-cotton/652752023838#bcrumbSearch:makeup%20removers
Ginni Makeup Remover Wipes 500 g,,,,,Rs. 225,Rs.  219,3% Off,4.4,(11),https://www.snapdeal.com/product/ginni-refreshing-facial-wipe-aloevera/674353535473#bcrumbSearch:makeup%20removers
Tulips 50 Round Facial Cotton Pads in a Ziplock Bag (Pack of 3); Made from 100% Pure Soft Cotton,,,,,Rs. 240,Rs.  229,5% Off,4.4,(154),https://www.snapdeal.com/product/tulips-makeup-remover-cotton-pads/620077655937#bcrumbSearch:makeup%20removers
Ginni Makeup Remover Wipes 635 g,,,,,Rs. 410,Rs.  349,15% Off,5.0,(1),https://www.snapdeal.com/product/ginni-wet-wipes-8-gm/683608005138
Ginni Makeup Remover Wipes 500 g,,,,,Rs. 210,Rs.  199,5% Off,3.0,(2),https://www.snapdeal.com/product/ginni-wet-wipes-7-gm/676927411391
Ginni Makeup Remover Wipes 400 g,,,,,Rs. 250,Rs.  219,12% Off,3.8,(4),https://www.snapdeal.com/product/ginni-wet-wipes-50-gm/652897674101
Ginni Makeup Remover Wipes 470 g,,,,,Rs. 350,Rs.  319,9% Off,3.5,(2),https://www.snapdeal.com/product/ginni-2-lemon-refreshing-facial/661202722048
Ginni CLEA Cleansing & Makeup Remover Wipes 500 g,,,,,Rs. 600,Rs.  439,27% Off,,,https://www.snapdeal.com/product/ginni-clea-cleansing-makeup-remover/621565350385
Ginni Makeup Remover Wipes 500 g,,,,,Rs. 410,Rs.  379,8% Off,3.0,(1),https://www.snapdeal.com/product/ginni-wet-wipes-8-gm/636544133371
Ginni CLEA Cleansing & Makeup Remover Wipes 500 g,,,,,Rs. 600,Rs.  439,27% Off,5.0,(1),https://www.snapdeal.com/product/ginni-clea-makeup-remover-wipes/677361186898
Ginni Makeup Remover Wipes 500 g,,,,,Rs. 210,Rs.  199,5% Off,4.699999999999999,(3),https://www.snapdeal.com/product/ginni-wet-wipes-7-gm/646730421280
Ginni BED BATH TOWELS Wet Wipes 2 no.s Pack of 10,,,,,Rs. 594,Rs.  189,68% Off,4.0,(5),https://www.snapdeal.com/product/ginni-bed-bath-towels-wet/633504863186
Colors Queen Makeup Remover Liquid 30,,,,,Rs. 249,Rs.  239,4% Off,,,https://www.snapdeal.com/product/colors-queen-makeup-remover-liquid/640363888132
Ginni Bed Bath Towels (Economy Pack) Wet Wipes ( 5 Pcs ) Pack of 10,,,,,Rs. 995,Rs.  299,70% Off,3.8,(13),https://www.snapdeal.com/product/ginni-wet-wipes-4-gm/641689732588
Ginni Makeup Remover Wipes 635 g,,,,,Rs. 410,Rs.  339,17% Off,2.5,(2),https://www.snapdeal.com/product/ginni-wet-wipes-8-gm/679919037782
