name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
ADS Mascara Liquid Eyeliner Black 3 mL,,,,,Rs. 499,Rs.  219,56% Off,2.6,(7),https://www.snapdeal.com/product/ads-mascara-liquid-eyeliner-black/631283137320#bcrumbSearch:mascara
Seven Seas 2 in 1 Mascara Liquid Eyeliner Black 100 g,,,,,Rs. 299,Rs.  249,17% Off,1.5,(2),https://www.snapdeal.com/product/seven-seas-2-in-1/651385088729#bcrumbSearch:mascara
Seven Seas Push Up Lashes Mascara Black,,,,,Rs. 185,Rs.  169,9% Off,5.0,(1),https://www.snapdeal.com/product/seven-seas-push-up-lashes/649472352882#bcrumbSearch:mascara
Bonjour Paris Mascara Black Pack of 2,,3 left!,,,Rs. 524,Rs.  269,49% Off,3.0,(4),https://www.snapdeal.com/product/bonjour-paris-mascara-black-pack/673985597102#bcrumbSearch:mascara
" Seven Seas Professional Makeup Combo kit (Kajal,Mascara,Eyeliner,Face Mask) | Pack of 4",,,,,Rs. 720,Rs.  469,35% Off,5.0,(1),https://www.snapdeal.com/product/seven-seas-professional-makeup-combo/669213266807#bcrumbSearch:mascara
Mn Extreme Curls Mascara And Eyeliner 2.5ml X 2,,,,,Rs. 999,Rs.  329,67% Off,4.200000000000001,(5),https://www.snapdeal.com/product/mn-extreme-curls-mascara-and/629952649#bcrumbSearch:mascara
"Swiss Beauty Boldeyes Super Lash Mascara (Black),Pack of 2, 7.5ml each",,,,,Rs. 398,Rs.  299,25% Off,3.8,(50),https://www.snapdeal.com/product/swiss-beauty-mascara-bold-eyes/654252939293#bcrumbSearch:mascara
Seven Seas Ultra Makeup 12 ml Mascara Black,,,,,Rs. 200,Rs.  179,11% Off,,,https://www.snapdeal.com/product/seven-seas-ultra-makeup-12/673867081130#bcrumbSearch:mascara
ADS Mascara,,,,,Rs. 385,Rs.  189,51% Off,3.4000000000000004,(586),https://www.snapdeal.com/product/ads-gci-mascara/649392175489#bcrumbSearch:mascara
Colors Queen Eyeliner & Mascara Black,,,,,Rs. 360,Rs.  309,14% Off,4.3,(3),https://www.snapdeal.com/product/colors-queen-eyeliner-mascara-black/660846275905#bcrumbSearch:mascara
ADS Eyeliner With Mascara Mascara Black with free Kajal .09 gm Pack of 2,,,,,Rs. 499,Rs.  269,46% Off,3.0,(8),https://www.snapdeal.com/product/ads-mascara-black-09-gm/684583685594#bcrumbSearch:mascara
"Swiss Beauty Lash Look Long Lasting Mascara Black, 6gm",,,,,Rs. 499,Rs.  369,26% Off,,,https://www.snapdeal.com/product/swiss-beauty-lash-look-long/628994311931#bcrumbSearch:mascara
Cameleon Mascara Transparent,,2 left!,,,Rs. 499,Rs.  259,48% Off,4.0,(2),https://www.snapdeal.com/product/cameleon-mascara-transparent/663177843581#bcrumbSearch:mascara
ADS 18 Color Eyeshadow Eyeliner Mascara Eyes Powder Colours 280 g Pack of 3,,,,,Rs. 499,Rs.  329,34% Off,3.0,(7),https://www.snapdeal.com/product/ads-18-color-eyeshadow-eyeliner/622315994272#bcrumbSearch:mascara
Swiss Beauty Precision Long Lasting Lash Mascara Black,,,,,Rs. 249,Rs.  239,4% Off,4.0,(11),https://www.snapdeal.com/product/swiss-beauty-precision-long-lasting/628125160943#bcrumbSearch:mascara
Meilin Mascara 0 9.8 gm,,,,,Rs. 499,Rs.  299,40% Off,3.5999999999999996,(5),https://www.snapdeal.com/product/meilin-mascara-0-98-gm/685171023322#bcrumbSearch:mascara
ADS 1608 Waterproof Eyeliner / Mascara / Scrub(50 gm) Makeup Kit gm,,,,,Rs. 449,Rs.  339,24% Off,4.200000000000001,(5),https://www.snapdeal.com/product/ads-1608-waterproof-eyeliner-mascara/625621853112#bcrumbSearch:mascara
Cameleon Mascara,,,,,Rs. 599,Rs.  379,37% Off,3.4000000000000004,(85),https://www.snapdeal.com/product/cameleon-buy-hivol-mascara-75ml/1660352738#bcrumbSearch:mascara
Faces Canada Mascara Black,,,,,Rs. 399,Rs.  399,,,,https://www.snapdeal.com/product/faces-canada-mascara-black/658012588135#bcrumbSearch:mascara
Colors Queen Mascara Black,,,,,Rs. 450,Rs.  379,16% Off,,,https://www.snapdeal.com/product/colors-queen-mascara-black/631152298626#bcrumbSearch:mascara
MILAP Mascara Black,,,,,Rs. 299,Rs.  159,47% Off,3.9000000000000004,(13),https://www.snapdeal.com/product/milap-mascara-black/670568769398
Mars 4 In 1 Fabulash Mascara (M01) Black,,,,,Rs. 300,Rs.  279,7% Off,4.3,(3),https://www.snapdeal.com/product/mars-4-in-1-fabulash/669368310094
APK Magical Long Lasting PK40 Mascara Black,,4 left!,,,Rs. 325,Rs.  249,23% Off,3.5,(2),https://www.snapdeal.com/product/apk-magical-long-lasting-pk40/630230847410
Mars Silk Lengthen Nourishing Mascara Black 18 gm,,,,,Rs. 287,Rs.  239,17% Off,5.0,(1),https://www.snapdeal.com/product/mars-silk-lengthen-nourishing-mascara/658927610647
"Colors Queen Eyeliner, Eye Master Mascara black Black",,,,,Rs. 329,Rs.  299,9% Off,,,https://www.snapdeal.com/product/colors-queen-eyeliner-eye-master/669244508475
GlamGals HOLLYWOOD-U.S.A Volume and Length Mascara Black,,3 left!,,,Rs. 510,Rs.  379,26% Off,4.0,(2),https://www.snapdeal.com/product/glamgals-volume-and-length-mascara/663347710989
Kiss Beauty Eyelashes Transparent Mascara with Lilium Aloevera Cream Mascara Natural Transparent,,,,,Rs. 300,Rs.  249,17% Off,3.0,(6),https://www.snapdeal.com/product/kiss-beauty-eyelashes-transparent-mascara/647936439758
GlamGals HOLLYWOOD-U.S.A Eyebrow Mascara Black,,,,,Rs. 525,Rs.  369,30% Off,4.5,(2),https://www.snapdeal.com/product/glamgals-eyebrow-mascara-black-12/668036922876
Me-On Mascara New Eye Waterproof 7.5 gm,,3 left!,,,Rs. 800,Rs.  350,56% Off,3.8,(5),https://www.snapdeal.com/product/meon-mascara-new-eye-waterproof/631446814584
Arezia Mascara Black 5 gm,,2 left!,,,Rs. 499,Rs.  325,35% Off,,,https://www.snapdeal.com/product/arezia-mascara-black-5-gm/676505869567
ADS Good Choice free Kajal with  Mascara Black 9 gm,,,,,Rs. 263,Rs.  189,28% Off,2.4,(5),https://www.snapdeal.com/product/ads-good-choice-free-kajal/659697644761
ADS Good Choice Free Kajal With Mascara Black  10 gm,,,,,Rs. 230,Rs.  189,18% Off,2.0,(2),https://www.snapdeal.com/product/ads-good-choice-free-kajal/672454020631
ADS Good Choice india Free Kajal with Mascara Black 10 gm,,,,,Rs. 321,Rs.  249,22% Off,2.2,(6),https://www.snapdeal.com/product/ads-good-choice-india-free/685232741725
