name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Grabify Cotton Blend Multi Shirt,,,,,"Rs. 1,749",Rs.  575,67% Off,5.0,(1),https://www.snapdeal.com/product/grabify-cotton-blend-multi-shirt/660723276555#bcrumbSearch:men%20casual%20shirt
Gritstones 100 Percent Cotton Grey Shirt,,,11 orders in last 1 day,,"Rs. 1,299",Rs.  419,68% Off,3.7,(95),https://www.snapdeal.com/product/gritstones-100-percent-cotton-grey/622458770565#bcrumbSearch:men%20casual%20shirt
Edinwolf Cotton Blend Black Shirt,,,26 orders in last 1 day,,"Rs. 2,499",Rs.  575,77% Off,4.3,(62),https://www.snapdeal.com/product/edinwolf-cotton-blend-maroon-shirt/5188147457599143049#bcrumbSearch:men%20casual%20shirt
P&V Cotton Blend Navy Shirt,,,12 orders in last 1 day,,"Rs. 1,299",Rs.  649,50% Off,3.8,(79),https://www.snapdeal.com/product/pv-100-percent-cotton-navy/656376570091#bcrumbSearch:men%20casual%20shirt
Gritstones 100 Percent Cotton Grey Shirt,,,,,"Rs. 1,199",Rs.  419,65% Off,5.0,(3),https://www.snapdeal.com/product/gritstones-100-percent-cotton-grey/648854255429#bcrumbSearch:men%20casual%20shirt
try buy Satin Maroon Shirt,,,11 orders in last 1 day,,"Rs. 1,999",Rs.  875,56% Off,3.9000000000000004,(67),https://www.snapdeal.com/product/try-buy-satin-maroon-solids/652957845817#bcrumbSearch:men%20casual%20shirt
Vida Loca Linen Sky Blue Shirt Single,,6 left!,11 orders in last 1 day,,"Rs. 2,499",Rs.  649,74% Off,4.699999999999999,(6),https://www.snapdeal.com/product/vida-loca-linen-maroon-shirt/8070451208583077491#bcrumbSearch:men%20casual%20shirt
Gritstones 100 Percent Cotton Multi Shirt,,,13 orders in last 1 day,,"Rs. 1,499",Rs.  419,72% Off,3.9000000000000004,(25),https://www.snapdeal.com/product/gritstones-100-percent-cotton-multi/675038417997#bcrumbSearch:men%20casual%20shirt
P&V Cotton Blend Blue Solids Slim Fit Shirt,,,63 orders in last 7 days,,"Rs. 1,299",Rs.  599,54% Off,3.7,(149),https://www.snapdeal.com/product/pv-100-percent-cotton-blue/661694676891#bcrumbSearch:men%20casual%20shirt
Gritstones 100 Percent Cotton Pink Shirt,,,78 orders in last 7 days,,"Rs. 1,499",Rs.  419,72% Off,4.200000000000001,(17),https://www.snapdeal.com/product/gritstones-100-percent-cotton-pink/623445782760#bcrumbSearch:men%20casual%20shirt
