name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
David Crew Cotton Blend Multi Plain Polo T Shirt,,,,,"Rs. 1,899",Rs.  700,63% Off,4.0,(5),https://www.snapdeal.com/product/david-crew-cotton-blend-multi/672959822200#bcrumbSearch:men%20polo%20t-shirt
AUSTIN WOOD Navy Stripers Polo T Shirt,,,30 orders in last 1 day,,"Rs. 1,499",Rs.  427,72% Off,4.1,(50),https://www.snapdeal.com/product/austin-wood-navy-stripers-polo/686528704349#bcrumbSearch:men%20polo%20t-shirt
Wexford 100 Percent Cotton White Stripers Polo T Shirt,,,16 orders in last 1 day,,Rs. 999,Rs.  499,50% Off,4.1,(28),https://www.snapdeal.com/product/wexford-100-percent-cotton-white/670375646269#bcrumbSearch:men%20polo%20t-shirt
AUSTIN WOOD Cotton Blend Grey Stripers Polo T Shirt,,,28 orders in last 1 day,,"Rs. 1,499",Rs.  427,72% Off,3.9000000000000004,(253),https://www.snapdeal.com/product/austin-wood-cotton-blend-grey/637636247569#bcrumbSearch:men%20polo%20t-shirt
Polo 100 Percent Cotton Wine Solids T-Shirt,,,,,"Rs. 1,799","Rs.  1,298",28% Off,,,https://www.snapdeal.com/product/polo-100-percent-cotton-wine/638413276429#bcrumbSearch:men%20polo%20t-shirt
The Million Club Polyester Navy Plain Polo T Shirt,,,15 orders in last 1 day,,"Rs. 1,499",Rs.  379,75% Off,3.5,(31),https://www.snapdeal.com/product/the-million-club-cotton-blend/643486897499#bcrumbSearch:men%20polo%20t-shirt
AUSTIN WOOD Cotton Blend Multi Stripers Polo T Shirt,,,15 orders in last 1 day,,"Rs. 1,499",Rs.  427,72% Off,4.3,(8),https://www.snapdeal.com/product/austin-wood-cotton-blend-multi/621163467797#bcrumbSearch:men%20polo%20t-shirt
Galatea Multi Slim Fit Polo T Shirt Pack of 4,,,35 orders in last 1 day,,"Rs. 2,499","Rs.  1,004",60% Off,4.1,(23),https://www.snapdeal.com/product/galatea-multi-slim-fit-polo/685439360089#bcrumbSearch:men%20polo%20t-shirt
Gritstones Black Sleeveless Sleeves Basic Polo T Shirt,,,,,Rs. 399,Rs.  317,21% Off,3.9000000000000004,(72),https://www.snapdeal.com/product/gritstones-black-sleeveless-sleeves-basic/622695254147#bcrumbSearch:men%20polo%20t-shirt
David Crew Cotton Blend Turquoise Plain Polo T Shirt,,,,,"Rs. 1,099",Rs.  399,64% Off,4.699999999999999,(10),https://www.snapdeal.com/product/david-crew-cotton-blend-turquoise/645998075469#bcrumbSearch:men%20polo%20t-shirt
AUSTIN WOOD Cotton Blend Grey Stripers Polo T Shirt,,,100 orders in last 1 day,,"Rs. 1,499",Rs.  427,72% Off,3.9000000000000004,(276),https://www.snapdeal.com/product/austin-wood-cotton-blend-grey/629901901711#bcrumbSearch:men%20polo%20t-shirt
