name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
AUSTIN WOOD Cotton Blend Navy Stripers Polo T Shirt,,,39 orders in last 1 day,,"Rs. 1,499",Rs.  359,76% Off,4.1,(125),https://www.snapdeal.com/product/austin-wood-cotton-blend-navy/653184186142#bcrumbSearch:men%20polo%20t-shirt
Gritstones Black Sleeveless Sleeves Basic Polo T Shirt,,,,,Rs. 399,Rs.  269,33% Off,3.9000000000000004,(87),https://www.snapdeal.com/product/gritstones-black-sleeveless-sleeves-basic/622695254147#bcrumbSearch:men%20polo%20t-shirt
AUSTIN WOOD Cotton Blend White Stripers Polo T Shirt,,,17 orders in last 1 day,,"Rs. 1,499",Rs.  419,72% Off,4.0,(4),https://www.snapdeal.com/product/austin-wood-cotton-blend-white/631753725087#bcrumbSearch:men%20polo%20t-shirt
Halton Hills Polyester Turquoise Stripers Polo T Shirt,,,13 orders in last 1 day,,Rs. 699,Rs.  239,66% Off,3.5999999999999996,(13),https://www.snapdeal.com/product/halton-hills-polyester-turquoise-stripers/647925789902#bcrumbSearch:men%20polo%20t-shirt
AKSHH Polyester Cotton Multi Plain Polo T Shirt,,,,,Rs. 999,Rs.  329,67% Off,,,https://www.snapdeal.com/product/akshh-polyester-cotton-multi-plain/621644958702#bcrumbSearch:men%20polo%20t-shirt
98 Degree North Cotton Blend White Stripers Polo T Shirt,,3 left!,,,"Rs. 1,899",Rs.  625,67% Off,5.0,(1),https://www.snapdeal.com/product/98-degree-north-cotton-blend/671402138107#bcrumbSearch:men%20polo%20t-shirt
BULLMER Cotton Blend Multi Color Block Polo T Shirt,,,,,Rs. 999,Rs.  469,53% Off,5.0,(1),https://www.snapdeal.com/product/bullmer-cotton-blend-multi-color/620690611236#bcrumbSearch:men%20polo%20t-shirt
Wexford 100 Percent Cotton Multi Stripers Polo T Shirt,,,,,Rs. 899,Rs.  469,48% Off,3.4000000000000004,(29),https://www.snapdeal.com/product/wexford-multi-regular-fit-polo/672933041407#bcrumbSearch:men%20polo%20t-shirt
David Crew Cotton Blend Orange Plain Polo T Shirt,,,,,"Rs. 1,099",Rs.  349,68% Off,4.0,(10),https://www.snapdeal.com/product/david-crew-cotton-blend-orange/678255519496#bcrumbSearch:men%20polo%20t-shirt
Aspire Cotton Blend NAVY Plain Polo T Shirt,,,,,Rs. 899,Rs.  419,53% Off,,,https://www.snapdeal.com/product/aspire-cotton-blend-navy-plain/674746571865#bcrumbSearch:men%20polo%20t-shirt
Galatea Multi Slim Fit Polo T Shirt,,,,,"Rs. 1,999",Rs.  749,63% Off,3.9000000000000004,(8),https://www.snapdeal.com/product/galatea-multi-slim-fit-polo/619052332818#bcrumbSearch:men%20polo%20t-shirt
BISHOPCOTTON Cotton Lycra Black Plain Polo T Shirt,,,,,"Rs. 1,799",Rs.  419,77% Off,4.0,(1),https://www.snapdeal.com/product/bishopcotton-cotton-lycra-black-plain/655012402969#bcrumbSearch:men%20polo%20t-shirt
