name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
hicode Multi Ankle Length Socks Pack of 6,,,29 orders in last 1 day,,Rs. 499,Rs.  199,60% Off,3.5,(60),https://www.snapdeal.com/product/hicode-multi-ankle-length-socks/642404717790#bcrumbSearch:men%20socks
Nature Line Multi Casual Full Length Socks Pack of 3,,7 left!,,,Rs. 449,Rs.  239,47% Off,4.5,(6),https://www.snapdeal.com/product/nature-line-multi-casual-full/642489670325#bcrumbSearch:men%20socks
youshee Multi Casual Ankle Length Socks Pack of 3,,,21 orders in last 1 day,,Rs. 799,Rs.  140,82% Off,4.200000000000001,(21),https://www.snapdeal.com/product/youshee-multi-casual-ankle-length/638183485096#bcrumbSearch:men%20socks
SS Multi Ankle Length Socks Pack of 6,,,29 orders in last 1 day,,"Rs. 1,399",Rs.  179,87% Off,3.5,(114),https://www.snapdeal.com/product/ss-multi-ankle-length-socks/668768719582#bcrumbSearch:men%20socks
Fuku Multi Ankle Length Socks Pack of 3,,,,,Rs. 799,Rs.  140,82% Off,,,https://www.snapdeal.com/product/fuku-multi-ankle-length-socks/641485459297#bcrumbSearch:men%20socks
hicode Multi Casual Ankle Length Socks Pack of 10,,,,,Rs. 998,Rs.  289,71% Off,3.4000000000000004,(7),https://www.snapdeal.com/product/hicode-multi-casual-ankle-length/667833511790#bcrumbSearch:men%20socks
Socks Multi Formal Ankle Length Socks,,,,,"Rs. 1,499",Rs.  189,87% Off,5.0,(1),https://www.snapdeal.com/product/socks-multi-formal-ankle-length/644448157827#bcrumbSearch:men%20socks
BB KAY Multi Low Cut Socks Pack of 5,,,,,Rs. 599,Rs.  209,65% Off,3.8,(54),https://www.snapdeal.com/product/bb-kay-multi-low-cut/650756373395#bcrumbSearch:men%20socks
Rajavi Multi Ankle Length Socks Pack of 12,,,,,Rs. 499,Rs.  329,34% Off,4.6000000000000005,(11),https://www.snapdeal.com/product/rajavi-multi-ankle-length-socks/627256605170#bcrumbSearch:men%20socks
Govind Multi Footies Pack of 4,,,,,Rs. 599,Rs.  149,75% Off,,,https://www.snapdeal.com/product/govind-multi-footies-pack-of/672949244810#bcrumbSearch:men%20socks
Balenzia Multi Casual Ankle Length Socks Pack of 3,,,120 orders in last 7 days,,Rs. 315,Rs.  189,40% Off,4.4,(251),https://www.snapdeal.com/product/balenzia-multi-casual-ankle-length/635399346029#bcrumbSearch:men%20socks
Rajavi Multi Ankle Length Socks Pack of 12,,,,,Rs. 549,Rs.  339,38% Off,3.9000000000000004,(9),https://www.snapdeal.com/product/rajavi-multi-ankle-length-socks/671547793854#bcrumbSearch:men%20socks
