name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
K.S.BRAND Cream Regular -Fit Pleated Trousers,,,,,"Rs. 1,799",Rs.  599,67% Off,3.7,(10),https://www.snapdeal.com/product/ksbrand-cream-regular-fit-pleated/628432790975#bcrumbSearch:men%20trousers
AD & AV Black Regular -Fit Flat Trousers,,,12 orders in last 1 day,,"Rs. 1,699",Rs.  749,56% Off,3.299999999999999,(15),https://www.snapdeal.com/product/ad-av-gold-regular-fit/8070451169547788465#bcrumbSearch:men%20trousers
Urban Legends Green Regular -Fit Flat Cargos,,,28 orders in last 1 day,,"Rs. 3,999",Rs.  899,78% Off,4.0,(112),https://www.snapdeal.com/product/urban-legends-black-regular-fit/6917529649765722920#bcrumbSearch:men%20trousers
AD & AV Blue Regular -Fit Flat Trousers,,,12 orders in last 1 day,,"Rs. 1,699",Rs.  749,56% Off,3.299999999999999,(15),https://www.snapdeal.com/product/ad-av-gold-regular-fit/6341068912637518001#bcrumbSearch:men%20trousers
Inspire Clothing Inspiration Black Slim -Fit Flat Trousers,,,12 orders in last 1 day,,"Rs. 1,499",Rs.  599,60% Off,4.0,(171),https://www.snapdeal.com/product/inspire-clothing-inspiration-black-slim/671540270302#bcrumbSearch:men%20trousers
SAM & JACK Grey Regular -Fit Flat Trousers,,6 left!,,,"Rs. 1,999",Rs.  999,50% Off,4.1,(11),https://www.snapdeal.com/product/sam-jack-grey-regular-fit/635081896582#bcrumbSearch:men%20trousers
DREAM VISION Green Regular -Fit Flat Cargos,,,,,"Rs. 3,999",Rs.  899,78% Off,3.9000000000000004,(130),https://www.snapdeal.com/product/dream-vision-beige-tapered-fit/5476377789560078785#bcrumbSearch:men%20trousers
AD & AV Dark Blue Regular -Fit Flat Trousers,,,12 orders in last 1 day,,"Rs. 1,699",Rs.  749,56% Off,3.299999999999999,(15),https://www.snapdeal.com/product/ad-av-gold-regular-fit/5188147408030671025#bcrumbSearch:men%20trousers
Just Trousers Blue Regular -Fit Flat Trousers,,4 left!,,,"Rs. 1,499",Rs.  634,58% Off,3.9000000000000004,(182),https://www.snapdeal.com/product/just-trousers-black-regular-fit/5188147418915629450#bcrumbSearch:men%20trousers
Urban Legends Cream Regular -Fit Flat Cargos,,,,,"Rs. 3,999","Rs.  1,199",70% Off,4.5,(39),https://www.snapdeal.com/product/urban-legends-cream-regular-fit/6917529676549711248#bcrumbSearch:men%20trousers
