name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Hopscotch Girls Cotton Polyster Text Print Onesies and Bloomerwith Headband Set in White color for Ages 3-6 Months (LAA-1867612),,,,,Rs. 939,Rs.  575,39% Off,5.0,(2),https://www.snapdeal.com/product/hopscotch-girls-cotton-polyster-text/663941047311#bcrumbSearch:onesies
"Hopscotch Baby Girls Cotton And Spandex Half Sleeves Applique Animal Printed Onesies, Pants And Headband in Black Color For Ages 6-9 Months (BYN-3126745)",,,,,Rs. 999,Rs.  899,10% Off,4.0,(5),https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-and/676197885355#bcrumbSearch:onesies
Hopscotch Girls Cotton Spandex Text Print Onesies and Bloomer Set with Headband in Pink color for Ages 9-12 Months (AJ-2386350),,,,,"Rs. 1,058",Rs.  849,20% Off,4.699999999999999,(12),https://www.snapdeal.com/product/hopscotch-girls-cotton-spandex-text/667293881742#bcrumbSearch:onesies
Hopscotch Baby Boys Cotton and Polyester Solid Classic Half Sleeves Onesies And Short Set in Green Color For Ages 6-9 Months (BD8-2591604),,,,,"Rs. 1,329",Rs.  849,36% Off,1.0,(1),https://www.snapdeal.com/product/hopscotch-baby-boys-cotton-and/680517418853#bcrumbSearch:onesies
"Hopscotch Baby Girls Cotton, Polyester Half Sleeves Text Art Printed Onesies And Skirt Set With Headband in Fuchsia Color For Ages 0-3 Months (BYN-2903586)",,,,,Rs. 999,Rs.  899,10% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-polyester/660263199764#bcrumbSearch:onesies
"Hopscotch Baby Girls Cotton, Polyester Text Printed Onesies With Bow Applique Skirt Set in Multi Color For Ages 0-3 Months (BYN-2634103)",,2 left!,,,"Rs. 1,049",Rs.  749,29% Off,1.0,(1),https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-polyester/661581128064#bcrumbSearch:onesies
Craftlinen™ 100% Cotton Baby Boys and Baby Girls Rompers/Onesies/Bodysuit Combo Pack of 2 ( Vibrant Creature Print and Polka Dots),,,,,Rs. 799,Rs.  419,48% Off,,,https://www.snapdeal.com/product/craftlinen-100-cotton-baby-boys/6917529692041324203#bcrumbSearch:onesies
Hopscotch Baby Girls Cotton Embroidery Sleeveless Onesies in Beige Color For Ages 3-6 Months (JIG-3057745),,,,,Rs. 929,Rs.  765,18% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-embroidery/682245740814#bcrumbSearch:onesies
Hopscotch Baby Boys Cotton Half Sleeves Onesies Pack Of 3 in Aqua Color For Ages 9-12 Months (BUV-3433831),,,,,Rs. 799,Rs.  598,25% Off,,,https://www.snapdeal.com/product/hopscotch-baby-boys-cotton-half/631358136724#bcrumbSearch:onesies
Hopscotch Baby Boys Cotton And Spandex Long Sleeves Printed Onesies in Red Color For Ages 18-24 Months (MTQ-3421107),,,,,Rs. 999,Rs.  880,12% Off,,,https://www.snapdeal.com/product/hopscotch-baby-boys-cotton-and/622311706824#bcrumbSearch:onesies
"Hopscotch Baby Girls Cotton, Spandex Flower Print Halter Neck Onesies With Headband in Pink Color For Ages 3-6 Months (BYN-1891815)",,,,,Rs. 999,Rs.  648,35% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-spandex/651564414507#bcrumbSearch:onesies
Hopscotch Girls Cotton Half Sleeves Onesies With Shorts Set in White Color For Ages 6-12 Months (CDY-1434969),,,,,Rs. 703,Rs.  575,18% Off,,,https://www.snapdeal.com/product/hopscotch-girls-cotton-half-sleeves/672248754235#bcrumbSearch:onesies
Hopscotch Baby Girls Cotton Bodysuits/ Onesies in Beige Color For Ages 12-18 Months (JIG-3082366),,,,,Rs. 999,Rs.  749,25% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-bodysuits/685348654213#bcrumbSearch:onesies
Hopscotch Baby Girls Polyester Full Sleeves Solid Onesies in Red Color For Ages 12-18 Months (MFN-3156306),,,,,Rs. 929,Rs.  871,6% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-polyester-full/633452634118#bcrumbSearch:onesies
Hopscotch Baby Girls Cotton And Polyester Wing Sleeves Onesies in Red Color For Ages 0-6 Months (FLM-3126850),,,,,Rs. 969,Rs.  819,15% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-and/678447862579#bcrumbSearch:onesies
Hopscotch Girls Cotton Spandex Half Sleeves Applique Text Printed Onesies And Short Set in Green Color For Ages 6-9 Months (GOE-3527037),,,,,Rs. 899,Rs.  744,17% Off,,,https://www.snapdeal.com/product/hopscotch-girls-cotton-spandex-half/677767371778#bcrumbSearch:onesies
Hopscotch Baby Girls Cotton Half Sleeves Onesies Pack Of 3 in Fuchsia Color For Ages 6-9 Months (BUV-3433815),,,,,Rs. 799,Rs.  652,18% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-half/664102599400#bcrumbSearch:onesies
Tiny Souls 100% Hosiery Cotton Unisex Long Sleeve Rompers/Onesies/Sleepsuit/Full Body-Suit for Baby Boy and Girl/Infants Combo Pack of 3,,,,,"Rs. 1,399",Rs.  599,57% Off,,,https://www.snapdeal.com/product/tiny-souls-100-hosiery-cotton/5764608173309929729#bcrumbSearch:onesies
Tiny Souls 100% Hosiery Cotton Unisex Long Sleeve Rompers/Onesies/Sleepsuit/Full Body-Suit for Baby Boy and Girl/Infants Combo Pack of 3,,,,,"Rs. 1,399",Rs.  599,57% Off,,,https://www.snapdeal.com/product/tiny-souls-100-hosiery-cotton/5188147421006506241#bcrumbSearch:onesies
Tiny Souls 100% Hosiery Cotton Unisex Long Sleeve Rompers/Onesies/Sleepsuit/Full Body-Suit for Baby Boy and Girl/Infants Combo Pack of 3,,,,,"Rs. 1,399",Rs.  599,57% Off,,,https://www.snapdeal.com/product/tiny-souls-100-hosiery-cotton/7493990430220200193#bcrumbSearch:onesies
Tiny Souls 100% Hosiery Cotton Unisex Long Sleeve Rompers/Onesies/Sleepsuit/Full Body-Suit for Baby Boy and Girl/Infants Combo Pack of 3,,,,,"Rs. 1,399",Rs.  599,57% Off,,,https://www.snapdeal.com/product/tiny-souls-100-hosiery-cotton/6917529677916776705#bcrumbSearch:onesies
Hopscotch Baby Girls Cotton Text Print Onesies With Bloomer And Headband Set in Black Color For Ages 6-9 Months (GOE-1975643),,,,,Rs. 879,Rs.  629,28% Off,,,https://www.snapdeal.com/product/hopscotch-baby-girls-cotton-text/678933958366#bcrumbSearch:onesies
