name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
vivek homesaaz 5 Seater Cotton Set of 10 Sofa Cover Set,,,51 orders in last 7 days,,"Rs. 1,099",Rs.  679,38% Off,4.3,(39),https://www.snapdeal.com/product/vivek-homesaaz-5-seater-cotton/654151958996#bcrumbSearch:sofa%20set
Vaibhav industries 3 Seater Cotton Set of 2 Sofa Cover Set,,,,,Rs. 699,Rs.  329,53% Off,4.1,(34),https://www.snapdeal.com/product/vaibhav-industries-3-seater-cotton/629004610532#bcrumbSearch:sofa%20set
Griiham 5 Seater Cotton Set of 6 Sofa Cover Set,,,11 orders in last 1 day,,"Rs. 1,299",Rs.  679,48% Off,3.7,(41),https://www.snapdeal.com/product/griiham-5-seater-cotton-set/656159438238#bcrumbSearch:sofa%20set
Ex-Cell 5 Seater Poly Cotton Set of 10 Sofa Cover Set,,,,,"Rs. 1,599",Rs.  679,58% Off,3.4000000000000004,(19),https://www.snapdeal.com/product/excell-98-5-seater-poly/644669605009#bcrumbSearch:sofa%20set
Vivek Homesaaz 5 Seater Poly Cotton Set of 6 Sofa Cover Set,,,61 orders in last 7 days,,"Rs. 1,299",Rs.  679,48% Off,4.200000000000001,(15),https://www.snapdeal.com/product/vivek-homesaaz-5-seater-poly/660446824603#bcrumbSearch:sofa%20set
Lotus Creation 5 Seater Poly Cotton Single Sofa Cover Set,,,18 orders in last 1 day,,"Rs. 1,299",Rs.  499,62% Off,4.200000000000001,(35),https://www.snapdeal.com/product/lotus-creation-5-seater-poly/623711461779#bcrumbSearch:sofa%20set
vivek homesaaz 5 Seater Polyester Set of 16 Sofa Cover Set,,,,,"Rs. 2,099",Rs.  729,65% Off,4.1,(17),https://www.snapdeal.com/product/vivek-homesaaz-5-seater-polyester/627101744311#bcrumbSearch:sofa%20set
Dakshya Industries 5 Seater Cotton Set of 12 Sofa Cover Set,,,,,"Rs. 1,599",Rs.  739,54% Off,4.1,(10),https://www.snapdeal.com/product/dakshya-industries-5-seater-cotton/625008381029#bcrumbSearch:sofa%20set
Vaibhav industries 5 Seater Polyester Set of 12 Sofa Cover Set,,,,,"Rs. 2,099",Rs.  799,62% Off,4.200000000000001,(14),https://www.snapdeal.com/product/vaibhav-industries-5-seater-polyester/623074719523#bcrumbSearch:sofa%20set
Decorista 5 Seater Jacquard Set of 10 Sofa Cover Set,,,,,"Rs. 1,599",Rs.  679,58% Off,3.7,(116),https://www.snapdeal.com/product/decorista-5-seater-cotton-set/6917529711590905409#bcrumbSearch:sofa%20set
