name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
"5 in 1 Adjustable Inflatable Air Bed Cum Sofa/Sofa Set/Sofa Cum Bed/Sofa Sets,Sofa/Sofas With free electric Air Pump",,1 left!,,,"Rs. 12,999","Rs.  5,409",58% Off,3.8,(133),https://www.snapdeal.com/product/5-in-1-adjustable-inflatable/668983676235#bcrumbSearch:sofa%20set|bcrumbLabelId:580
Shenzen 5 Seater Sofa Set (3+1+1),,,,,"Rs. 52,000","Rs.  33,000",37% Off,2.2,(5),https://www.snapdeal.com/product/shenzen-5-seater-sofa-set/675552303542#bcrumbSearch:sofa%20set|bcrumbLabelId:580
Kayoto 5 Seater Sofa Set (3+1+1),,,,,"Rs. 58,870","Rs.  35,071",40% Off,2.6,(5),https://www.snapdeal.com/product/kayoto-5-seater-sofa-set/660343590113#bcrumbSearch:sofa%20set|bcrumbLabelId:580
Eco Sofa Set 3+1+1 in Brown PVC,,,,,"Rs. 49,000","Rs.  32,000",35% Off,,,https://www.snapdeal.com/product/eco-sofa-set-311-in/654436252897#bcrumbSearch:sofa%20set|bcrumbLabelId:580
SOFA SET,,1 left!,,,"Rs. 40,000","Rs.  22,000",45% Off,,,https://www.snapdeal.com/product/sofa-set/680412657439#bcrumbSearch:sofa%20set|bcrumbLabelId:580
Ronak Sofaset 3+3+3 Seater sofa set,,5 left!,,,"Rs. 65,000","Rs.  54,000",17% Off,,,https://www.snapdeal.com/product/ronak-sofaset-333-seater-sofa/675091152849#bcrumbSearch:sofa%20set|bcrumbLabelId:580
MARCOS,,2 left!,,,"Rs. 68,000","Rs.  61,200",10% Off,,,https://www.snapdeal.com/product/marcos/678150224776#bcrumbSearch:sofa%20set|bcrumbLabelId:580
SHOPEE BAZAAR PREMIUME White & Brown Sofa Set for Home/Office Decor,,5 left!,,,"Rs. 50,000","Rs.  33,000",34% Off,,,https://www.snapdeal.com/product/shopee-bazaar-premiume-white-brown/677537273758#bcrumbSearch:sofa%20set|bcrumbLabelId:580
SOFA SET,,1 left!,,,"Rs. 50,000","Rs.  35,999",28% Off,,,https://www.snapdeal.com/product/sofa-set/642077141373#bcrumbSearch:sofa%20set|bcrumbLabelId:580
senorita,,3 left!,,,"Rs. 2,87,000","Rs.  1,45,000",49% Off,,,https://www.snapdeal.com/product/senorita/665045628660#bcrumbSearch:sofa%20set|bcrumbLabelId:580
