name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Mee Mee Advanced Baby Pram with Shock Absorber Wheels (Light Blue),,1 left!,,,"Rs. 7,499","Rs.  5,811",23% Off,5.0,(1),https://www.snapdeal.com/product/mee-mee-advanced-baby-pram/676474636475#bcrumbSearch:stroller
Pindia Fancy Red Kangaroo Style Baby Carrier,,,,,Rs. 957,Rs.  419,56% Off,3.8,(29),https://www.snapdeal.com/product/pindia-fancy-red-kangaroo-style/677525449801#bcrumbSearch:stroller
Little kids® Presents Stroller Rotating Wheels and Adjustable Seat(Blue),,,,,"Rs. 6,999","Rs.  2,566",63% Off,5.0,(1),https://www.snapdeal.com/product/little-kids-presents-stroller-rotating/675355613125#bcrumbSearch:stroller
Mee Mee Stroller Navy Blue Strollers,,1 left!,,,"Rs. 5,499","Rs.  4,182",24% Off,5.0,(1),https://www.snapdeal.com/product/mee-mee-stroller-navy-blue/2012130723#bcrumbSearch:stroller
Mee Mee Compact Folding Baby Pram with Multiple Seating Position (Red),,1 left!,,,"Rs. 5,499","Rs.  4,161",24% Off,,,https://www.snapdeal.com/product/mee-mee-compact-folding-baby/679270964329#bcrumbSearch:stroller
Mee Mee Advanced Baby Pram with Shock Absorber Wheels (Red),,1 left!,,,"Rs. 7,499","Rs.  5,811",23% Off,3.8,(4),https://www.snapdeal.com/product/mee-mee-advanced-baby-pram/664898351089#bcrumbSearch:stroller
Mee Mee Pram Cum Stroller With Rocking Function (Red),,7 left!,,,"Rs. 9,999","Rs.  7,617",24% Off,5.0,(1),https://www.snapdeal.com/product/mee-mee-pram-with-rocker/681463535904#bcrumbSearch:stroller
Pindia Body Strap Blue New born Baby Carrier,,,,,Rs. 493,Rs.  449,9% Off,3.299999999999999,(26),https://www.snapdeal.com/product/pindia-body-strap-blue-baby/685684677374#bcrumbSearch:stroller
Mee Mee Easy to Push Baby Pram with Quick One-Hand Folding (Navy Blue),,5 left!,,,"Rs. 6,499","Rs.  4,902",25% Off,5.0,(1),https://www.snapdeal.com/product/mee-mee-easy-to-push/652302522977#bcrumbSearch:stroller
Tiffy & Toffee Maxtrem Buggy Stroller - Blue,,,,,"Rs. 2,799","Rs.  2,499",11% Off,,,https://www.snapdeal.com/product/tiffy-toffee-maxtrem-buggy-stroller/660879081536#bcrumbSearch:stroller
Mee Mee Stroller MM-8369 Green,,1 left!,,,"Rs. 5,499","Rs.  4,204",24% Off,4.5,(2),https://www.snapdeal.com/product/mee-mee-green-stroller/664004059336#bcrumbSearch:stroller
Chocolate Ride - The Designer Pram - Stroller from R for Rabbit,,,,,"Rs. 8,991","Rs.  5,968",34% Off,4.0,(45),https://www.snapdeal.com/product/r-for-rabbit-multicolour-steel/664450937332#bcrumbSearch:stroller
ABDC Kids Pink Baby Stroller,,3 left!,,,"Rs. 7,199","Rs.  4,000",44% Off,4.0,(4),https://www.snapdeal.com/product/abdc-kids-pink-baby-stroller/629650606510#bcrumbSearch:stroller
Little kids® Dreams New Born Baby Stroller Rocker with Umberlla Net- Canopy and Wheels for New Born Infants(Pink),,,,,"Rs. 6,999","Rs.  2,333",67% Off,,,https://www.snapdeal.com/product/little-kids-dreams-new-born/655396110752#bcrumbSearch:stroller
Little Pumpkin Kiddie Kingdom Red for New Born Baby,,,,,"Rs. 4,500","Rs.  2,968",34% Off,4.3,(24),https://www.snapdeal.com/product/little-pumpkin-kiddie-kingdom-red/658039961577#bcrumbSearch:stroller
R for Rabbit Chcocolate Ride Travel System  Blue Black,,,,,"Rs. 12,987","Rs.  9,262",29% Off,4.5,(2),https://www.snapdeal.com/product/r-for-rabbit-chcocolate-ride/621595756524#bcrumbSearch:stroller
ABDC Kids Multicolour Baby Stroller,,2 left!,,,"Rs. 7,199","Rs.  4,000",44% Off,5.0,(1),https://www.snapdeal.com/product/abdc-kids-multicolour-baby-stroller/676358912205#bcrumbSearch:stroller
ABDC Kids Red Baby Stroller,,,,,"Rs. 5,999","Rs.  2,696",55% Off,4.6000000000000005,(5),https://www.snapdeal.com/product/abdc-kids-red-baby-stroller/678650201710#bcrumbSearch:stroller
Baby Pram & Stroller Jet Wave With Reversible Handlebar,,3 left!,,,"Rs. 7,799","Rs.  3,494",55% Off,,,https://www.snapdeal.com/product/baby-pram-stroller-jet-wave/668181240315#bcrumbSearch:stroller
ABDC Kids Green Stroller,,,,,"Rs. 6,599","Rs.  3,298",50% Off,4.699999999999999,(3),https://www.snapdeal.com/product/abdc-kids-green-stroller/651612887790#bcrumbSearch:stroller
Mee Mee Comfortable Twin Baby Pram with 3 seating position (Blue),,1 left!,,,"Rs. 10,999","Rs.  8,297",25% Off,5.0,(1),https://www.snapdeal.com/product/mee-mee-comfortable-twin-baby/659934120350
R for Rabbit Chocolate Ride Travel System,,,,,"Rs. 13,995","Rs.  10,560",25% Off,5.0,(3),https://www.snapdeal.com/product/r-for-rabbit-gray-stroller/660274570450
Mee Mee Comfortable Twin Baby Pram with 3 seating position (Orange),,1 left!,,,"Rs. 10,999","Rs.  8,396",24% Off,1.0,(1),https://www.snapdeal.com/product/mee-mee-comfortable-twin-baby/641951367713
ABDC Kids Pink Stroller,,,,,"Rs. 6,599","Rs.  3,298",50% Off,2.3000000000000003,(4),https://www.snapdeal.com/product/abdc-kids-pink-stroller/648857974020
Baby Pram & Stroller Comfy Red Light Weight Easy Folding,,4 left!,,,"Rs. 5,999","Rs.  2,590",57% Off,,,https://www.snapdeal.com/product/baby-pram-stroller-comfy-red/665732322517
Little Pumpkin - Kiddie Kingdom Baby Stroller and Pram for Baby/Kids (Green Black),,,,,"Rs. 4,500","Rs.  3,528",22% Off,,,https://www.snapdeal.com/product/little-pumpkin-kiddie-kingdom-baby/655686284915
Little Pumpkin Kiddie Kingdom Baby Buggy Green,,,,,"Rs. 2,790","Rs.  2,363",15% Off,,,https://www.snapdeal.com/product/little-pumpkin-kiddie-kingdom-baby/630259300931
Mee Mee Baby Stroller (Red),,2 left!,,,"Rs. 5,499","Rs.  4,148",25% Off,,,https://www.snapdeal.com/product/mee-mee-baby-stroller-red/651983704362
R for Rabbit Pocket Stroller Lite - The Most Portable Baby Stroller and Pram for Baby/Kids with No Installation (Grey),,,,,"Rs. 6,993","Rs.  5,330",24% Off,,,https://www.snapdeal.com/product/r-for-rabbit-pocket-stroller/624480232535
R for Rabbit R For Rabbit Lollipop Lite The Colourful Baby Stroller And Pram (Multi Color),,,,,"Rs. 4,797","Rs.  4,062",15% Off,,,https://www.snapdeal.com/product/r-for-rabbit-r-for/657803246605
Baby Pram & Stroller Jet Wave Blue With Reversible Handlebar,,5 left!,,,"Rs. 7,799","Rs.  5,487",30% Off,,,https://www.snapdeal.com/product/baby-pram-stroller-jet-wave/676271792604
