name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Wood Portable Laptop Table Brown,,,,,"Rs. 1,999",Rs.  749,63% Off,5.0,(1),https://www.snapdeal.com/product/wood-portable-laptop-table-brown/643306602800#bcrumbSearch:study%20table
Folding Table in wenge colour,,4 left!,,,"Rs. 8,900","Rs.  3,914",56% Off,5.0,(1),https://www.snapdeal.com/product/folding-table-in-wenge-colour/640631151460#bcrumbSearch:study%20table
Foldable Study Table - Royal Beige,,,,,"Rs. 4,499","Rs.  4,002",11% Off,,,https://www.snapdeal.com/product/foldable-study-table-royal-beige/685114324725#bcrumbSearch:study%20table
"TOFARCH Engineered Wood Office Study Desk Brussels (Free Standing, Finish Color - White)",,,,,"Rs. 22,899","Rs.  14,599",36% Off,,,https://www.snapdeal.com/product/brussels/684682141798#bcrumbSearch:study%20table
kids  tale,,3 left!,,,"Rs. 1,999",Rs.  725,64% Off,,,https://www.snapdeal.com/product/kids-tale/628792570759#bcrumbSearch:study%20table
"TOFARCH KAZAN Black Engineered Wood Office Table (Wall Mounted, Finish Color - White)",,,,,"Rs. 23,900","Rs.  15,525",35% Off,,,https://www.snapdeal.com/product/tofarch-kazan-black-engineered-wood/640615063878#bcrumbSearch:study%20table
litmus study table,,5 left!,,,"Rs. 8,999","Rs.  7,449",17% Off,,,https://www.snapdeal.com/product/litmus-study-table/675577708052#bcrumbSearch:study%20table
study litmus table,,5 left!,,,"Rs. 9,999","Rs.  8,999",10% Off,,,https://www.snapdeal.com/product/study-litmus-table/663287098201#bcrumbSearch:study%20table
TOFARCH  Paris Study Table for Adult Students Trendy Desk Design with Drawer in White Color,,,,,"Rs. 19,890","Rs.  12,890",35% Off,,,https://www.snapdeal.com/product/tofarch-paris-study-table-for/655693749737#bcrumbSearch:study%20table
SAMRAH WOODEN COFFE TABLE ROUND SHAPE,,,,,"Rs. 4,999","Rs.  3,650",27% Off,,,https://www.snapdeal.com/product/samrah-wooden-coffe-table-round/619733075749#bcrumbSearch:study%20table
"VMS Office Buddy Adjustable Bedside Portable TableCart Tray with Adjustable Height,Studying Overbed Breakfast and Sofa Table",,2 left!,,,"Rs. 5,000","Rs.  3,054",39% Off,,,https://www.snapdeal.com/product/vms-office-buddy-adjustable-bedside/675765341981#bcrumbSearch:study%20table
Tofarch Student Study Table - Ron | Foldable and Movable Study Table for Students,,,,,"Rs. 24,000","Rs.  15,700",35% Off,,,https://www.snapdeal.com/product/tofarch-student-study-table-ron/648180730667#bcrumbSearch:study%20table
