name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
kids  tale,,,,,"Rs. 1,999",Rs.  975,51% Off,5.0,(1),https://www.snapdeal.com/product/kids-tale/628792570759#bcrumbSearch:study%20table
"Kawachi Computer Desk Writing Study Table with 3 x 3 Tier Bookshelves for Home, Office, Gaming Desk, Multipurpose Compact PC Workstation",,5 left!,,,"Rs. 5,800","Rs.  4,990",14% Off,1.0,(1),https://www.snapdeal.com/product/kawachi-computer-desk-writing-study/658690209930#bcrumbSearch:study%20table
"TOFARCH Engineered Wood Office Study Desk Brussels (Free Standing, Finish Color - White)",,,,,"Rs. 22,899","Rs.  13,218",42% Off,,,https://www.snapdeal.com/product/brussels/684682141798#bcrumbSearch:study%20table
Joyo Disney Minnie Portable Desk,,5 left!,,,"Rs. 1,113",Rs.  899,19% Off,,,https://www.snapdeal.com/product/joyo-disney-minnie-portable-desk/657457131028#bcrumbSearch:study%20table
Joyo Disney Mickey Folding Desk,,5 left!,,,"Rs. 1,239",Rs.  999,19% Off,,,https://www.snapdeal.com/product/joyo-disney-mickey-folding-desk/644287680934#bcrumbSearch:study%20table
Joyo Disney Mickey Junior Table,,5 left!,,,Rs. 844,Rs.  760,10% Off,,,https://www.snapdeal.com/product/joyo-disney-mickey-junior-table/685715392808#bcrumbSearch:study%20table
WFH Table Canary (White) | Wooden Home Office Table with Drawer | Table for Work from Home,,,,,"Rs. 18,799","Rs.  14,999",20% Off,,,https://www.snapdeal.com/product/wfh-table-canary-white-wooden/640460204059#bcrumbSearch:study%20table
Tofarch WFH Table Istanbul | Space Efficient Modern Home Office Table | Study Table,,,,,"Rs. 22,889","Rs.  13,870",39% Off,,,https://www.snapdeal.com/product/tofarch-wfh-table-istanbul-space/633418702376#bcrumbSearch:study%20table
Joyo Disney Princess Portable Desk,,4 left!,,,"Rs. 1,113",Rs.  898,19% Off,,,https://www.snapdeal.com/product/joyo-disney-princess-portable-desk/632660078623#bcrumbSearch:study%20table
Joyo Disney Mickey Portable Desk,,3 left!,,,"Rs. 1,113",Rs.  898,19% Off,,,https://www.snapdeal.com/product/joyo-disney-mickey-portable-desk/637674543955#bcrumbSearch:study%20table
SAMRAH WOODEN COFFE TABLE ROUND SHAPE,,,,,"Rs. 4,999","Rs.  3,650",27% Off,,,https://www.snapdeal.com/product/samrah-wooden-coffe-table-round/619733075749#bcrumbSearch:study%20table
Joyo Disney Princess Folding Desk,,5 left!,,,"Rs. 1,239",Rs.  999,19% Off,,,https://www.snapdeal.com/product/joyo-disney-princess-folding-desk/661070961038#bcrumbSearch:study%20table
