name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
KP-ZONE LED DESK LAMP Plastic Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  419,58% Off,4.200000000000001,(5),https://www.snapdeal.com/product/kpzone-led-desk-lamp-plastic/686311793893#bcrumbSearch:table%20lamp
WHITE ASHWA STAR LIGHT PROJECTOR LAMP Plastic Table Lamp - Pack of 1,,,13 orders in last 1 day,,"Rs. 1,399",Rs.  519,63% Off,3.9000000000000004,(68),https://www.snapdeal.com/product/white-ashwa-star-light-projector/659352505889#bcrumbSearch:table%20lamp
Rock Light AC Touch Dimmer Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  469,69% Off,4.3,(43),https://www.snapdeal.com/product/rock-light-touch-dimmer-plastic/666924346963#bcrumbSearch:table%20lamp
REIKI CRYSTAL PRODUCTS Natural Himalayan Salt Natural Shape Rock Table Lamp - Pack of 1,,4 left!,,,"Rs. 1,999","Rs.  1,199",40% Off,4.5,(17),https://www.snapdeal.com/product/reiki-crystal-products-natural-himalayan/679338132988#bcrumbSearch:table%20lamp
Hosley Metal Table Lamp - Pack of 1,,,,,Rs. 750,Rs.  349,53% Off,,,https://www.snapdeal.com/product/hosley-12-metal-table-lamp/668361491998#bcrumbSearch:table%20lamp
Hosley 12 Metal Table Lamp - Pack of 1,,,,,Rs. 750,Rs.  299,60% Off,,,https://www.snapdeal.com/product/hosley-12-metal-table-lamp/639842044409#bcrumbSearch:table%20lamp
J Group Robotics Lunar Moon 14 Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  775,48% Off,4.200000000000001,(14),https://www.snapdeal.com/product/j-group-robotics-lunar-moon/619752407278#bcrumbSearch:table%20lamp
BillieJean Aluminium Table Lamp - Pack of 1,,,,,"Rs. 1,100",Rs.  675,39% Off,5.0,(1),https://www.snapdeal.com/product/billiejean-aluminium-table-lamp-pack/682958670237#bcrumbSearch:table%20lamp
Rock Light Rechargeable LED Touch On/Off Switch Desk Lamp Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  699,53% Off,4.5,(8),https://www.snapdeal.com/product/rock-light-rechargeable-led-touch/620297864257#bcrumbSearch:table%20lamp
"AFAST Decorative Colorful Mosaic, B22 Pin Type Holder Glass Table Lamp - Pack of 1",,,,,"Rs. 1,691",Rs.  469,72% Off,5.0,(1),https://www.snapdeal.com/product/afast-decorative-colorful-mosaic-b22/649433110740#bcrumbSearch:table%20lamp
Somil Decorative Glass Table Lamp - Pack of 2,,,,,"Rs. 3,800","Rs.  1,272",67% Off,,,https://www.snapdeal.com/product/somil-decorative-glass-table-lamp/649008899257#bcrumbSearch:table%20lamp
Rock Light New 5 in 1 Study Lamp Plastic Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  725,27% Off,4.1,(7),https://www.snapdeal.com/product/rock-light-new-5-in/636021789788#bcrumbSearch:table%20lamp
BillieJean d1 Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  599,40% Off,3.7,(3),https://www.snapdeal.com/product/billiejean-d1-aluminium-table-lamp/628472234106#bcrumbSearch:table%20lamp
Stylopunk STUDY LAMP Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,699",Rs.  599,65% Off,3.9000000000000004,(15),https://www.snapdeal.com/product/stylopunk-26-plastic-table-lamp/636886545516#bcrumbSearch:table%20lamp
BillieJean Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  575,42% Off,5.0,(1),https://www.snapdeal.com/product/billiejean-aluminium-table-lamp-pack/686481264765#bcrumbSearch:table%20lamp
HRmed 30Watt UV Disinfection/Sterilization Lamp Plastic Table Lamp - Pack of 1,,5 left!,,,"Rs. 19,499","Rs.  8,990",54% Off,,,https://www.snapdeal.com/product/hrmed-30watt-uv-disinfectionsterilization-lamp/639898201788#bcrumbSearch:table%20lamp
Impro Leaf Design 30cm Plastic Table Lamp - Pack of 1,,4 left!,,,"Rs. 1,499",Rs.  749,50% Off,3.5,(2),https://www.snapdeal.com/product/impro-leaf-design-30cm-plastic/629370440529#bcrumbSearch:table%20lamp
Stylopunk Flexible Rechargeable LED Study Lamp Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,899",Rs.  575,70% Off,3.4000000000000004,(7),https://www.snapdeal.com/product/stylopunk-38-plastic-table-lamp/680386602998#bcrumbSearch:table%20lamp
Awestuffs Moon Lamp (3 Colors) with Stand (Size - Large) Acrylic Table Lamp - Pack of 1,,,,,"Rs. 2,499",Rs.  775,69% Off,3.7,(7),https://www.snapdeal.com/product/awestuffs-moon-lamp-3-colors/677963536009#bcrumbSearch:table%20lamp
Somil Exclusive 18 Glass Table Lamp - Pack of 2,,,,,"Rs. 2,365",Rs.  966,59% Off,,,https://www.snapdeal.com/product/somil-exclusive-18-glass-table/646603096991#bcrumbSearch:table%20lamp
Philips 5W LED Table Lamp - Black,,3 left!,,,"Rs. 1,250","Rs.  1,199",4% Off,4.0,(21),https://www.snapdeal.com/product/philips-5w-led-table-lamp/663214721856
AFAST Glass Table Lamp - Pack of 1,,,,,"Rs. 1,906",Rs.  649,66% Off,4.0,(2),https://www.snapdeal.com/product/afast-22-glass-table-lamp/633565502341
Led Light Study Desk/Table Lamp for Students Rechargeable dimmer (multicolor) Plastic Table Lamp - Pack of 1,,3 left!,,,"Rs. 2,599",Rs.  975,62% Off,5.0,(1),https://www.snapdeal.com/product/led-light-study-desktable-lamp/643501910353
Somil Decorative Glass Table Lamp - Pack of 1,,,,,"Rs. 2,112",Rs.  599,72% Off,5.0,(1),https://www.snapdeal.com/product/somil-14-glass-table-lamp/628594705773
Lalhaveli Moroccan Tea Light Metal Table Lamp - Pack of 1,,,,,"Rs. 4,704","Rs.  1,741",63% Off,,,https://www.snapdeal.com/product/lalhaveli-moroccan-tea-light-40/621937943036
Himalayan Salt Lamp Rock Table Lamp - Pack of 1,,5 left!,,,"Rs. 1,499",Rs.  849,43% Off,3.7,(33),https://www.snapdeal.com/product/himalayan-salt-lamp-rock-table/679475611365
Somil Exclusive Glass Table Lamp - Pack of 1,,,,,"Rs. 1,695",Rs.  685,60% Off,3.0,(1),https://www.snapdeal.com/product/somil-exclusive-18-glass-table/618553372778
Anjali MASHROOM SHAPE Glass Table Lamp - Pack of 1,,1 left!,,,"Rs. 1,099",Rs.  549,50% Off,4.5,(2),https://www.snapdeal.com/product/anjali-mashroom-shape-glass-table/662022798250
Susajjit Mosaic Table Night Lamp Glass Table Lamp - Pack of 1,,1 left!,,,"Rs. 4,999","Rs.  2,679",46% Off,4.0,(1),https://www.snapdeal.com/product/susajjit-48-glass-table-lamp/653412196204
Afast Exclusive Glass And High Quality Metal Stand 55 Metal Table Lamp - Pack of 2,,,,,"Rs. 9,859","Rs.  3,300",67% Off,,,https://www.snapdeal.com/product/afast-exclusive-glass-and-high/661980012373
AFAST Stylish Table Lamp Glass Table Lamp - Pack of 2,,,,,"Rs. 3,367","Rs.  1,344",60% Off,5.0,(1),https://www.snapdeal.com/product/afast-stylish-table-lamp-glass/641724389671
J Group Robotics Lunar Moon Multi Color LED Wireless Lamp 11cm Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  849,43% Off,4.0,(2),https://www.snapdeal.com/product/j-group-robotics-lunar-moon/662665679342
AFAST Glass Table Lamp - Pack of 1,,,,,"Rs. 2,206",Rs.  914,59% Off,3.0,(1),https://www.snapdeal.com/product/afast-25-glass-table-lamp/633794672636
Somil Decorative Glass Table Lamp - Pack of 1,,,,,"Rs. 1,568",Rs.  525,67% Off,,,https://www.snapdeal.com/product/somil-15-glass-table-lamp/666249057722
Devbeads Mosaic Table Lamp Night Lamp Yellow - Pack of 1,,1 left!,,,Rs. 995,Rs.  519,48% Off,4.0,(1),https://www.snapdeal.com/product/devbeads-mosaic-table-lamp-night/620576432805
Ek Retail Shop Spine Style Table Lamp Fabric Table Lamp - Pack of 1,,,,,"Rs. 1,999",Rs.  899,55% Off,2.0,(2),https://www.snapdeal.com/product/ek-retail-shop-spine-style/655098131626
Susajjit 16.5 Glass Table Lamp - Pack of 1,,2 left!,,,"Rs. 1,499",Rs.  599,60% Off,2.2,(5),https://www.snapdeal.com/product/susajjit-165-glass-table-lamp/636225443257
Somil Decorative Glass Table Lamp - Pack of 1,,,,,"Rs. 1,784",Rs.  597,67% Off,1.0,(3),https://www.snapdeal.com/product/somil-table-lamp/620581838128
AFAST 25 Glass Table Lamp - Pack of 1,,,,,"Rs. 2,125",Rs.  835,61% Off,,,https://www.snapdeal.com/product/afast-25-glass-table-lamp/675235244237
AFAST Glass Table Lamp - Pack of 1,,,,,"Rs. 2,107",Rs.  725,66% Off,1.0,(2),https://www.snapdeal.com/product/afast-20-glass-table-lamp/626747459702
Pawan Acrylic Table Lamp - Pack of 1,,,,,Rs. 599,Rs.  159,73% Off,,,https://www.snapdeal.com/product/pawan-acrylic-table-lamp-pack/634693616066
Unique Indian Crafts Table lamp 18 Acrylic Table Lamp - Pack of 1,,,,,"Rs. 1,998","Rs.  1,249",37% Off,,,https://www.snapdeal.com/product/unique-indian-crafts-table-lamp/627859604342
Unique Indian Crafts Table lamp 18 Acrylic Table Lamp - Pack of 1,,,,,"Rs. 1,998","Rs.  1,249",37% Off,,,https://www.snapdeal.com/product/unique-indian-crafts-table-lamp/679512266957
AFAST Glass Table Lamp - Pack of 1,,,,,"Rs. 1,892",Rs.  736,61% Off,,,https://www.snapdeal.com/product/afast-22-glass-table-lamp/627455775932
