name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
FABRR Rayon Red A- line Dress,,,768 orders in last 30 days,,"Rs. 1,499",Rs.  499,67% Off,4.200000000000001,(243),https://www.snapdeal.com/product/fabrr-rayon-red-a-line/669305671671#bcrumbSearch:women%20dress
HivaTrendz Crepe Blue Fit And Flare Dress,,,60 orders in last 7 days,,"Rs. 1,299",Rs.  279,79% Off,4.3,(16),https://www.snapdeal.com/product/hivatrendz-crepe-blue-fit-and/669069258481#bcrumbSearch:women%20dress
PeeViSA Poly Cotton Blue A- line Dress,,5 left!,,,Rs. 889,Rs.  379,57% Off,5.0,(2),https://www.snapdeal.com/product/peevisa-poly-cotton-blue-fit/637496384373#bcrumbSearch:women%20dress
HivaTrendz Crepe Grey Fit And Flare Dress,,,28 orders in last 1 day,,"Rs. 1,299",Rs.  279,79% Off,4.0,(103),https://www.snapdeal.com/product/hivatrendz-crepe-grey-fit-and/645131718328#bcrumbSearch:women%20dress
DYRECTDEALS Polyester Yellow Bodycon Dress,,,52 orders in last 7 days,,"Rs. 2,199",Rs.  489,78% Off,4.1,(30),https://www.snapdeal.com/product/dyrectdeals-polyester-yellow-bodycon-dress/633998723106#bcrumbSearch:women%20dress
FABRR Rayon Navy A- line Dress,,,11 orders in last 1 day,,"Rs. 1,499",Rs.  499,67% Off,4.200000000000001,(71),https://www.snapdeal.com/product/fabrr-rayon-navy-a-line/676869501200#bcrumbSearch:women%20dress
HivaTrendz Crepe Green Skater Dress,,,24 orders in last 1 day,,"Rs. 1,299",Rs.  280,78% Off,3.8,(64),https://www.snapdeal.com/product/hivatrendz-crepe-green-skater-dress/618566712691#bcrumbSearch:women%20dress
ALISHA_FASHION Crepe Brown Shirt Dress,,,13 orders in last 1 day,,"Rs. 1,960",Rs.  449,77% Off,3.7,(7),https://www.snapdeal.com/product/alishafashion-crepe-brown-shirt-dress/644751693801#bcrumbSearch:women%20dress
HivaTrendz Crepe Maroon Fit And Flare Dress,,,57 orders in last 7 days,,"Rs. 1,299",Rs.  279,79% Off,3.5,(27),https://www.snapdeal.com/product/hivatrendz-crepe-maroon-fit-and/641989038266#bcrumbSearch:women%20dress
ALISHA_FASHION Georgette Black Fit And Flare Dress,,,57 orders in last 7 days,,"Rs. 1,960",Rs.  625,68% Off,4.0,(3),https://www.snapdeal.com/product/alishafashion-georgette-black-fit-and/661293041282#bcrumbSearch:women%20dress
ALIMS Crepe Multi Color Asymmetric dress,,,132 orders in last 7 days,,"Rs. 1,499",Rs.  499,67% Off,4.0,(93),https://www.snapdeal.com/product/alims-crepe-multi-color-fit/629124914002#bcrumbSearch:women%20dress
OSTARA Rayon Green Shirt Dress,,,,,"Rs. 2,099",Rs.  625,70% Off,4.5,(11),https://www.snapdeal.com/product/ostara-georgette-green-bodycon-dress/670503858042#bcrumbSearch:women%20dress
