name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
AARSHA Beige Cotton Straight Kurti,,,,,"Rs. 1,300",Rs.  674,48% Off,5.0,(1),https://www.snapdeal.com/product/aarsha-beige-cotton-straight-kurti/618801207393#bcrumbSearch:women%20kurti
Shagun Rust Cotton Front Slit Kurti,,,64 orders in last 1 day,,Rs. 999,Rs.  379,62% Off,3.9000000000000004,(1971),https://www.snapdeal.com/product/shagun-rust-cotton-front-slit/618538510010#bcrumbSearch:women%20kurti
MEESORRA Red Rayon Anarkali Kurti,,,,,"Rs. 1,999",Rs.  519,74% Off,4.0,(1),https://www.snapdeal.com/product/meesorra-red-rayon-anarkali-kurti/618979504657#bcrumbSearch:women%20kurti
HivaTrendz Multicoloured Crepe Straight Kurti,,,,,"Rs. 1,299",Rs.  399,69% Off,3.4000000000000004,(8),https://www.snapdeal.com/product/hivatrendz-multicoloured-crepe-straight-kurti/618845234285#bcrumbSearch:women%20kurti
DEGE Blue Cotton High Low Hemline Kurti,,,,,"Rs. 1,999",Rs.  944,53% Off,,,https://www.snapdeal.com/product/dege-blue-cotton-high-low/619211723927#bcrumbSearch:women%20kurti
VISVA DESIGNER Maroon Cotton Anarkali Kurti,,,,,"Rs. 1,775",Rs.  419,76% Off,3.8,(38),https://www.snapdeal.com/product/visva-designer-maroon-cotton-anarkali/619451075352#bcrumbSearch:women%20kurti
HivaTrendz Multicoloured Crepe Straight Kurti,,,,,"Rs. 1,299",Rs.  250,81% Off,3.8,(110),https://www.snapdeal.com/product/hivatrendz-multicoloured-crepe-straight-kurti/619399506028#bcrumbSearch:women%20kurti
KIPEK Pink Rayon Straight Kurti,,,,,"Rs. 1,799",Rs.  549,69% Off,4.3,(96),https://www.snapdeal.com/product/kipek-pink-rayon-straight-kurti/619441977353#bcrumbSearch:women%20kurti
Jevi Prints Beige Crepe Dress Material,,4 left!,,,"Rs. 1,495",Rs.  575,62% Off,4.3,(3),https://www.snapdeal.com/product/jevi-prints-beige-crepe-dress/619285988433#bcrumbSearch:women%20kurti
Sukhvilas Fashion Black Cotton Anarkali Kurti,,,,,"Rs. 1,999",Rs.  675,66% Off,,,https://www.snapdeal.com/product/sukhvilas-fashion-black-cotton-anarkali/619409691789#bcrumbSearch:women%20kurti
