name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Hetsa Pink Cotton Blend Straight Kurti,,,45 orders in last 1 day,,Rs. 999,Rs.  449,55% Off,4.1,(180),https://www.snapdeal.com/product/hetsa-pink-cotton-blend-straight/681338240592#bcrumbSearch:women%20kurti
NYPA Purple Rayon Straight Kurti,,,37 orders in last 1 day,,"Rs. 1,999",Rs.  775,61% Off,4.1,(112),https://www.snapdeal.com/product/nypa-purple-rayon-straight-kurti/626292719447#bcrumbSearch:women%20kurti
Trivacca Blue Rayon Jacket Style Kurti,,,,,"Rs. 3,999",Rs.  519,87% Off,5.0,(1),https://www.snapdeal.com/product/trivacca-blue-rayon-jacket-style/654577129700#bcrumbSearch:women%20kurti
SILK ROOTS Grey Rayon Anarkali Kurti,,,30 orders in last 1 day,,Rs. 999,Rs.  449,55% Off,3.7,(945),https://www.snapdeal.com/product/silk-roots-grey-rayon-anarkali/659633562410#bcrumbSearch:women%20kurti
HivaTrendz Black Crepe Straight Kurti,,,84 orders in last 1 day,,"Rs. 1,299",Rs.  250,81% Off,3.5999999999999996,(772),https://www.snapdeal.com/product/hivatrendz-black-crepe-straight-kurti/663972341764#bcrumbSearch:women%20kurti
Neeta Creations Green Rayon A-line Kurti,,,56 orders in last 1 day,,"Rs. 4,999",Rs.  675,86% Off,3.8,(2943),https://www.snapdeal.com/product/neeta-creations-green-rayon-aline/652054967809#bcrumbSearch:women%20kurti
FABRR Maroon Rayon Anarkali Kurti,,,60 orders in last 1 day,,"Rs. 1,899",Rs.  625,67% Off,4.1,(403),https://www.snapdeal.com/product/fabrr-maroon-rayon-anarkali-kurti/666118944047#bcrumbSearch:women%20kurti
Kapadia Black Rayon Straight Kurti,,,20 orders in last 1 day,,Rs. 799,Rs.  399,50% Off,3.9000000000000004,(238),https://www.snapdeal.com/product/kapadia-black-rayon-straight-kurti/663917054323#bcrumbSearch:women%20kurti
HivaTrendz Multicoloured Crepe Straight Kurti,,,74 orders in last 1 day,,"Rs. 1,299",Rs.  399,69% Off,3.8,(132),https://www.snapdeal.com/product/hivatrendz-multicoloured-crepe-straight-kurti/639892108150#bcrumbSearch:women%20kurti
Estela Green Cotton Anarkali Kurti,,,62 orders in last 1 day,,Rs. 999,Rs.  499,50% Off,4.0,(285),https://www.snapdeal.com/product/estela-green-cotton-anarkali-kurti/678558743784#bcrumbSearch:women%20kurti
