name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Akiko Blue Rayon Shirt,,,,,"Rs. 2,499",Rs.  575,77% Off,5.0,(1),https://www.snapdeal.com/product/akiko-blue-rayon-shirt/683747688547#bcrumbSearch:women%20shirts
Enchanted Drapes Poly Crepe Shirt,,,,,"Rs. 1,300",Rs.  575,56% Off,3.5999999999999996,(20),https://www.snapdeal.com/product/enchanted-drapes-poly-crepe-shirt/662584804010#bcrumbSearch:women%20shirts
Yukon Purple Poly Crepe Shirt,,,342 orders in last 30 days,,"Rs. 1,999",Rs.  399,80% Off,3.9000000000000004,(347),https://www.snapdeal.com/product/yukon-poly-crepe-shirt/640341376858#bcrumbSearch:women%20shirts
Yukon Green Poly Crepe Shirt,,,,,"Rs. 1,999",Rs.  389,81% Off,4.4,(12),https://www.snapdeal.com/product/yukon-green-poly-crepe-shirt/667074078108#bcrumbSearch:women%20shirts
Ajanya Black Cotton Shirt,,,,,Rs. 759,Rs.  289,62% Off,,,https://www.snapdeal.com/product/ajanya-black-cotton-shirt/636613863990#bcrumbSearch:women%20shirts
The Dry State Red Cotton Shirt,,,,,"Rs. 1,499",Rs.  419,72% Off,3.0,(4),https://www.snapdeal.com/product/the-dry-state-red-cotton/626971701546#bcrumbSearch:women%20shirts
Ajanya Green Cotton Shirt,,5 left!,,,Rs. 759,Rs.  329,57% Off,4.8,(5),https://www.snapdeal.com/product/ajanya-green-cotton-shirt/632372792568#bcrumbSearch:women%20shirts
retrobella White Poly Crepe Shirt,,1 left!,,,"Rs. 1,999",Rs.  419,79% Off,3.7,(15),https://www.snapdeal.com/product/retrobella-white-poly-crepe-shirt/648659986042#bcrumbSearch:women%20shirts
GALWIZ Black Rayon Shirt,,2 left!,,,Rs. 999,Rs.  399,60% Off,5.0,(1),https://www.snapdeal.com/product/galwiz-black-rayon-shirt/641301808612#bcrumbSearch:women%20shirts
Food2Fashion Black Satin Shirt,,,,,"Rs. 1,599",Rs.  799,50% Off,,,https://www.snapdeal.com/product/food2fashion-black-satin-shirt/639041690161#bcrumbSearch:women%20shirts
Bronze Multi Color Cotton Shirt,,,,,Rs. 999,Rs.  289,71% Off,4.5,(8),https://www.snapdeal.com/product/bronze-cotton-shirt/666502013552#bcrumbSearch:women%20shirts
retrobella Red Poly Crepe Shirt,,,10 orders in last 1 day,,"Rs. 1,999",Rs.  419,79% Off,5.0,(1),https://www.snapdeal.com/product/retrobella-red-poly-crepe-shirt/621888766986#bcrumbSearch:women%20shirts
ORGANIC CLEANSE Maroon Cotton Shirt,,,,Featured,Rs. 1499,Rs. 1499,0% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3857791550?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1311204&websiteId=1&position=&trackerId=10.65.96.22:c18306f0-d851-43ef-aa12-0710e3106e7b:1&category=generic_search&supcCat=women-apparel-shirts-blouses&page=slp&accId=167645&siteId=101&sdId=162753266159383466&eId=&dId=&sellerCode=S75913&supc=SDL454982064&pogId=653393251929&brand=ORGANIC+CLEANSE&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Forganic-cleanse-maroon-cotton-shirt%2F653393251929%3FvendorCode%3DS75913%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL454982064%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
ORGANIC CLEANSE Green Cotton Shirt,,,,Featured,Rs. 1499,Rs. 1499,0% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3857791546?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1311204&websiteId=1&position=&trackerId=10.65.96.22:c18306f0-d851-43ef-aa12-0710e3106e7b:2&category=generic_search&supcCat=women-apparel-shirts-blouses&page=slp&accId=167645&siteId=101&sdId=162753266159383466&eId=&dId=&sellerCode=S75913&supc=SDL468191829&pogId=643475980946&brand=ORGANIC+CLEANSE&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Forganic-cleanse-green-cotton-shirt%2F643475980946%3FvendorCode%3DS75913%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL468191829%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
