name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
"Pico Non-Storage Bed (Queen Bed Size, Classic Walnut Finish)",,,"₹17,499",,,,https://www.urbanladder.com/products/pico-bed-non-storage-bed?sku=FNBDNS43CW10107&src=room
"Belize Upholstered Bed (Blue, Queen Bed Size)",New Arrival,,"₹32,499",,,,https://www.urbanladder.com/products/belize-upholstered-bed?sku=FNBDNS51BL15098&src=subcat
"Belize Upholstered Bed (Blue, King Bed Size)",New Arrival,,"₹36,899",,,,https://www.urbanladder.com/products/belize-upholstered-bed?sku=FNBDNS51BL11098&src=subcat
"Cassiope Upholstered Storage Bed (Grey, King Bed Size)",Best Seller,,"₹44,899",,,,https://www.urbanladder.com/products/cassiope-upholstered-storage-bed?sku=FNBDST51GY11099&src=subcat
"Tahiti Platform Bed (Mahogany Finish, Queen Bed Size)",,"₹41,499","₹33,199",20% Off,,,https://www.urbanladder.com/products/tahiti-platform-bed?sku=FNBDNS11MH35100&src=subcat
"Myers Hydraulic Storage Bed (Queen Bed Size, Dark Walnut Finish)",New Arrival,,"₹37,499",,,,https://www.urbanladder.com/products/myers-hydraulic-storage-bed?sku=FNBDST43DW15001&src=subcat
"Toshi Platform Storage Bed (Queen Bed Size, Dark Walnut Finish)",Best Seller,,"₹27,999",,,,https://www.urbanladder.com/products/toshi-platform-storage-bed?sku=FNBDST43UW35102&src=subcat
"Cassiope Upholstered Storage Bed (Grey, Queen Bed Size)",Best Seller,,"₹40,499",,,,https://www.urbanladder.com/products/cassiope-upholstered-storage-bed?sku=FNBDST51GY15099&src=subcat
Palermo Sofa Cum Bed (Floral),,,"₹32,899",,,,https://www.urbanladder.com/products/palermo-sofa-cum-bed?sku=FNSFBD51RD30032&src=subcat
"Valencia Bed (Solid Wood) (Teak Finish, Queen Bed Size)",,"₹37,797","₹30,932",18% Off,,,https://www.urbanladder.com/products/valencia-bed?sku=FNCOMB11TK15898&src=subcat
"Caprica Bed (Mahogany Finish, Queen Bed Size)",Best Seller,,"₹29,299",,,,https://www.urbanladder.com/products/caprica-bed-mahogany-finish?sku=FNBDNS12MH15025&src=subcat
"Ohio Low Bed (Teak Finish, Queen Bed Size)",,"₹41,499","₹33,199",20% Off,,,https://www.urbanladder.com/products/ohio-bed?sku=FNBDNS11TK15026&src=subcat
"Aurora Upholstered Bed (Brown, King Bed Size)By Dreamzz Furniture",New Arrival,,"₹42,000",,,,https://www.urbanladder.com/products/aurora-upholstered-bed?sku=FVBDST11BR11380&src=room
"Perfect Upholstered Bed (King Bed Size, Beige)By Dreamzz Furniture",New Arrival,,"₹52,199",,,,https://www.urbanladder.com/products/perfect-upholstered-bed?sku=FVBDST11BE11384&src=room
"Cottage Platform Bed (Pink, Single Bed Size)By Dreamzz Furniture",New Arrival,,"₹32,000",,,,https://www.urbanladder.com/products/cottage-platform-bed?sku=FVBDST11PN11359&src=room
"Valencia Bed (Solid Wood) (Teak Finish, King Bed Size)",,"₹41,697","₹34,057",18% Off,,,https://www.urbanladder.com/products/valencia-bed?sku=FNCOMB11TK11898&src=subcat
"Sampson Bed (Solid Wood) (Mahogany Finish, Queen Bed Size)",,,"₹35,497",,,,https://www.urbanladder.com/products/sampson-bed?sku=FNBDNS11MH35018&src=room
"Ohio Low Bed (Mahogany Finish, Queen Bed Size)",,,"₹41,499",,,,https://www.urbanladder.com/products/ohio-bed?sku=FNBDNS11MH15026&src=room
"Florence Bed (Solid Wood) (Mahogany Finish, Queen Bed Size, Lava)",,,"₹38,597",,,,https://www.urbanladder.com/products/florence-bed?sku=FNCOMB11MH35904&src=subcat
