name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
"Aadoo Bedsheet Set (Pink, Double Size)",,,"₹2,299",,,,https://www.urbanladder.com/products/aadoo-bedsheet-set?sku=HDBLBPCTDPKN254&src=room
"Tulika Bedsheet Set (Beige, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBOCTSBGN253&src=room
"Surkh Bedsheet Set (Red, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/surkh-bedsheet-set?sku=HDBLBPCTKBRN292&src=room
"Tulika Bedsheet Set (Beige, Double Size)",,,"₹2,299",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBPCTDBGN253&src=room
"Tulika Bedsheet Set (Beige, Fitted Size)",,,"₹2,599",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBPCTDBGF253&src=room
"Aadoo Bedsheet Set (Pink, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/aadoo-bedsheet-set?sku=HDBLBOCTSPKN254&src=room
"Surkh Bedsheet Set (Red, Double Size)",,,"₹2,199",,,,https://www.urbanladder.com/products/surkh-bedsheet-set?sku=HDBLBPCTKBRN293&src=room
Monte  Bedsheet Set (Queen Size),Only 2 Left,,"₹1,699",,,,https://www.urbanladder.com/products/monte-bedsheet-set?sku=HDBLBPCTWBLF145&src=room
Gabrielle Bedsheet Set (King Size),Only 2 Left,,"₹1,899",,,,https://www.urbanladder.com/products/gabrielle-bedsheet-set?sku=HDBLBPCTWBLF196&src=room
"John Bedsheet Set (Grey, Queen Size)",Only 1 Left,,"₹1,699",,,,https://www.urbanladder.com/products/john-bedsheet-set?sku=HDBLBPCTWBLF167&src=room
"Arnold Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/arnold-bedsheet-set?sku=HDBLBPCTWBLF166&src=room
"Caroll Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/caroll-bedsheet-set?sku=HDBLBPCTWBLF171&src=room
"Annabelle Bedsheet Set (Pink, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/annabelle-bedsheet-set?sku=HDBLBPCTWBLF178&src=room
"Amelie Bedsheet Set (Grey, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/amelie-bedsheet-set?sku=HDBLBPCTWBLF220&src=subcat
"Brittany Bedsheet Set (White, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/brittany-bedsheet-set?sku=HDBLBPCTWBLF227&src=room
"Lona Bedsheet Set (Green, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/lona-bedsheet-set?sku=HDBLBPCTWBLF233&src=room
"Elaina Bedsheet Set (Teal Blue, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/elaina-bedsheet-set?sku=HDBLBPCTWBLF190&src=room
"Rosa Bedsheet Set (Pink, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/rosa-bedsheet-set?sku=HDBLBPCTWBLF144&src=room
"Nicolo Bedsheet Set (Beige, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/nicolo-bedsheet-set?sku=HDBLBPCTWBLF146&src=room
"Julian Bedsheet Set (White, Queen Size)",Only 1 Left,,"₹1,699",,,,https://www.urbanladder.com/products/julian-bedsheet-set?sku=HDBLBPCTWBLF156&src=room
"Saptaparni Bedsheet Set (Yellow, Double Size, Fitted Bedsheet Type)",,,"₹2,599",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTDYLN315&src=room
"Remi Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/remi-bedsheet-set?sku=HDBLBPCTWBLF176&src=subcat
"Paris Bedsheet Set (Beige, King Size)",Only 3 Left,,"₹1,899",,,,https://www.urbanladder.com/products/paris-bedsheet-set?sku=HDBLBPCTWBLF197&src=room
