name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Mirasa 6 Seater Dining Set - (With Bench) (Lava),New Arrival,,"₹62,996",,,,https://www.urbanladder.com/products/mirasa-6-seater-dining-set-with-bench?src=locations-dining-furniture
Mirasa 6 Seater Dining Set - (With Bench) (Sandstorm),New Arrival,,"₹62,996",,,,https://www.urbanladder.com/products/mirasa-6-seater-dining-set-with-bench?src=room
Mirasa 6 Seater Dining Set (Lava),New Arrival,,"₹68,496",,,,https://www.urbanladder.com/products/mirasa-6-seater-dining-set?src=subcat
Mirasa 6 Seater Dining Set (Sandstorm),New Arrival,,"₹68,496",,,,https://www.urbanladder.com/products/mirasa-6-seater-dining-set?src=subcat
Della 8 Seater Dining Set (HONEY Finish)By Evok,New Arrival,,"₹76,990",,,,https://www.urbanladder.com/products/della-8-seater-dining-set?sku=FVDS8S11HO11025&src=subcat
Logan 6 Seater Dining Set (Walnut Finish)By Evok,Only 1 Left,,"₹32,530",,,,https://www.urbanladder.com/products/logan-6-seater-dining-set?sku=FVDS6S11WL11020&src=room
"Athena 6 Seater Dining Sets (HONEY, HONEY Finish)By Jyoti Impex",New Arrival,,"₹74,399",,,,https://www.urbanladder.com/products/athena-6-seater-dining-set?sku=FVDS6S11HO10038&src=locations-dining-furniture
"Vita 4 Seater Dining Set (Light Walnut Finish, Light Walnut)By Evok",New Arrival,,"₹21,990",,,,https://www.urbanladder.com/products/vita-4-seater-dining-set?sku=FVDS4S11LW11018&src=family
"Cook 4 Seater Dining Sets (WARM WALNUT, WARM WALNUT Finish)By Jyoti Impex",New Arrival,,"₹42,399",,,,https://www.urbanladder.com/products/cook-4-seater-dining-set?sku=FVDS4S11WW10029&src=locations-dining-furniture
"Alton 2 Seater Dining Sets (PROVINCIAL TEAK, PROVINCIAL TEAK Finish)By Jyoti Impex",New Arrival,,"₹16,899",,,,https://www.urbanladder.com/products/alton-2-seater-dining-set?sku=FVDS2S11PT10033&src=locations-dining-furniture
