name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
"Essential Foam Mattress (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 4 in Mattress Thickness (in Inches))",,"₹7,599","₹6,079",20% Off,,,https://www.urbanladder.com/products/essential-foam-mattress?sku=HDMA01S04FZZZ0A&src=room
"Theramedic Memory Foam Mattress with Latex (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹18,299","₹14,639",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress-with-latex?sku=HDMA01S06LMZZ0C&src=room
"Theramedic Memory Foam Mattress with Temperature Control (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 5 in Mattress Thickness (in Inches))",,"₹15,699","₹12,559",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress-with-temperature-control?sku=HDMA01S05MZZZ0C&src=room
"Aer Latex Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹32,999","₹26,399",20% Off,,,https://www.urbanladder.com/products/aer-latex-mattress?sku=HDMA01K06FFLL0B&src=room
"Essential Foam Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 4 in Mattress Thickness (in Inches))",,"₹14,699","₹11,759",20% Off,,,https://www.urbanladder.com/products/essential-foam-mattress?sku=HDMA01K04FZZZ0A&src=room
"Theramedic Memory Foam Mattress with Temperature Control (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 5 in Mattress Thickness (in Inches))",,"₹25,699","₹20,559",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress-with-temperature-control?sku=HDMA01Q05MZZZ0C&src=room
"Essential Coir Mattress (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 4 in Mattress Thickness (in Inches))",,"₹8,299","₹6,639",20% Off,,,https://www.urbanladder.com/products/essential-coir-mattress?sku=HDMA01S04CZZZ0A&src=room
"Aer Latex Mattress (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹27,499","₹21,999",20% Off,,,https://www.urbanladder.com/products/aer-latex-mattress?sku=HDMA01Q06FFLL0B&src=room
"Aer Latex Mattress (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹16,599","₹13,279",20% Off,,,https://www.urbanladder.com/products/aer-latex-mattress?sku=HDMA01S06FFLL0B&src=room
"Essential Memory Foam Mattress (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹17,099","₹13,679",20% Off,,,https://www.urbanladder.com/products/essential-memory-foam-mattress?sku=HDMA01Q06MZZZ0D&src=room
"Essential Memory Foam Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹20,199","₹16,159",20% Off,,,https://www.urbanladder.com/products/essential-memory-foam-mattress?sku=HDMA01K06MZZZ0D&src=room
"Cloud Pocket Spring Mattress (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹22,199","₹17,759",20% Off,,,https://www.urbanladder.com/products/cloud-pocket-spring-mattress?sku=HDMA01Q06PZZZ0A&src=room
"Aer Latex Mattress With Memory Foam (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 8 in Mattress Thickness (in Inches))",,"₹59,599","₹47,679",20% Off,,,https://www.urbanladder.com/products/aer-latex-mattress-with-memory-foam?sku=HDMA01K08FFML0A&src=room
"Aer Latex Mattress With Memory Foam (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 8 in Mattress Thickness (in Inches))",,"₹49,899","₹39,919",20% Off,,,https://www.urbanladder.com/products/aer-latex-mattress-with-memory-foam?sku=HDMA01Q08FFML0A&src=room
"Theramedic Memory Foam Mattress with Latex (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹35,799","₹28,639",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress-with-latex?sku=HDMA01K06LMZZ0C&src=room
"Essential Memory Foam Mattress With Temperature Control (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹27,199","₹21,759",20% Off,,,https://www.urbanladder.com/products/essential-memory-foam-mattress-with-temperature-control?sku=HDMA01K06MZZZ0E&src=room
"Essential Memory Foam Mattress With Temperature Control (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹13,699","₹10,959",20% Off,,,https://www.urbanladder.com/products/essential-memory-foam-mattress-with-temperature-control?sku=HDMA01S06MZZZ0E&src=room
"Essential Memory Foam Mattress With Temperature Control (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹22,599","₹18,079",20% Off,,,https://www.urbanladder.com/products/essential-memory-foam-mattress-with-temperature-control?sku=HDMA01Q06MZZZ0E&src=room
"Theramedic Coir & Foam Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹24,099","₹19,279",20% Off,,,https://www.urbanladder.com/products/theramedic-coir-foam-mattress?sku=HDMA01K06ZZZZ0J&src=room
"Theramedic Memory Foam Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹38,199","₹30,559",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress?sku=HDMA01K06ZZZZ0C&src=room
"Cloud Pocket Spring Mattress with HD Foam (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 8 in Mattress Thickness (in Inches))",,"₹15,199","₹12,159",20% Off,,,https://www.urbanladder.com/products/cloud-pocket-spring-mattress-with-hd-foam?sku=HDMA01S08ZZZZ0H&src=room
"Cloud Pocket Spring Mattress with Memory Foam Eurotop (Single Mattress Type, 78 x 36 in (Standard) Mattress Size, 10 in Mattress Thickness (in Inches))",,"₹24,299","₹19,439",20% Off,,,https://www.urbanladder.com/products/cloud-pocket-spring-mattress-with-memory-foam?sku=HDMA01S10ZZZZ0I&src=room
"Dreamlite Bonnel Spring Mattress with Eurotop (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 8 in Mattress Thickness (in Inches))",,"₹23,099","₹18,479",20% Off,,,https://www.urbanladder.com/products/dreamlite-bonnel-spring-mattress-with-eurotop?sku=HDMA01K08ZZZZ0J&src=room
"Dreamlite Bonnel Spring Mattress (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹17,999","₹14,399",20% Off,,,https://www.urbanladder.com/products/dreamlite-bonnel-spring-mattress?sku=HDMA01K06BZZZ0A&src=room
"Theramedic Coir & Foam Mattress (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹20,099","₹16,079",20% Off,,,https://www.urbanladder.com/products/theramedic-coir-foam-mattress?sku=HDMA01Q06ZZZZ0J&src=room
"Theramedic Memory Foam Mattress (Queen Mattress Type, 78 x 60 in (Standard) Mattress Size, 6 in Mattress Thickness (in Inches))",,"₹31,999","₹25,599",20% Off,,,https://www.urbanladder.com/products/theramedic-memory-foam-mattress?sku=HDMA01Q06ZZZZ0C&src=room
"Cloud Eurotop Pocket Spring Mattress with Latex (King Mattress Type, 78 x 72 in (Standard) Mattress Size, 7 in Mattress Thickness (in Inches))",,"₹39,799","₹31,839",20% Off,,,https://www.urbanladder.com/products/cloud-eurotop-pocket-spring-mattress-with-latex?sku=HDMA01K07PLZZ0B&src=room
