name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Weston Half Leather Sofa (Wine Italian Leather),,,"Starting from ₹95,339",30% Off,,,https://www.urbanladder.com/products/weston-half-leather-sofa-wine-italian-leather?src=room
Weston Half Leather Sofa (Camel Italian Leather),,,"Starting from ₹95,339",30% Off,,,https://www.urbanladder.com/products/weston-half-leather-sofa-camel-italian-leather?src=room
Weston Half Leather Sofa (Licorice Italian Leather),,,"Starting from ₹95,339",30% Off,,,https://www.urbanladder.com/products/weston-half-leather-sofa-licorice-italian-leather?src=room
Leslie Sofa (Alloy Grey),,,"Starting from ₹20,599",,,,https://www.urbanladder.com/products/leslie-sofa-alloy-grey-fnsf51llag3?src=room
Serra Wooden Sofa - Mahogany Finish (Olive Green),,,"Starting from ₹51,099",,,,https://www.urbanladder.com/products/serra-wooden-sofa-mahogany-finish-olives-green?src=room
Serra Wooden Sofa - Teak Finish (Olive Green),,,"Starting from ₹51,099",,,,https://www.urbanladder.com/products/serra-wooden-sofa-teak-finish-olives-green?src=room
Serra Wooden Sofa - Teak Finish (Indigo Blue),,,"Starting from ₹43,299",,,,https://www.urbanladder.com/products/serra-wooden-sofa-teak-finish-indigo-bluee?src=room
Walton Sofa (Asphalt Grey),,,"Starting from ₹24,799",,,,https://www.urbanladder.com/products/walton-sofa-asphalt-grey?src=room
Adelaide Compact Leatherette Sofa (Cream),,,"Starting from ₹46,499",25% Off,,,https://www.urbanladder.com/products/adelaide-leatherette-sofa-cream?src=room
Walton Sectional Sofa (Asphalt Grey),,,"Starting from ₹39,698",,,,https://www.urbanladder.com/products/walton-sectional-sofa-asphalt-grey?src=room
Walton Sectional Sofa (Fossil Brown),,,"Starting from ₹45,697",13% Off,,,https://www.urbanladder.com/products/walton-sectional-sofa-fossil-brown?src=room
Esquel Leatherette Sofa (Cappuccino),,,"Starting from ₹41,369",30% Off,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-cappuccino?src=room
Winchester Half Leather Sofa (White Italian Leather),,,"Starting from ₹90,299",30% Off,,,https://www.urbanladder.com/products/winchester-half-leather-sofa-white-italian-leather?src=room
Esquel Leatherette Sofa (Burgundy),,,"Starting from ₹41,369",30% Off,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-burgundy?src=room
Adelaide Compact Leatherette Sofa (Tan),,,"Starting from ₹43,399",30% Off,,,https://www.urbanladder.com/products/adelaide-compact-leatherette-sofa-tan?src=room
Farina Half Leather Sofa (Mustard Italian Leather),,,"Starting from ₹101,299",30% Off,,,https://www.urbanladder.com/products/farina-half-leather-sofa-mustard-italian-leather?src=room
Esquel Leatherette Sofa (Chocolate),,,"Starting from ₹59,099",30% Off,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-chocolate?src=room
Farina Half Leather Sofa (White Italian Leather),,,"Starting from ₹70,909",30% Off,,,https://www.urbanladder.com/products/farina-half-leather-sofa-white-italian-leather?src=room
Winchester Half Leather Sofa (Mustard Italian Leather),,,"Starting from ₹128,999",30% Off,,,https://www.urbanladder.com/products/winchester-half-leather-sofa-mustard-italian-leather?src=room
Esquel Leatherette Sofa (Tan),,,"Starting from ₹41,369",30% Off,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-tan?src=room
Walton Sofa (Fossil Brown),,,"Starting from ₹24,799",,,,https://www.urbanladder.com/products/walton-sofa-fossil-brown?src=room
Malabar Wooden Sofa (Malibu Blue),,,"Starting from ₹50,599",,,,https://www.urbanladder.com/products/malabar-wooden-sofa-malibu-blue?src=room
Rubik Sofa (Pearl White),,,"Starting from ₹28,199",,,,https://www.urbanladder.com/products/rubik-sofa-pearl-white?src=room
Rubik Sofa (Birch Beige),,,"Starting from ₹34,399",,,,https://www.urbanladder.com/products/rubik-sofa-birch-beige?src=room
Rubik Sofa (Sea Port Blue Velvet),,,"Starting from ₹38,499",,,,https://www.urbanladder.com/products/rubik-sofa-sea-port-blue-velvet?src=room
Walton Sofa (Desert Brown),,,"Starting from ₹14,499",,,,https://www.urbanladder.com/products/walton-sofa-desert-brown?src=room
Rubik Sofa (Dark Earth),,,"Starting from ₹31,299",,,,https://www.urbanladder.com/products/rubik-sofa-dark-earth?src=room
Rubik Sofa (Lapis Blue),,,"Starting from ₹34,399",,,,https://www.urbanladder.com/products/rubik-sofa-lapis-blue?src=room
Rubik Sofa (Olive Green),,,"Starting from ₹33,199",,,,https://www.urbanladder.com/products/rubik-sofa-olive-green?src=room
Rubik Sofa (Smoke Grey),,,"Starting from ₹31,299",,,,https://www.urbanladder.com/products/rubik-sofa-smoke-grey?src=room
Rubik Sofa (Dune Brown),,,"Starting from ₹28,199",,,,https://www.urbanladder.com/products/rubik-sofa-dune-brown?src=room
Rubik Sofa (Steel Grey),,,"Starting from ₹28,199",,,,https://www.urbanladder.com/products/rubik-sofa-steel-grey?src=room
Rubik Sofa (Cobalt Blue),,,"Starting from ₹31,299",,,,https://www.urbanladder.com/products/rubik-sofa-cobalt-blue?src=room
Rubik Sofa (Lava Rust),,,"Starting from ₹33,199",,,,https://www.urbanladder.com/products/rubik-sofa-lava-rust?src=room
Rubik Sofa (Ash Grey Velvet),,,"Starting from ₹38,499",,,,https://www.urbanladder.com/products/rubik-sofa-ash-grey-velvet?src=room
Adelaide Compact Leatherette Sofa (Burgundy),,,"Starting from ₹46,499",25% Off,,,https://www.urbanladder.com/products/adelaide-leatherette-sofa-burgundy?src=room
Florence Compact Sofa (Olive Green),,,"Starting from ₹58,299",,,,https://www.urbanladder.com/products/florence-compact-sofa-olive-green?src=room
Florence Compact Sofa (Indigo Blue),,,"Starting from ₹58,299",,,,https://www.urbanladder.com/products/florence-compact-sofa-indigo-blue?src=room
Florence Compact Sofa (Dusty Turquoise Velvet),,,"Starting from ₹62,899",,,,https://www.urbanladder.com/products/florence-compact-sofa-dusty-turquoise-velvet?src=room
Adelaide Sofa (Birch Beige),,,"Starting from ₹66,899",,,,https://www.urbanladder.com/products/adelaide-sofa-birch-beige?src=room
Adelaide Sofa (Lava Rust),,,"Starting from ₹65,299",,,,https://www.urbanladder.com/products/adelaide-sofa-lava-rust?src=room
Chelsea Adjustable Sofa (Grey),,,"Starting from ₹57,299",,,,https://www.urbanladder.com/products/chelsea-adjustable-sofa-grey?src=room
Esquel Leatherette Sofa (Tan Brown),,,"Starting from ₹43,399",,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-tan-brown?src=room
Adelaide Sofa (Graphite Grey),,,"Starting from ₹48,974",,,,https://www.urbanladder.com/products/adelaide-sofa-graphite-grey?src=room
Serra Wooden Sofa - Teak Finish (Indigo Blue),,,"Starting from ₹43,299",,,,https://www.urbanladder.com/products/serra-wooden-sofa-teak-finish-indigo-bluee?src=room
Adelaide Compact Leatherette Sofa (Cream),,,"Starting from ₹46,499",25% Off,,,https://www.urbanladder.com/products/adelaide-leatherette-sofa-cream?src=room
Winchester Fabric Sofa (Malibu Blue),,,"Starting from ₹84,599",,,,https://www.urbanladder.com/products/winchester-fabric-sofa-malibu?src=room
Granada Sofa (Mocha Brown),,,"Starting from ₹61,299",,,,https://www.urbanladder.com/products/granada-sofa-mocha-brown?src=room
Granada Sofa (Mist Brown),,,"Starting from ₹68,599",,,,https://www.urbanladder.com/products/granada-sofa-mist-brown?src=room
Granada Sofa (Pearl White),,,"Starting from ₹61,299",,,,https://www.urbanladder.com/products/granada-sofa-pearl-white?src=room
Winchester Fabric Sofa (Lava Rust),,,"Starting from ₹86,599",,,,https://www.urbanladder.com/products/winchester-fabric-sofa-lava-rust?src=room
Farina Sofa (Dune Brown),,,"Starting from ₹61,299",,,,https://www.urbanladder.com/products/farina-sofa-dune-brown?src=room
Farina Sofa (Clara Velvet),,,"Starting from ₹82,299",,,,https://www.urbanladder.com/products/farina-sofa-clara-velvet?src=room
Farina Sofa (Cobalt Blue),,,"Starting from ₹66,599",,,,https://www.urbanladder.com/products/farina-sofa-cobalt-blue?src=room
Farina Sofa (Fawn Velvet),,,"Starting from ₹82,299",,,,https://www.urbanladder.com/products/farina-sofa-fawn-velvet?src=room
Farina Sofa (Mocha),,,"Starting from ₹61,299",,,,https://www.urbanladder.com/products/farina-sofa-mocha?src=room
Farina Sofa (Salsa Red),,,"Starting from ₹69,699",,,,https://www.urbanladder.com/products/farina-sofa-salsa-red?src=room
Farina Sofa (Sandshell Beige),,,"Starting from ₹79,199",,,,https://www.urbanladder.com/products/farina-sofa-sandshell-beige?src=room
Walton Sofa (Asphalt Grey),,,"Starting from ₹24,799",,,,https://www.urbanladder.com/products/walton-sofa-asphalt-grey?src=room
Granada Sofa (Birch Beige),,,"Starting from ₹68,599",,,,https://www.urbanladder.com/products/granada-sofa-birch-beige?src=room
Malabar Wooden Sofa (Malibu Blue),,,"Starting from ₹50,599",,,,https://www.urbanladder.com/products/malabar-wooden-sofa-malibu-blue?src=room
Rubik Sofa (Pearl White),,,"Starting from ₹28,199",,,,https://www.urbanladder.com/products/rubik-sofa-pearl-white?src=room
Rubik Sofa (Birch Beige),,,"Starting from ₹34,399",,,,https://www.urbanladder.com/products/rubik-sofa-birch-beige?src=room
Rubik Sofa (Sea Port Blue Velvet),,,"Starting from ₹38,499",,,,https://www.urbanladder.com/products/rubik-sofa-sea-port-blue-velvet?src=room
Esquel Leatherette Sofa (Cream),,,"Starting from ₹59,099",30% Off,,,https://www.urbanladder.com/products/esquel-leatherette-sofa-cream?src=room
Florence Compact Sofa (Smoke Grey),,,"Starting from ₹57,199",,,,https://www.urbanladder.com/products/florence-compact-sofa-smoke?src=room
Florence Compact Sofa (Malibu),,,"Starting from ₹57,199",,,,https://www.urbanladder.com/products/florence-compact-sofa-malibu?src=room
Florence Compact Sofa (Clara Velvet),,,"Starting from ₹62,899",,,,https://www.urbanladder.com/products/florence-compact-sofa-clara-velvet?src=room
Granada Sofa (Lava Rust),,,"Starting from ₹65,999",,,,https://www.urbanladder.com/products/granada-sofa-lava-rust?src=room
Granada Sofa (Graphite Grey),,,"Starting from ₹65,999",,,,https://www.urbanladder.com/products/granada-sofa-graphite-grey?src=room
Granada Sofa (Pebble Grey),,,"Starting from ₹68,599",,,,https://www.urbanladder.com/products/granada-sofa-pebble-grey?src=room
Granada Sofa (Dusty Turquoise Velvet),,,"Starting from ₹74,499",,,,https://www.urbanladder.com/products/granada-sofa-dusty-turquoise-velvet?src=room
